,"ADGAS LNG","Arun LNG","Barcelona LNG","Bethioua","Bilbao LNG","Bonny Nigeria","Bontang LNG","Brunei LNG","Canaport LNG","Cartagena LNG","Chita LNG","Dapeng LNG","Darwin LNG","Dominion Cove Point LNG","Dragon LNG","EcoElectrica LNG","Everett Marine Terminal","Fluxys","Freeport LNG","Fujian LNG","Gulf Gateway Deepwater Port","Hakodate LNG","Hammerfest LNG","Huelva LNG","Idku LNG","Karratha Gas Plant","Kenai LNG","Malaysia LNG","Northeast Gateway Deepwater Port","Oman LNG","Petrobras Guanabara LNG","Petrobras Pecem LNG","Port Fontin","Punta Europa LNG","Quintero Bay LNG","Ras Laffan","SEGAS","Sabine Pass LNG","Sakhalin-2","Sonatrach LNG","South Hook LNG","Southern LNG","Tannguh","Trunkline LNG","Yemen LNG"
"ADGAS LNG",0,2995,10411,10057,10396,7168,4553,3945,11453,10145,5803,4491,5107,11561,10737,10772,11480,10853,12264,4866,12099,6214,11360,9871,11604,4576,8992,3880,11480,351,8283,8540,10147,7150,9879,89,11672,12240,6523,10387,10737,11668,5291,12216,1229
"Arun LNG",2995,0,10546,10192,10298,7303,1659,1052,9450,10280,2938,1626,2278,10109,9774,10907,9818,9761,11753,2001,11547,3349,8495,10006,11739,1806,6127,986,9818,2644,8418,8675,10282,7285,9215,3084,11807,11729,3658,10522,9774,10560,2401,11705,3057
"Barcelona LNG",10411,10546,0,354,1499,3876,10924,10740,3446,268,8533,9970,11222,3928,1839,4148,3664,1955,5367,9599,5161,8096,3216,968,1470,10926,6851,10849,3664,10060,4675,3536,4036,3988,8185,10500,1531,5343,7869,413,1839,4310,10617,5319,9354
"Bethioua",10057,10192,354,0,1145,3522,10570,10386,3092,88,8179,9616,10868,3574,1485,3794,3310,1601,5013,9245,4807,7742,2862,614,1595,10572,6497,10495,3310,9706,4321,3182,3682,3634,7831,10146,1663,4989,7515,378,1485,3956,10263,4965,9000
"Bilbao LNG",10396,10298,1499,1145,0,3861,9779,9595,2669,1233,7388,8825,10077,3255,526,3691,2964,583,4792,8454,4586,6951,1844,531,2717,10751,5756,9704,2964,10045,4626,3445,3695,3973,8165,10485,2785,4768,6724,1500,526,3678,9472,4744,9339
"Bonny Nigeria",7168,7303,3876,3522,3861,0,8278,8264,4920,3610,10234,8922,8459,5137,4202,4677,5013,4318,6147,9297,5962,10051,5547,3336,5069,7683,8806,8151,5013,6817,3397,2764,4206,112,6486,7257,5137,6123,9824,3852,4202,5394,8974,6099,6111
"Bontang LNG",4553,1659,10924,10570,9779,8278,0,640,8931,10658,2419,1333,1368,9590,9255,10447,9299,9242,11234,1519,11028,2831,7976,9979,12142,1189,5520,754,9299,4202,9228,9650,10859,8260,9037,4642,12210,11210,3145,10925,9255,10041,1144,11186,4615
"Brunei LNG",3945,1052,10740,10386,9595,8264,640,0,8747,10474,2231,986,1735,9406,9071,10263,9115,9058,11050,1278,10844,2646,7792,9795,11958,1693,5422,114,9115,3594,9325,9636,10675,8246,9419,4034,12026,11026,2953,10741,9071,9857,1374,11002,4007
"Canaport LNG",11453,9450,3446,3092,2669,4920,8931,8747,0,3180,6540,7977,9229,907,2382,1829,616,2777,2551,7606,2345,6103,2987,2536,4664,9903,4858,8856,616,11102,4672,3301,2238,5032,8487,11542,4732,2527,5876,3447,2382,1358,8624,2503,10396
"Cartagena LNG",10145,10280,268,88,1233,3610,10658,10474,3180,0,8267,9704,10956,3662,1573,3882,3398,1689,5101,9333,4895,7830,2950,702,1575,10660,6585,10583,3398,9794,4409,3270,3770,3722,7919,10234,1646,5077,7603,366,1573,4044,10351,5053,9088
"Chita LNG",5803,2938,8533,8179,7388,10234,2419,2231,6540,8267,0,1495,2996,7199,6864,8056,6908,6851,8843,1124,8637,458,5585,7588,9751,3513,3204,2340,6908,5452,10662,9322,8468,10216,9487,5892,9819,8819,797,8534,6864,7650,2446,8795,5865
"Dapeng LNG",4491,1626,9970,9616,8825,8922,1333,986,7977,9704,1495,0,2202,8636,8301,9493,8345,8288,10280,375,10074,1874,7022,9025,11188,2503,4666,1100,8345,4140,10037,10294,9905,8904,10147,4580,11256,10256,2207,9971,8301,9087,1915,10232,4553
"Darwin LNG",5107,2278,11222,10868,10077,8459,1368,1735,9229,10956,2996,2202,0,9888,9553,10745,9597,9540,11532,2321,11326,3408,8274,10277,12440,851,5706,1822,9597,4756,8970,9695,11157,8441,8395,5196,12508,11508,3726,11223,9553,10339,619,11484,5147
"Dominion Cove Point LNG",11561,10109,3928,3574,3255,5137,9590,9406,907,3662,7199,8636,9888,0,3020,1259,344,3429,1786,8265,1580,6762,3646,3044,5146,10562,5517,9515,344,11210,4551,3152,1765,5249,8366,11650,5214,1762,6535,3929,3020,480,9283,1738,10504
"Dragon LNG",10737,9774,1839,1485,526,4202,9255,9071,2382,1573,6864,8301,9553,3020,0,3648,2729,594,4620,7930,4414,6427,1383,871,3057,10227,5232,9180,2729,10386,4926,3715,3738,4314,8505,10826,3125,4596,6200,1840,0,3471,8948,4572,9680
"EcoElectrica LNG",10772,10907,4148,3794,3691,4677,10447,10263,1829,3882,8056,9493,10745,1259,3648,0,1422,4000,1499,9122,1342,7619,4483,3335,5357,11076,6374,10372,1422,10421,3649,2232,653,4789,7464,10861,5425,1475,7392,4140,3648,951,10140,1451,9715
"Everett Marine Terminal",11480,9818,3664,3310,2964,5013,9299,9115,616,3398,6908,8345,9597,344,2729,1422,0,3138,2126,7974,1920,6471,3355,2782,4882,10271,5226,9224,0,11129,4569,3184,1954,5125,8384,11569,4950,2102,6244,3665,2729,820,8992,2078,10423
"Fluxys",10853,9761,1955,1601,583,4318,9242,9058,2777,1689,6851,8288,9540,3429,594,4000,3138,0,5039,7917,4833,6414,1296,987,3173,10214,5219,9167,3138,10502,5083,3902,4063,4430,8621,10942,3241,5015,6187,1956,594,3880,8935,4991,9796
"Freeport LNG",12264,11753,5367,5013,4792,6147,11234,11050,2551,5101,8843,10280,11532,1786,4620,1499,2126,5039,0,9909,206,8406,5290,4525,6580,12206,7161,11159,2126,11913,5143,3724,2124,6259,8958,12353,6648,24,8179,5363,4620,1306,10927,48,11207
"Fujian LNG",4866,2001,9599,9245,8454,9297,1519,1278,7606,9333,1124,375,2321,8265,7930,9122,7974,7917,9909,0,9703,1503,6651,8654,10817,2638,4295,1386,7974,4515,10412,10388,9534,9279,10164,4955,10885,9885,1836,9600,7930,8716,1942,9861,4928
"Gulf Gateway Deepwater Port",12099,11547,5161,4807,4586,5962,11028,10844,2345,4895,8637,10074,11326,1580,4414,1342,1920,4833,206,9703,0,8200,5084,4319,6374,12000,6955,10953,1920,11748,4978,3559,1957,6074,8793,12188,6442,182,7973,5157,4414,1100,10721,158,11042
"Hakodate LNG",6214,3349,8096,7742,6951,10051,2831,2646,6103,7830,458,1874,3408,6762,6427,7619,6471,6414,8406,1503,8200,0,5148,7151,9314,3925,2792,2755,6471,5863,10225,8885,8031,10163,9163,6303,9382,8382,346,8097,6427,7213,2858,8358,6276
"Hammerfest LNG",11360,8495,3216,2862,1844,5547,7976,7792,2987,2950,5585,7022,8274,3646,1383,4483,3355,1296,5290,6651,5084,5148,0,2248,4434,8948,3953,7901,3355,11009,6241,5022,4776,5659,9852,11449,4502,5266,4921,3217,1383,4097,7669,5242,11025
"Huelva LNG",9871,10006,968,614,531,3336,9979,9795,2536,702,7588,9025,10277,3044,871,3335,2782,987,4525,8654,4319,7151,2248,0,2186,10386,5906,9904,2782,9520,4115,2942,3276,3448,7637,9960,2254,4501,6924,969,871,3434,9672,4477,8814
"Idku LNG",11604,11739,1470,1595,2717,5069,12142,11958,4664,1575,9751,11188,12440,5146,3057,5357,4882,3173,6580,10817,6374,9314,4434,2186,0,12119,8069,12067,4882,11253,5868,4729,5239,5181,9378,11693,72,6556,9087,1217,3057,5525,11835,6532,10547
"Karratha Gas Plant",4576,1806,10926,10572,10751,7683,1189,1693,9903,10660,3513,2503,851,10562,10227,11076,10271,10214,12206,2638,12000,3925,8948,10386,12119,0,6462,1583,10271,4225,8120,8845,10452,7665,7900,4665,12187,12182,4243,10902,10227,11013,1381,12158,4549
"Kenai LNG",8992,6127,6851,6497,5756,8806,5520,5422,4858,6585,3204,4666,5706,5517,5232,6374,5226,5219,7161,4295,6955,2792,3953,5906,8069,6462,0,5532,5226,8641,8980,7640,6786,8918,6741,9081,8137,7137,2565,6852,5232,5968,5118,7113,9054
"Malaysia LNG",3880,986,10849,10495,9704,8151,754,114,8856,10583,2340,1100,1822,9515,9180,10372,9224,9167,11159,1386,10953,2755,7901,9904,12067,1583,5532,0,9224,3529,9212,9523,10784,8133,9308,3969,12135,11135,3061,10850,9180,9966,1488,11111,3942
"Northeast Gateway Deepwater Port",11480,9818,3664,3310,2964,5013,9299,9115,616,3398,6908,8345,9597,344,2729,1422,0,3138,2126,7974,1920,6471,3355,2782,4882,10271,5226,9224,0,11129,4569,3184,1954,5125,8384,11569,4950,2102,6244,3665,2729,820,8992,2078,10423
"Oman LNG",351,2644,10060,9706,10045,6817,4202,3594,11102,9794,5452,4140,4756,11210,10386,10421,11129,10502,11913,4515,11748,5863,11009,9520,11253,4225,8641,3529,11129,0,7932,8189,9796,6799,9528,440,11321,11889,6172,10036,10386,11317,4940,11865,878
"Petrobras Guanabara LNG",8283,8418,4675,4321,4626,3397,9228,9325,4672,4409,10662,10037,8970,4551,4926,3649,4569,5083,5143,10412,4978,10225,6241,4115,5868,8120,8980,9212,4569,7932,0,1419,3026,3489,3819,8372,5936,5119,9998,4651,4926,4547,9499,5095,7226
"Petrobras Pecem LNG",8540,8675,3536,3182,3445,2764,9650,9636,3301,3270,9322,10294,9695,3152,3715,2232,3184,3902,3724,10388,3559,8885,5022,2942,4729,8845,7640,9523,3184,8189,1419,0,1607,2876,5234,8629,4797,3700,8658,3512,3715,3128,10224,3676,7483
"Port Fontin",10147,10282,4036,3682,3695,4206,10859,10675,2238,3770,8468,9905,11157,1765,3738,653,1954,4063,2124,9534,1957,8031,4776,3276,5239,10452,6786,10784,1954,9796,3026,1607,0,4318,6841,10236,5307,2100,7804,4022,3738,1604,10552,2076,9090
"Punta Europa LNG",7150,7285,3988,3634,3973,112,8260,8246,5032,3722,10216,8904,8441,5249,4314,4789,5125,4430,6259,9279,6074,10163,5659,3448,5181,7665,8918,8133,5125,6799,3489,2876,4318,0,6551,7239,5249,6235,9936,3964,4314,5506,8956,6211,6093
"Quintero Bay LNG",9879,9215,8185,7831,8165,6486,9037,9419,8487,7919,9487,10147,8395,8366,8505,7464,8384,8621,8958,10164,8793,9163,9852,7637,9378,7900,6741,9308,8384,9528,3819,5234,6841,6551,0,9968,9446,8934,9083,8161,8505,8362,8320,8910,8822
"Ras Laffan",89,3084,10500,10146,10485,7257,4642,4034,11542,10234,5892,4580,5196,11650,10826,10861,11569,10942,12353,4955,12188,6303,11449,9960,11693,4665,9081,3969,11569,440,8372,8629,10236,7239,9968,0,11761,12329,6612,10476,10826,11757,5380,12305,1318
"SEGAS",11672,11807,1531,1663,2785,5137,12210,12026,4732,1646,9819,11256,12508,5214,3125,5425,4950,3241,6648,10885,6442,9382,4502,2254,72,12187,8137,12135,4950,11321,5936,4797,5307,5249,9446,11761,0,6624,9155,1285,3125,5593,11903,6600,10615
"Sabine Pass LNG",12240,11729,5343,4989,4768,6123,11210,11026,2527,5077,8819,10256,11508,1762,4596,1475,2102,5015,24,9885,182,8382,5266,4501,6556,12182,7137,11135,2102,11889,5119,3700,2100,6235,8934,12329,6624,0,8155,5339,4596,1282,10903,24,11183
"Sakhalin-2",6523,3658,7869,7515,6724,9824,3145,2953,5876,7603,797,2207,3726,6535,6200,7392,6244,6187,8179,1836,7973,346,4921,6924,9087,4243,2565,3061,6244,6172,9998,8658,7804,9936,9083,6612,9155,8155,0,7870,6200,6986,3176,8131,6585
"Sonatrach LNG",10387,10522,413,378,1500,3852,10925,10741,3447,366,8534,9971,11223,3929,1840,4140,3665,1956,5363,9600,5157,8097,3217,969,1217,10902,6852,10850,3665,10036,4651,3512,4022,3964,8161,10476,1285,5339,7870,0,1840,4308,10618,5315,9330
"South Hook LNG",10737,9774,1839,1485,526,4202,9255,9071,2382,1573,6864,8301,9553,3020,0,3648,2729,594,4620,7930,4414,6427,1383,871,3057,10227,5232,9180,2729,10386,4926,3715,3738,4314,8505,10826,3125,4596,6200,1840,0,3471,8948,4572,9680
"Southern LNG",11668,10560,4310,3956,3678,5394,10041,9857,1358,4044,7650,9087,10339,480,3471,951,820,3880,1306,8716,1100,7213,4097,3434,5525,11013,5968,9966,820,11317,4547,3128,1604,5506,8362,11757,5593,1282,6986,4308,3471,0,9734,1258,10611
"Tannguh",5291,2401,10617,10263,9472,8974,1144,1374,8624,10351,2446,1915,619,9283,8948,10140,8992,8935,10927,1942,10721,2858,7669,9672,11835,1381,5118,1488,8992,4940,9499,10224,10552,8956,8320,5380,11903,10903,3176,10618,8948,9734,0,10879,5353
"Trunkline LNG",12216,11705,5319,4965,4744,6099,11186,11002,2503,5053,8795,10232,11484,1738,4572,1451,2078,4991,48,9861,158,8358,5242,4477,6532,12158,7113,11111,2078,11865,5095,3676,2076,6211,8910,12305,6600,24,8131,5315,4572,1258,10879,0,11159
"Yemen LNG",1229,3057,9354,9000,9339,6111,4615,4007,10396,9088,5865,4553,5147,10504,9680,9715,10423,9796,11207,4928,11042,6276,11025,8814,10547,4549,9054,3942,10423,878,7226,7483,9090,6093,8822,1318,10615,11183,6585,9330,9680,10611,5353,11159,0
