ADGAS LNG,25.16,52.88,Load,6,
Aliaga,31.4666667,31.758333,Discharge,,
Arun LNG,5.23,97.09,Load,12.5,
Barcelona LNG,41.31,2.17,Discharge,10.5,
Bethioua,35.82,-0.25,Load,18.1,
Bilbao LNG,43.36,-3.1,Discharge,7.3,
Bintulu,3.26,113.07,Load,,
Bonny Nigeria,4.42,7.14,Load,22,
Bontang LNG,0.1,117.49,Load,22.6,
Brunei LNG,4.71,114.44,Load,6.5,
Canaport LNG,45.21,-65.99,Discharge,7.7,
Cartagena LNG,37.57,-0.96,Discharge,6.7,
Chita LNG,34.98,136.82,Discharge,1,
Costa Azul LNG Terminal,31.9876667,-116.8583333,Load,,
Dahej,21.6966667,72.4933333,Discharge,,
Damietta,31.4666667,31.7583333,Load,,
Dapeng LNG,22.61,114.39,Discharge,3.6,
Darwin LNG,-12.52,130.85,Load,3.24,
Dominion Cove Point LNG,38.4,-76.39,Discharge,13.5,
Dragon LNG,51.7,-4.99,Discharge,4.4,
EcoElectrica LNG,17.98,-66.76,Discharge,1,
Elba Island,32.0883333,-80.99,Discharge,,
Everett Marine Terminal,42.39,-71.07,Discharge,5.4,
Fluxys,51.35,3.22,Discharge,3.29,0.73 *bcf/y
Freeport LNG,28.93,-95.32,Discharge,10.8,
Fujian LNG,25.17,118.98,Discharge,2.6,
Guangdong,22.5741667,114.43,Discharge,,
Gulf Gateway Deepwater Port,27.06,-90.61,Discharge,3.7,
Hakodate LNG,41.79,140.67,Discharge,1,
Hammerfest LNG,70.68,23.59,Load,4.3,
Hazira - LNG Terminal,21.1466667,72.5641667,Discharge,,
Huelva LNG,37.17,-6.91,Discharge,8.6,
Idku LNG,31.42,30.28,Load,20,
Incheon,37.505,126.6,Discharge,,
Karratha Gas Plant,-20.59,116.76,Load,11.9,
Kenai LNG,60.68,-151.4,Load,1.3,
Lake Charles,30.11,-93.29,Discharge,,
Malaysia LNG,3.26,113.08,Load,21.85,
Mina Al Ahmadi,29.0666667,48.1666667,Discharge,,
Montoir,47.2983333,-2.14,Discharge,,
Northeast Gateway Deepwater Port,42.35,-70.4,Discharge,3.7,
Ogishima - Tokyo Gas LNG Berth,35.4616667,139.72,Discharge,,
Oman LNG,22.67,59.41,Load,9,
Pascagoula,30.3483333,-88.5666667,Discharge,,
Petrobras Guanabara LNG,-22.85,-43.17,Discharge,1,
Petrobras Pecem LNG,-3.53,-38.81,Discharge,1,
Port Fontin,10.19,-61.69,Load,10.1,
Punta Europa LNG,3.79,8.71,Load,7,
Pyeongtaek,36.9883333,126.785,Discharge,,
Quintero Bay LNG,-32.76,-71.5,Discharge,2.5,
Ras Laffan,25.93,51.6,Load,26,
Sabine Pass LNG,29.76,-93.92,Discharge,32,
Sakai,34.5566667,135.4216667,Discharge,,
Sakhalin-2,46.61,142.93,Load,9.6,
SEGAS,31.47,31.75,Load,4.83,
Sonatrach LNG,36.89,6.94,Load,10,
South Hook LNG,51.7,-5.08,Discharge,15.6,
Southern LNG,32.09,-80.99,Discharge,9.1,
Tannguh,-2.46,133.11,Load,7.6,
Tobata,33.92,130.8633333,Discharge,,
Tongyeong,34.9491667,128.4366667,Discharge,,
Trunkline LNG,30.04,-93.31,Discharge,13.4,Lake Charles
Yemen LNG,13.98,48.18,Load,6.7,
Yung An,22.8136667,120.1963333,Discharge,,
Isle of Grain,51.43,0.6758333,Discharge,,
