,"ADGAS LNG","Arun LNG","Barcelona LNG","Bethioua","Bilbao LNG","Bonny Nigeria","Bontang LNG","Brunei LNG","Canaport LNG","Cartagena LNG","Chita LNG","Dapeng LNG","Darwin LNG","Dominion Cove Point LNG","Dragon LNG","EcoElectrica LNG","Everett Marine Terminal","Fluxys","Freeport LNG","Fujian LNG","Gulf Gateway Deepwater Port","Hakodate LNG","Hammerfest LNG","Huelva LNG","Idku LNG","Karratha Gas Plant","Kenai LNG","Malaysia LNG","Northeast Gateway Deepwater Port","Oman LNG","Petrobras Guanabara LNG","Petrobras Pecem LNG","Port Fontin","Punta Europa LNG","Quintero Bay LNG","Ras Laffan","SEGAS","Sabine Pass LNG","Sakhalin-2","Sonatrach LNG","South Hook LNG","Southern LNG","Tannguh","Trunkline LNG","Yemen LNG"
"ADGAS LNG",0,2995,4192,4341,5436,7168,4553,3945,7383,4285,5803,4491,5107,7865,5776,8069,7601,5892,9299,4866,9093,6214,7153,4905,2735,4576,8992,3880,7601,351,8283,7421,7948,7150,9879,89,2682,9275,6523,3924,5776,8247,5291,9251,1229
"Arun LNG",2995,0,5941,6090,7185,7303,1659,1052,9132,6034,2938,1626,2278,9614,7525,9818,9350,7641,11048,2001,10842,3349,8495,6654,4484,1806,6127,986,9350,2644,8418,8675,9697,7285,9215,3084,4431,11024,3658,5673,7525,9996,2401,11000,3057
"Barcelona LNG",4192,5941,0,346,1441,3938,7499,6891,3388,268,8475,7437,8007,3870,1781,4096,3606,1897,5309,7812,5103,8038,3158,910,1458,7411,6793,6826,3606,3841,4730,3573,3997,4050,8247,4281,1670,5285,7811,413,1781,4252,8237,5261,2963
"Bethioua",4341,6090,346,0,1099,3596,7648,7040,3046,78,8133,7586,8156,3528,1439,3754,3264,1555,4967,7961,4761,7696,2816,568,1607,7560,6451,6975,3264,3990,4388,3231,3655,3708,7905,4430,1800,4943,7469,418,1439,3910,8386,4919,3112
"Bilbao LNG",5436,7185,1441,1099,0,3861,8743,8135,2669,1173,7388,8681,9251,3255,526,3691,2964,583,4792,8454,4586,6951,1844,531,2702,8655,5756,8070,2964,5085,4626,3445,3695,3973,8165,5525,2895,4768,6724,1513,526,3678,9472,4744,4207
"Bonny Nigeria",7168,7303,3938,3596,3861,0,8278,8264,4920,3670,10234,8922,8459,5137,4202,4677,5013,4318,6147,9297,5962,10051,5547,3336,5028,7683,8806,8151,5013,6817,3397,2764,4206,112,6486,7257,5221,6123,9824,3838,4202,5394,8974,6099,6111
"Bontang LNG",4553,1659,7499,7648,8743,8278,0,640,8931,7592,2419,1333,1368,9590,9083,10447,9299,9199,11234,1519,11028,2831,7976,8212,6042,1189,5520,754,9299,4202,9228,9650,10859,8260,9037,4642,5989,11210,3145,7231,9083,10041,1144,11186,4615
"Brunei LNG",3945,1052,6891,7040,8135,8264,640,0,8747,6984,2231,986,1735,9406,8475,10263,9115,8591,11050,1278,10844,2646,7792,7604,5434,1693,5422,114,9115,3594,9325,9636,10647,8246,9419,4034,5381,11026,2953,6623,8475,9857,1374,11002,4007
"Canaport LNG",7383,9132,3388,3046,2669,4920,8931,8747,0,3120,6540,7977,9229,907,2382,1829,616,2777,2551,7606,2345,6103,2987,2536,4649,9903,4858,8856,616,7032,4672,3301,2238,5032,8487,7472,4842,2527,5876,3460,2382,1358,8624,2503,6154
"Cartagena LNG",4285,6034,268,78,1173,3670,7592,6984,3120,0,8207,7530,8100,3602,1513,3828,3338,1629,5041,7905,4835,7770,2890,642,1551,7504,6525,6919,3338,3934,4462,3305,3729,3782,7979,4374,1744,5017,7543,366,1513,3984,8330,4993,3056
