vessels,assignedObjects
LNG Rivers,"Cargo 11, Cargo 27, Cargo 83"
LNG Lagos,"Cargo 68, Cargo 91, Lagos, Cargo 143, Cargo 164, Cargo 188"
LNG Ondo,"Cargo 49, Cargo 103, Cargo 128, Cargo 183, Cargo 205"
LNG Oyo,"Cargo 6, Cargo 22, Cargo 45, Cargo 82, Cargo 117, Cargo 145, Cargo 161, Cargo 203"
LNG Lokoja,"Cargo 12, Cargo 30, Cargo 73, Cargo 94, Cargo 116, Cargo 140, Cargo 173, Cargo 213"
LNG Kano,"Cargo 47, Cargo 64, Cargo 89, Cargo 109, Cargo 132, Cargo 174, Cargo 192, Cargo 210, Cargo 224"
LNG Port Harcourt,"Cargo 13, Cargo 34, Cargo 51, Cargo 71, Cargo 98, Cargo 121, Cargo 149, Cargo 171, Cargo 207"
LNG Ogun,"Cargo 20, Cargo 38, Cargo 60, Cargo 88, Cargo 114, Cargo 109a, Cargo 163, Cargo 201"
LNG Sokoto,"Cargo 7, Cargo 26, Cargo 76, Cargo 76a, Cargo 131, Cargo 154, Cargo 177, Cargo 191"
LNG River Orashi,"Cargo 43, Cargo 75, Cargo 97, RO drydock, Cargo 200, Cargo 215"
LNG River Niger,"Cargo 18, Cargo 37, Cargo 62, Cargo 90, Cargo 110, Cargo 141, Cargo 166, Cargo 185, Cargo 208"
