spotIndex,vessels,assignedObjects
0,Bluesky,"cargo-1, cargo-31, cargo-41, cargo-76"
0,Methane Becki Anne,"cargo-70, cargo-48, cargo-16, cargo-66"
0,Methane Heather Sally,"cargo-21, Dry Dock, cargo-78, cargo-28"
0,Methane Julia Louise,"cargo-32, cargo-71, cargo-9, cargo-20"
0,Methane Lydon Volney,"cargo-39, cargo-22, cargo-12, cargo-30"
0,Methane Princess,"cargo-24, cargo-50, cargo-60"
0,STEAM-138,
0,STEAM-145,
0,TFDE-170,
0,STEAM-126,
0,STEAM-145.8,
0,STEAM-154.8,
0,STEAM-138.2,
0,STEAM-165,
0,STEAM-152,
0,STEAM-152.3,
0,STEAM-149.7,
