from,Abu Dhabi,Acajutla,Ain Sokhna,Aliaga LNG,Altamira,Ambon,Aqaba,Arun,Arzew,Ashdod,Bahia Blanca,Bahrain,Bal Haf LNG,Barcelona,Batangas,Bethioua,Bilbao,Bintulu,Bonny,Bontang,Brass,Brownsville,Cai Mep Gas Terminal,Cameron,Cao Fei Dian 11,Cartagena,Caucedo,Chita - LNG,Chittagong,Chiwan,Coega,"Colon, Panama",Coos Bay,Corpus Christi,Costa Azul,Cove Point,Dabhol,Dahej,Dalian,Dampier,Dangjin,Dar-es-Salaam,Darwin,Dili,Donghae,Dragon,Drovyanoy,Dunkirk,Elba Island,Ennore,Escobar,Everett,Falconara,Ferrol,Fort de France,Fos - Cavaou,Freeport,Fujairah,Fujian,Futtsu,Gangavaram,Gioia Tauro,Gladstone,Golden Pass,Guanabara,Guangdong,Guayama,Guayanilla,Gwangyang,Hachinohe,Haikou,Haldia,Halifax,Hammerfest,Hatsukaichi,Hazira,Higashi-Ogishima,Himeji,Hitachi,Ho Chi Min City,Holyhead,Huelva,Idku,Inchon,Ishikariwan-Shinko,Isle of Grain,Jebel Ali,Jiangsu,Johore,Jorf Lasfar,Jurong Island,Kagoshima,Kakinada,Karachi,Karwar,Khor al Zubair,Kitakyushu,Kitimat,Klaipeda,Koper,Kribi,Krk Island,Kushiro,Lahad Datu,Lake Charles,Le Havre,Lianyungang,Limassol,Limerick,Livorno,Lumut,Luwuk,Manzanillo,Map Ta Phut,Marmara Ereglisi,Marsa el Brega,Mejillones,Mina Al-Ahmadi,Mizushima,Mombasa,Montevideo,Montoir,Mossel Bay,Mozambique Port,Mundra,Nagasaki,Nanao,Naoetsu,Negishi,New Plymouth,Niigata-Higashi,Northeast Gateway,Offshore Haldia No.1 (TA),Ogishima,Oita - LNG Berth,Okinawa,Ortona,Paldiski South Harbour,Pampa Melchorita,Panjang,Pars,Pascagoula,Pecem,Pipavav,Plaquemines,Pluto LNG Jetty,Point Fortin,Pointe-a-Pitre,Port Esquivel,Port Moresby,Porto Empedocle,Prigorodnoye,Prince Rupert,Punta Europa,Pyeong Taek,Qalhat LNG Terminal,Qingdao,Qinhuangdao,Qinzhou,Quintero,Ras Laffan,Revithousa,Rio Grande,Rosarito,Rosignano LNG,Rostock,Rotterdam,Sabine Pass,Sagunto,Saint John,Sakai LNG,Sakaide,Salvador,Santa Cruz de Tenerife,Sao Francisco do Sul,Savannah,Semarang,Senboku,Sendai,Shanghai,Shenzhen,Shimizu,Shinminato,Sines,Skikda,Sodegaura,Soma,South Hook,Soyo,Sungai Udang,Swinoujscie,Taichung,Talcahuano,Tangguh,Taranto,Teesport,Tianjin Lingang,Tobata,Tombak,Tong Yong,Trieste,Tripoli,Vladivostok,Vyborg,Wakayama,Wilhelmshaven,Yanai,Yangshan,Yokkaichi,Yung-an,Yuzhny,Zeebrugge,Zhangjiagang
Abu Dhabi,,13277,2939,12936,13741,5220,2898,3086,11546,13302,9859,313,1457,11803,4906,11545,11884,3440,8586,4889,8572,13709,4184,13652,6352,11530,12075,6347,3289,5000,5768,12598,10678,13739,11363,13025,1274,1200,6232,4746,6120,5954,5318,5013,6245,12104,14700,12288,13016,2602,9849,12895,12904,11653,11560,11981,13679,294,5589,6468,2854,12312,7375,13648,8910,5015,11895,11923,6040,6823,4916,3186,12655,13569,6194,1233,6470,6286,6560,4216,12200,11290,13107,6164,6830,12351,81,5894,3598,11045,3558,5963,2824,803,1418,516,6101,10405,13297,13026,8505,12971,6929,4862,13658,12195,6130,13200,12155,12160,4294,5182,12365,4317,13069,12685,11705,462,6240,6104,9708,11973,5949,5402,992,5975,6513,6517,6461,8009,6565,12884,3114,6465,6125,5652,12831,13499,12246,3770,233,13522,9842,1126,13502,4743,11539,11624,12453,6328,12210,7025,10220,8562,6156,484,6117,6352,4937,11116,214,12801,9611,11350,12161,13075,12389,13645,11688,12860,6263,6236,9486,10628,9594,13022,4112,6264,6670,5822,4998,6391,6524,11281,11894,6474,6653,12101,7967,3443,13105,5524,10887,5550,12571,12582,6398,6099,245,6085,13026,13325,6587,13658,6234,12623,6152,5750,6348,5183,13463,12328,5889
Acajutla,13277,,15131,12454,12053,8851,15090,10216,11063,12820,5527,13450,13649,11321,8634,11063,11391,9853,9519,9033,9473,12021,9287,11964,7993,11048,10387,7045,11255,8561,8443,10910,2880,12051,2017,11403,12096,12395,7873,9613,7700,10301,8795,8893,7231,11611,14141,11782,11337,11314,5985,11364,12422,11160,9873,11498,11991,13060,8132,6920,11295,11830,7337,11960,6694,8524,10207,10235,7414,6635,8766,11312,11244,13010,7357,12309,6922,7224,6787,9319,11708,10807,12625,7744,6702,11845,13238,7752,9716,10563,9734,7429,11318,12632,11911,13653,7318,3524,12791,12544,9532,12489,6467,8896,11970,11689,7836,12718,11600,11678,9151,8815,932,9847,12587,12202,2484,13599,7268,10451,5843,11480,8296,9742,12512,7432,6965,6932,6914,6646,6875,11353,11236,6917,7324,7658,12349,12993,1812,10001,13365,11834,8154,12330,11815,9610,9851,9936,10765,7558,11727,6497,3560,9554,7736,12855,7817,7993,8973,2972,13370,12319,6008,2041,11679,12569,11883,11957,11205,11389,7202,7258,7371,10133,6425,11343,9696,7202,6722,7796,8560,6964,6975,10796,11412,6927,6731,11608,9176,9857,12599,8076,3172,8668,12089,12076,8039,7316,13376,7364,12544,12842,7006,13152,7173,12117,7351,7789,7046,8262,12980,11822,7863
Ain Sokhna,2939,15131,,14783,15587,7067,296,4932,13392,15149,11706,3096,1565,13650,6752,13392,13730,5286,10432,6735,10418,15555,6030,15499,8199,13376,13921,8194,5135,6846,7615,14444,12524,15585,13209,14871,3121,3068,8079,6593,7966,7800,7165,6859,8091,13950,16547,14134,14862,4448,11695,14741,14751,13499,13407,13827,15525,2692,7436,8314,4701,14159,9221,15494,9218,6861,13741,13769,7886,8669,6762,5033,14502,15416,8040,3100,8316,8132,8406,6063,14046,13136,14953,8010,8676,14197,2884,7740,5444,12892,5405,7809,4670,2800,3264,3298,7947,12251,15143,14872,10351,14817,8775,6708,15504,14041,7977,15047,14001,14006,6140,7029,14211,6164,14916,14531,13551,3245,8087,7951,11554,13820,7796,7248,2897,7821,8360,8364,8308,9855,8412,14731,4961,8311,7972,7498,14677,15345,14092,5617,3010,15368,11688,2994,15349,6590,13385,13471,14299,8175,14056,8871,12066,10408,8002,2477,7964,8198,6783,12963,3015,14647,11457,13197,14007,14921,14236,15491,13534,14706,8110,8082,11332,12474,11441,14868,5958,8110,8517,7668,6845,8238,8370,13127,13741,8321,8499,13947,9813,5289,14951,7370,12733,7396,14418,14428,8244,7945,3022,7931,14873,15171,8433,15504,8081,14469,7998,7596,8195,7030,15309,14175,7736
Aliaga LNG,12936,12454,14783,,6558,13075,14737,11927,1422,691,7247,13098,13294,1328,13735,1421,2596,12280,5036,12873,4970,6521,13025,6438,15193,1430,5216,15188,12345,13840,7200,5984,14783,6541,13933,5091,11756,12054,15073,11951,14961,9166,12914,12764,15086,2816,5436,2999,5346,11658,6980,4690,907,2364,4930,1324,6468,12705,14430,15309,11910,1013,13987,6433,5858,13855,5041,5079,14881,15664,13757,12242,4353,4305,15035,11968,15310,15127,15401,13057,2912,1778,566,15005,15671,3062,12886,14735,12439,1897,12399,14803,11880,12279,11583,13300,14942,15426,4009,1029,5171,974,15770,13184,6443,2906,14971,562,2890,1189,13125,13088,12969,13158,243,674,10241,13247,15081,9317,6839,2685,7054,8608,12160,14815,15354,15358,15302,12635,15406,4669,12170,15306,14966,14493,834,4210,10782,11895,13013,6218,4677,11989,6245,11948,5102,4875,5590,13951,750,15866,15463,5104,14997,12500,14958,15193,13778,9653,13017,212,6563,13957,1188,3786,3101,6430,1400,4620,15104,15077,5174,2378,6190,5352,12226,15105,15511,14663,13839,15232,15365,1957,1073,15315,15494,2812,5459,12284,3817,14364,9423,13455,644,3293,15239,14940,13024,14926,1029,686,15428,4369,15075,3334,14993,14590,15189,14024,636,3040,14730
Altamira,13741,12053,15587,6558,,13884,15546,12735,5171,6927,6837,13907,14103,5428,14544,5170,4919,13089,6346,13682,6281,291,13834,546,16002,5155,1740,15997,13154,14649,8009,1647,14386,389,13537,1923,12564,12863,15882,12760,15770,9975,13723,13573,15895,4774,6698,5080,1475,12467,6570,2291,6529,4694,2237,5606,449,13514,15239,16118,12719,5937,13670,516,5411,14664,1925,1891,15690,16473,14566,13051,2475,5569,15844,12777,16119,15936,16210,13866,4830,4850,6732,15814,16480,5142,13695,15544,13248,4784,13208,15612,12689,13088,12392,14109,15751,15030,5809,6651,6481,6596,16579,13993,551,4986,15780,6825,4622,5785,13934,13897,12572,13967,6694,6309,9845,14056,15890,10126,6429,4918,7863,9417,12969,15624,16163,16167,16111,12239,16215,2280,12979,16114,15775,15302,6456,6010,10386,12704,13822,743,3934,12798,656,12757,2334,2208,1344,14477,5835,16675,15066,6414,15805,13309,15767,16002,14587,9257,13826,6426,6152,13560,5786,5587,5181,513,5313,2444,15913,15886,4757,4533,5780,1481,13035,15914,16320,15472,14648,16041,16174,4721,5519,16124,16303,4771,6770,13093,5617,15173,9027,14264,6196,5199,16048,15748,13833,15735,6651,6950,16237,6170,15884,5404,15802,15399,15998,14833,7088,5120,15539
Ambon,5220,8851,7067,13075,13884,,7025,2253,11689,13446,9209,5385,5584,11947,1474,11689,12028,1890,8729,1033,8715,13853,2040,13796,2959,11674,12219,2645,3292,2106,5939,12741,6653,13882,7130,13168,4031,4330,2839,1250,2697,6286,671,346,2754,12248,14844,12432,13160,3351,9667,13039,13048,11796,11704,12124,13823,4995,2225,2716,3332,12456,2365,13792,9525,2086,12039,12067,2565,3063,2168,3349,12799,13713,2568,4244,2718,2619,2800,2072,12344,11433,13251,2741,3336,12494,5174,2501,1753,11189,1771,2371,3355,4567,3846,5588,2566,6499,13441,13170,8648,13115,3211,1202,13801,12339,2736,13344,12298,12304,1620,454,7967,2374,13213,12828,9157,5534,2614,6437,9525,12117,6104,5734,4447,2450,3019,3023,2709,3553,3071,13028,3272,2713,2499,2063,12975,13642,9196,1492,5300,13665,9985,4265,13646,1247,11683,11768,12597,1318,12353,3531,6333,8706,2733,4790,2723,2958,2375,8722,5305,12945,9690,7116,12305,13219,12533,13788,11832,13004,2596,2610,9629,10772,9738,13166,1187,2597,2911,2436,2105,2664,3030,11425,12038,2722,2893,12245,8110,1894,13249,2160,8531,679,12715,12726,3004,2563,5312,2595,13170,13468,3096,13802,2567,12766,2526,2367,2646,1948,13606,12472,2503
Aqaba,2898,15090,296,14737,15546,7025,,4880,13340,15096,11653,3043,1513,13597,6700,13339,13678,5233,10379,6683,10365,15503,5978,15446,8146,13324,13869,8141,5083,6793,7562,14391,12472,15532,13157,14818,3069,3015,8026,6540,7914,7748,7112,6807,8039,13898,16494,14082,14810,4396,11643,14689,14698,13447,13354,13774,15473,2639,7383,8262,4648,14106,9169,15442,8755,6808,13689,13717,7834,8617,6710,4980,14449,15363,7988,3048,8263,8080,8354,6010,13994,13083,14901,7958,8624,14145,2832,7688,5392,12839,5352,7756,4618,2747,3212,3246,7895,12199,15091,14820,10299,14765,8723,6656,15451,13989,7924,14994,13948,13954,6088,6976,14159,6111,14863,14478,13498,3192,8034,7898,11502,13767,7743,7195,2845,7768,8307,8311,8255,9802,8359,14678,4908,8259,7919,7446,14625,15293,14040,5564,2958,15315,11636,2941,15296,6537,13333,13418,14247,8122,14004,8819,12013,10356,7950,2425,7911,8146,6731,12910,2963,14595,11405,13144,13955,14869,14183,15439,13482,14654,8057,8030,11279,12422,11388,14816,5905,8058,8464,7616,6792,8185,8318,13075,13688,8268,8447,13895,9761,5237,14899,7317,12680,7344,14365,14376,8192,7893,2969,7879,14820,15118,8381,15452,8028,14417,7946,7543,8142,6977,15257,14122,7683
Arun,3086,10216,4932,11927,12735,2253,4880,,10539,12296,8853,3252,3451,10797,1838,10539,10878,372,7579,1914,7565,12703,1116,12646,3285,10524,11069,3280,1099,1932,4762,11591,7610,12732,8295,12018,1898,2197,3164,2239,3052,4948,2483,2050,3177,11098,13694,11282,12010,1116,8843,11889,11898,10646,10554,10974,12673,2862,2521,3400,1106,11306,4443,12641,8367,1947,10889,10917,2972,3755,1848,1156,11649,12563,3126,2111,3402,3218,3492,1148,11194,10283,12101,3096,3762,11344,3041,2826,530,10039,490,2895,1128,2434,1713,3455,3033,7337,12291,12020,7498,11965,3861,1794,12651,11189,3062,12194,11148,11154,1226,2208,9297,1249,12063,11678,10620,3401,3172,5098,8701,10967,4943,4395,2314,2907,3445,3449,3393,5632,3498,11878,1080,3397,3057,2584,11825,12492,11161,1246,3167,12515,8835,2132,12496,2236,10533,10618,11447,3397,11203,3957,7152,7556,3088,2657,3049,3284,1869,10032,3172,11795,8605,8282,11155,12069,11383,12638,10682,11853,3195,3168,8479,9621,8588,12015,1221,3196,3602,2754,1930,3324,3456,10275,10888,3406,3585,11095,6960,375,12099,2456,9802,2575,11565,11575,3330,3031,3178,3017,12020,12318,3519,12652,3166,11616,3084,2682,3280,2115,12456,11322,2821
Arzew,11546,11063,13392,1422,5171,11689,13340,10539,,1792,5861,11711,11907,352,12349,5,1209,10894,3649,11487,3584,5135,11638,5051,13807,114,3829,13802,10958,12454,5814,4598,13396,5154,12546,3704,10369,10667,13686,10564,13574,7780,11528,11378,13699,1429,4050,1613,3959,10271,5594,3304,1394,978,3544,524,5082,11318,13044,13922,10524,803,12600,5047,4459,12469,3654,3692,13494,14277,12370,10856,2967,2919,13648,10582,13924,13740,14014,11671,1525,391,1597,13618,14284,1676,11500,13348,11052,511,11013,13417,10493,10892,10196,11914,13555,14040,2622,1516,3784,1461,14383,11797,5056,1520,13584,1690,1503,676,11738,11701,11582,11771,1559,1174,8855,11860,13695,7930,5452,1298,5667,7221,10774,13429,13968,13972,13916,11249,14020,3282,10784,13919,13579,13106,1321,2824,9396,10508,11626,4831,3291,10602,4859,10561,3715,3488,4203,12565,699,14479,14076,3717,13610,11114,13572,13806,12391,8267,11631,1291,5176,12570,677,2400,1714,5043,241,3234,13717,13690,3787,991,4804,3965,10839,13718,14125,13276,12453,13846,13978,570,384,13928,14107,1426,4072,10897,2430,12978,8037,12069,1061,1907,13852,13553,11637,13539,1516,1814,14041,2983,13689,1948,13606,13204,13803,12638,1952,1653,13344
Ashdod,13302,12820,15149,691,6927,13446,15096,12296,1792,,7614,13464,13660,1695,14102,1787,2962,12647,5402,13240,5337,6888,13391,6804,15560,1797,5582,15555,12711,14207,7567,6351,15149,6908,14300,5457,12122,12420,15440,12317,15327,9533,13281,13131,15452,3182,5803,3366,5712,12025,7347,5057,1293,2731,5297,1690,6835,13071,14797,15675,12277,1378,14353,6800,6209,14222,5407,5445,15247,16030,14123,12609,4720,4672,15401,12335,15677,15493,15767,13424,3278,2144,268,15371,16037,3429,13253,15101,12805,2264,12766,15170,12246,12645,11949,13667,15308,15793,4375,1415,5537,1360,16136,13550,6810,3273,15338,203,3257,1554,13491,13455,13336,13525,845,904,10608,13613,15448,9683,7206,3051,7420,8974,12527,15182,15721,15725,15669,13002,15773,5035,12537,15672,15333,14860,1220,4577,11149,12261,13379,6584,5044,12356,6612,12314,5468,5241,5957,14318,1117,16232,15829,5470,15363,12867,15325,15559,14145,10020,13384,679,6930,14323,1554,4153,3467,6797,1766,4987,15471,15443,5541,2745,6557,5718,12592,15471,15878,15029,14206,15599,15731,2324,1439,15682,15860,3179,5826,12650,4183,14731,9790,13822,1030,3660,15605,15306,13391,15292,1415,237,15794,4736,15442,3701,15359,14957,15556,14391,1239,3406,15097
