from,Abu Dhabi,Acajutla,Ain Sokhna,Aliaga LNG,Altamira,Ambon,Aqaba,Arun,Arzew,Ashdod,Bahia Blanca,Bal Haf LNG,Barcelona,Batangas,Bethioua,Bilbao,Bintulu,Bonny,Bontang,Brass,Brownsville,Cai Mep Gas Terminal,Cameron,Cao Fei Dian 11,Cartagena,Caucedo,Chita - LNG,Chittagong,Chiwan,Coega,"Colon, Panama",Coos Bay,Corpus Christi,Costa Azul,Cove Point,Dabhol,Dahej,Dalian,Dampier,Dangjin,Dar-es-Salaam,Darwin,Dili,Donghae,Dragon,Drovyanoy,Dunkirk,Elba Island,Ennore,Escobar,Everett,Falconara,Ferrol,Fort de France,Fos - Cavaou,Freeport,Fujairah,Fujian,Futtsu,Gangavaram,Gioia Tauro,Gladstone,Golden Pass,Guangdong,Guayama,Guayanilla,Gwangyang,Hachinohe,Haikou,Haldia,Halifax,Hammerfest,Hatsukaichi,Hazira,Higashi-Ogishima,Himeji,Hitachi,Ho Chi Min City,Holyhead,Huelva,Idku,Inchon,Ishikariwan-Shinko,Isle of Grain,Jebel Ali,Jiangsu,Johore,Jorf Lasfar,Jurong Island,Kagoshima,Kakinada,Karachi,Karwar,Khor al Zubair,Kitakyushu,Kitimat,Klaipeda,Koper,Kribi,Krk Island,Kushiro,Lahad Datu,Lake Charles,Le Havre,Lianyungang,Limassol,Limerick,Livorno,Lumut,Luwuk,Manzanillo,Map Ta Phut,Marmara Ereglisi,Marsa el Brega,Mejillones,Mina Al-Ahmadi,Mizushima,Mombasa,Montevideo,Montoir,Mossel Bay,Mozambique Port,Mundra,Nagasaki,Nanao,Naoetsu,Negishi,New Plymouth,Niigata-Higashi,Northeast Gateway,Offshore Haldia No.1 (TA),Ogishima,Oita - LNG Berth,Okinawa,Ortona,Paldiski South Harbour,Pampa Melchorita,Panjang,Pars,Pascagoula,Pecem,Pipavav,Plaquemines,Pluto LNG Jetty,Point Fortin,Pointe-a-Pitre,Port Esquivel,Port Moresby,Porto Empedocle,Prigorodnoye,Prince Rupert,Punta Europa,Pyeong Taek,Qalhat LNG Terminal,Qingdao,Qinhuangdao,Qinzhou,Quintero,Ras Laffan,Revithousa,Rio Grande,Rosarito,Rosignano LNG,Rostock,Rotterdam,Sabine Pass,Sagunto,Saint John,Sakai LNG,Sakaide,Salvador,Santa Cruz de Tenerife,Sao Francisco do Sul,Savannah,Semarang,Senboku,Sendai,Shanghai,Shenzhen,Shimizu,Shinminato,Sines,Skikda,Sodegaura,Soma,South Hook,Soyo,Sungai Udang,Swinoujscie,Taichung,Talcahuano,Tangguh,Taranto,Teesport,Tianjin Lingang,Tobata,Tombak,Tong Yong,Trieste,Tripoli,Vladivostok,Vyborg,Wakayama,Wilhelmshaven,Yanai,Yangshan,Yokkaichi,Yung-an,Yuzhny,Zeebrugge,Zhangjiagang,Bahrain,Guanabara
Abu Dhabi,,13277,2939,3676,9883,5220,2898,3086,4746,3192,9859,1457,4657,4906,4746,5920,3440,8360,4889,8295,9846,4184,9762,6352,4755,8540,6347,3289,5000,5768,9309,10678,9866,11363,8415,1274,1200,6232,4746,6120,5954,5318,5013,6245,6140,8761,6324,8671,2602,9849,8015,4262,5689,8255,4652,9793,294,5589,6468,2854,4337,7375,9758,5015,8365,8403,6040,6823,4916,3186,7678,7630,6194,1233,6470,6286,6560,4216,6236,5102,3213,6164,6830,6387,81,5894,3598,5222,3558,5963,2824,803,1418,516,6101,10405,7333,4384,8496,4329,6929,4862,9768,6231,6130,3259,6215,4514,4294,5182,12365,4317,3830,3854,11705,462,6240,6104,9708,6009,5949,5402,992,5975,6513,6517,6461,8009,6565,7993,3114,6465,6125,5652,4189,7535,12246,3770,233,9542,8002,1126,9570,4743,8427,8200,8915,6328,4075,7025,10220,8428,6156,484,6117,6352,4937,11116,214,3664,9611,11350,4513,7111,6425,9755,4724,7945,6263,6236,8499,5703,9515,8676,4112,6264,6670,5822,4998,6391,6524,5282,4397,6474,6653,6137,7967,3443,7141,5524,10887,5550,3999,6618,6398,6099,245,6085,4384,3320,6587,7694,6234,6659,6152,5750,6348,5183,4224,6364,5889,,
Acajutla,13277,,12862,12454,12053,8851,13124,10216,11063,12820,5527,13649,11321,8634,11063,11391,9853,9519,9033,9473,12021,9287,11964,7993,11048,10387,7045,11255,8561,8443,10910,2880,12051,2017,11403,12096,12395,7873,9613,7700,10301,8795,8893,7231,11611,14141,11782,11337,11314,5985,11364,12422,11160,9873,11498,11991,13060,8132,6920,11295,11830,,11960,8524,10207,10235,7414,6635,8766,11312,11244,13010,7357,12309,6922,7224,6787,9319,11708,10807,12625,7744,6702,11845,13238,7752,9716,10563,9734,7429,11318,12632,11911,13653,7318,3524,12791,12544,9532,12489,6467,,11970,11689,7836,12718,11600,11678,9151,8815,932,9847,12587,12202,2484,13599,7268,10451,5843,11480,8296,9742,12512,7432,6965,6932,6914,,6875,11353,11236,6917,7324,7658,12349,12993,1812,10001,13365,11834,8154,12330,11815,9610,9851,9936,10765,7558,11727,6497,3560,9554,7736,12855,7817,7993,8973,2972,13370,12319,6008,2041,11679,12569,11883,11957,11205,11389,7202,7258,7371,10133,6425,11343,9696,7202,6722,7796,8560,6964,6975,10796,11412,6927,6731,11608,9176,9857,12599,8076,,8668,12089,12076,8039,7316,13376,7364,12544,12842,7006,13152,7173,12117,7351,7789,7046,8262,12980,11822,7863,13450,
Ain Sokhna,2939,12862,,748,6955,7067,296,4932,1819,264,7644,1565,1729,6752,1818,2992,5286,5433,6735,5367,6918,6030,6834,8199,1827,5612,8194,5135,6846,7597,6381,12524,6938,13209,5488,3121,3068,8079,6593,7966,7800,7165,6859,8091,3212,5833,3396,5743,4448,7377,5087,1334,2761,5327,1724,6865,2692,7436,8314,4701,1410,9221,6830,6861,5438,5476,7886,8669,6762,5033,4750,4702,8040,3100,8316,8132,8406,6063,3308,2175,285,8010,8676,3459,2884,7740,5444,2294,5405,7809,4670,2800,3264,3298,7947,12251,4405,1456,5568,1401,8775,6708,6840,3303,7977,331,3287,1586,6140,7029,13366,6164,903,926,10638,3245,8087,7951,7236,3081,7450,7248,2897,7821,8360,8364,8308,9855,8412,5066,4961,8311,7972,7498,1261,4607,11179,5617,3010,6614,5074,2994,6642,6590,5499,5272,5987,8175,1147,8871,12066,5501,8002,2477,7964,8198,6783,10050,3015,736,6960,13197,1585,4183,3497,6827,1796,5017,8110,8082,5571,2775,6587,5749,5958,8110,8517,7668,6845,8238,8370,2354,1470,8321,8499,3209,5856,5289,4213,7370,9820,7396,1071,3690,8244,7945,3022,7931,1456,392,8433,4766,8081,3731,7998,7596,8195,7030,1296,3437,7736,3096,6253
Aliaga LNG,3676,12454,748,,6558,7792,1021,5658,1422,691,7247,2291,1328,7478,1421,2596,6011,5036,7461,4970,6521,6756,6438,8924,1430,5216,8919,5861,7571,7200,5984,13250,6541,13933,5091,3847,3793,8804,7318,8692,8526,7890,7585,8817,2816,5436,2999,5346,5174,6980,4690,907,2364,4930,1324,6468,3417,8161,9040,5426,1013,9947,6433,7586,5041,5079,8612,9395,7488,5758,4353,4305,8766,3826,9041,8858,9132,6788,2912,1778,566,8736,9402,3062,3610,8466,6170,1897,6130,8534,5396,3525,3990,4024,8673,12977,4009,1029,5171,974,9501,7434,6443,2906,8702,562,2890,1189,6866,7754,12969,6889,243,674,10241,3970,8812,8676,6839,2685,7054,7973,3623,8546,9085,9089,9033,10580,9137,4669,5686,9037,8697,8224,834,4210,10782,6342,3736,6218,4677,3719,6245,7315,5102,4875,5590,8900,750,9597,12791,5104,8728,3203,8689,8924,7509,9653,3741,212,6563,13922,1188,3786,3101,6430,1400,4620,8835,8808,5174,2378,6190,5352,6683,8836,9242,8394,7570,8963,9096,1957,1073,9046,9225,2812,5459,6015,3817,8095,9423,8122,644,3293,8970,8671,3747,8657,1029,686,9159,4369,8806,3334,8724,8321,8920,7755,636,3040,8461,3821,
Altamira,9883,12053,6955,6558,,13884,7231,11867,5171,6927,6837,8501,5428,13688,5170,4919,12221,6346,13671,6281,291,12966,546,15134,5155,1740,15129,12071,13781,8009,1647,14386,389,13537,1923,10057,10003,15014,12760,14902,9975,13723,13573,15027,4774,6698,5080,1475,11384,6570,2291,6529,4694,2237,5606,449,9627,14371,15250,11636,5937,13670,516,13796,1925,1891,14822,15605,13698,11968,2475,5569,14976,10036,15251,15068,15342,12998,4830,4850,6732,14946,15612,5142,9820,14676,12380,4784,12340,14744,11606,9735,10200,10234,14883,15030,5809,6651,6481,6596,15711,13644,551,4986,14912,6825,4622,5785,13075,13897,12572,13099,6694,6309,9845,10180,15022,10126,6429,4918,7863,9417,9833,14756,15295,15299,15243,12239,15347,2280,11896,15246,14907,14434,6456,6010,10386,12552,9946,743,3934,9929,656,12757,2334,2208,1344,14477,5835,15807,15066,6414,14937,9413,14899,15134,13719,9257,9951,6426,6152,13560,5786,5587,5181,513,5313,2444,15045,15018,4757,4533,5780,1481,12893,15046,15452,14604,13780,15173,15306,4721,5519,15256,15435,4771,6770,12225,5617,14305,9027,14264,6196,5199,15180,14880,9957,14867,6651,6950,15369,6170,15016,5404,14934,14531,15130,13965,7088,5120,14671,10031,
Ambon,5220,8851,7067,7792,13884,,7025,2253,8873,7319,9209,5584,8783,1474,8872,10047,1890,8729,1033,8715,13853,2040,13796,2959,8882,12219,2645,3292,2106,5939,12741,6653,13882,7130,12542,4031,4330,2839,1250,2697,6286,671,346,2754,10267,12888,10451,12797,3351,9667,12142,8389,9816,11704,8779,13823,4995,2225,2716,3332,8464,2365,13792,2086,12039,12067,2565,3063,2168,3349,11805,11757,2568,4244,2718,2619,2800,2072,10363,9229,7340,2741,3336,10514,5174,2501,1753,9349,1771,2371,3355,4567,3846,5588,2566,6499,11460,8511,8648,8456,3211,1202,13801,10358,2736,7386,10341,8640,1620,454,7967,2374,7957,7981,9157,5534,2614,6437,9525,10136,6104,5734,4447,2450,3019,3023,2709,3553,3071,12120,3272,2713,2499,2063,8316,11662,9196,1492,5300,13665,9985,4265,13646,1247,11683,11768,12597,1318,8202,3531,6333,8706,2733,4790,2723,2958,2375,8722,5305,7791,9690,7116,8640,11238,10552,13788,8851,12072,2596,2610,9629,9830,9738,12803,1187,2597,2911,2436,2105,2664,3030,9408,8524,2722,2893,10264,8110,1894,11268,2160,8531,679,8126,10745,3004,2563,5312,2595,8511,7446,3096,11821,2567,10786,2526,2367,2646,1948,8351,10491,2503,5385,
Aqaba,2898,13124,296,1021,7231,7025,,4880,2100,545,7926,1513,2010,6700,2099,3274,5233,5714,6683,5649,7200,5978,7116,8146,2108,5894,8141,5083,6793,7562,6663,12472,7219,13157,5769,3069,3015,8026,6540,7914,7748,7112,6807,8039,3494,6114,3678,6024,4396,7658,5368,1616,3042,5609,2005,7147,2639,7383,8262,4648,1691,9169,7111,6808,5719,5757,7834,8617,6710,4980,5032,4984,7988,3048,8263,8080,8354,6010,3590,2456,567,7958,8624,3740,2832,7688,5392,2576,5352,7756,4618,2747,3212,3246,7895,12199,4687,1737,5849,1682,8723,6656,7121,3585,7924,612,3568,1867,6088,6976,13647,6111,1184,1207,10920,3192,8034,7898,7517,3363,7732,7195,2845,7768,8307,8311,8255,9802,8359,5347,4908,8259,7919,7446,1542,4888,11461,5564,2958,6896,5356,2941,6923,6537,5780,5553,6268,8122,1429,8819,12013,5782,7950,2425,7911,8146,6731,10331,2963,1017,7241,13144,1867,4465,3779,7108,2078,5299,8057,8030,5852,3056,6869,6030,5905,8058,8464,7616,6792,8185,8318,2635,1751,8268,8447,3491,6137,5237,4495,7317,10102,7344,1352,3972,8192,7893,2969,7879,1738,673,8381,5048,8028,4012,7946,7543,8142,6977,1577,3718,7683,3043,6517
Arun,3086,10216,4932,5658,11867,2253,4880,,6740,5185,8853,3451,6650,1838,6739,7914,372,7579,1914,7565,11840,1116,11756,3285,6748,10534,3280,1099,1932,4762,11303,7610,11859,8295,10409,1898,2197,3164,2239,3052,4948,2483,2050,3177,8134,10754,8318,10664,1116,8843,10008,6256,7682,10249,6645,11787,2862,2521,3400,1106,6331,4443,11751,1947,10359,10397,2972,3755,1848,1156,9672,9624,3126,2111,3402,3218,3492,1148,8230,7096,5207,3096,3762,8380,3041,2826,530,7216,490,2895,1128,2434,1713,3455,3033,7337,9327,6377,7498,6322,3861,1794,11761,8225,3062,5252,8208,6507,1226,2208,9297,1249,5824,5847,10620,3401,3172,5098,8701,8003,4943,4395,2314,2907,3445,3449,3393,5632,3498,9987,1080,3397,3057,2584,6182,9528,11161,1246,3167,11536,8835,2132,11563,2236,10420,10193,10908,3397,6068,3957,7152,7556,3088,2657,3049,3284,1869,10032,3172,5657,8605,8282,6507,9105,8419,11748,6718,9939,3195,3168,8479,7696,8588,10670,1221,3196,3602,2754,1930,3324,3456,7275,6391,3406,3585,8131,6960,375,9135,2456,9802,2575,5992,8612,3330,3031,3178,3017,6378,5313,3519,9688,3166,8652,3084,2682,3280,2115,6217,8358,2821,3252,
Arzew,4746,11063,1819,1422,5171,8873,2100,6740,,1792,5861,3366,352,8552,5,1209,7086,3649,8535,3584,5135,7831,5051,9999,114,3829,9994,6935,8646,5814,4598,13396,5154,12546,3704,4921,4868,9879,8393,9766,7780,8965,8660,9892,1429,4050,1613,3959,6249,5594,3304,1394,978,3544,524,5082,4492,9236,10115,6501,803,11022,5047,8661,3654,3692,9687,10469,8562,6833,2967,2919,9841,4900,10116,9932,10207,7863,1525,391,1597,9811,10476,1676,4684,9541,7244,511,7205,9609,6470,4600,5064,5098,9747,14040,2622,1516,3784,1461,10576,8508,5056,1520,9777,1690,1503,676,7940,8829,11582,7964,1559,1174,8855,5045,9887,7930,5452,1298,5667,7221,4697,9621,10160,10164,10108,11249,10212,3282,6761,10111,9772,9299,1321,2824,9396,7417,4811,4831,3291,4794,4859,8390,3715,3488,4203,9975,699,10671,13866,3717,9802,4277,9764,9998,8584,8267,4816,1291,5176,12570,677,2400,1714,5043,241,3234,9910,9882,3787,991,4804,3965,7758,9910,10317,9469,8645,10038,10170,570,384,10121,10299,1426,4072,7090,2430,9170,8037,9196,1061,1907,10044,9745,4822,9731,1516,1814,10234,2983,9881,1948,9798,9396,9995,8830,1952,1653,9536,4896,
Ashdod,3192,12820,264,691,6927,7319,545,5185,1792,,7614,1806,1695,6992,1787,2962,5526,5402,6975,5337,6888,6270,6804,8439,1797,5582,8434,5375,7086,7567,6351,12764,6908,13450,5457,3361,3308,8319,6833,8206,8040,7405,7100,8331,3182,5803,3366,5712,4689,7347,5057,1293,2731,5297,1690,6835,2932,7676,8554,4941,1378,9461,6800,7101,5407,5445,8127,8909,7002,5273,4720,4672,8281,3340,8556,8372,8647,6303,3278,2144,268,8250,8916,3429,3124,7980,5684,2264,5645,8049,4910,3040,3504,3538,8187,12492,4375,1415,5537,1360,9015,6948,6810,3273,8217,203,3257,1554,6380,7269,13336,6404,845,904,10608,3485,8327,8191,7206,3051,7420,7488,3137,8061,8600,8604,8548,10095,8652,5035,5201,8551,8212,7739,1220,4577,11149,5857,3251,6584,5044,3234,6612,6830,5468,5241,5957,8415,1117,9111,12306,5470,8242,2717,8204,8438,7024,10020,3255,679,6930,13437,1554,4153,3467,6797,1766,4987,8350,8322,5541,2745,6557,5718,6198,8350,8757,7909,7085,8478,8610,2324,1439,8561,8739,3179,5826,5530,4183,7610,9790,7636,1030,3660,8484,8185,3262,8171,1415,237,8674,4736,8321,3701,8238,7836,8435,7270,1239,3406,7976,3336,
