from,Bintulu,Limassol,Mizushima,Tombak LNG Terminal,Fos - Cavaou LNG Terminal,Kitakyushu,Barcelona,Tangguh,Chiwan,Halifax,Malacca,Point Fortin,Otaru,Kushiro,Le Havre,Koper,Kagoshima,Quintero,Osaka,Kochi,Qalhat,Incheon,Quebec,Rotterdam,Khor al Zubair,Isle of Grain,Okinawa,Falconara,Ohgishima,Semarang,Hadera,Mossel Bay,Donghae,Bahrain,Cameron,Arzew,Shenzhen,Dalian,Zhangjiagang,Aliaga,Punta Europa,Guayama,Tobata,Wakayama,Nanao,Suez Canal,Seria,Lahad Datu,Zhuhai,Pointe-a-Pitre,Soyo,Pluto,Gioia Tauro,Luwuk,Shanghai,Rostock,Qinzhou,Vyborg,Port Qasim,Pecem,Guayanilla,Swinoujscie,Karwar - South Port,Lumut,Sabine Pass,Negishi,Cartagena,Joetsu,Kwangyang,Panigaglia,Qingdao,Rosignano LNG,Dragon,Hakodate,Shinminato,Lake Charles,Port Esquivel,New Plymouth,Yokohama,Coega,Niigata-Nishi,Kakinada,Escobar,Qinhuangdao,Pampa Melchorita,Balboa,Livorno,Sodegaura,Port Moresby,Costa Azul,Huelva,Rio Grande,Zeebrugge,Revithoussa,Kenai,Tianjin,Fujairah,Corpus Christi,Tripoli,Senboku,El Ferrol,Kitimat,Dar-es-Salaam,Northeast Gateway Deepwater Port,Cove Point,Marsa el Brega,Rosarito,Everett,Heibei,Acajutla,Paldiski,Yangshan,Sendai,Cai Mep,Hammerfest,Higashi-Ogishima,Fos Sur Mer,Lianyungang,Sakhalin,Salvador,Bonny,Karratha Gas Plant,Ortona,Mombasa,Fort de France,Map Ta Phut,Barrow Island,Soma,Mejillones,Canaport,Hatsukaichi,Pascagoula,Manzanillo,Mozambique Port,Niigata Higashi,Yuzhny,Jiangsu,AES Andres,Golden Pass,Brownsville,Dahej,Hainan,Gwangyang,Colon,Ningbo,Ashdod,Skikda,Cape Town,Bethioua,Yokkaichi,Sungai Udang,Sagunto,Dunkirk,Guanabara,Jorf Lasfar,Arun,Batangas,Dangjin,Pipavav,Boryeong,Drovyanoy,Bal Haf LNG,Hitachi,Trieste,Puerto Bahia,Gulf Gateway Deepwater Port,Tenerife,Haikou,Bilbao,Jebel Ali,Panama Canal,Krk Island,Tokyo Bay,Yangpu,Chittagong,Neptune,Yung An,Montevideo,Freeport,Taranto,Chita,Coos Bay,Marmara Ereglisi,Porto Empedocle,Taichung,Johore,Ennore,Fukuoko,Panjang,Guangdong,Nagasaki,Gibraltar,Himeji,Jakarta,Sao Francisco do Sul,Darwin,South Hook LNG,Futtsu,Talcahuano,Hachinohe,Dampier,Port Dolphin,Tabangao,Ras Laffan,Hazira,Ho Chi Min City,Altamira,Shimizu,Gladstone,Sakai,Klaipeda,Gangavaram,Jurong Marine Base - Singapore,Vladivostok,Malta,Karachi,Ambon,Kawagoe,Sakaide,Haldia,Teeside,Yanai,Pars LNG Terminal,Mundra,Holyhead,Brass,Port Said,Shtokman,Plaquemines,Abu Dhabi,Limerick,Sines,Ain Sokhna,Dabhol,Idku,Bahia Blanca,Oita,Aqaba,Dili,Tong Yong,Montoir,Kribi,Damietta,Port Arthur,Wilhelmshaven,Elba,Fujian,Samcheog,Prince Rupert,Suez,Mina Al Ahmadi,Bontang,Rovigo,Pyeongtaek
Bintulu,0,13287,2338,4279,12074,2207,11897,1802,1211,12746,759,11628,2931,3035,12270,13098,2066,10110,2356,2511,3761,2272,13249,12475,4556,12457,1728,12993,2552,1057,13382,6035,2351,4353,13743,11636,1210,2348,2005,13022,8653,11986,2205,2324,2619,6039,212,805,1202,11715,8057,2072,12403,1530,1938,13172,1186,13758,3545,9932,12014,13201,2817,217,13735,2550,11623,2623,2147,12259,2232,12253,12195,2840,2630,13748,12544,4975,2552,5862,2662,2226,9949,2466,10448,10158,12242,2560,3026,7437,11382,9702,12411,12891,5874,2516,3966,13828,13411,2353,11731,6493,6053,12972,13115,12771,7423,12986,2488,9293,13595,1864,2758,589,13658,2557,12077,2244,3129,9576,8677,2071,12924,6203,11651,980,2088,2741,10489,12946,2290,13609,8383,5501,2671,13549,2008,12162,13738,13800,3297,1152,2147,12690,1838,13391,11982,6301,11635,2437,762,11784,12363,9510,11136,1123,867,2232,3234,2208,14791,4545,2648,13100,12460,13631,10724,1154,11965,4150,10158,13056,2564,1097,2161,12973,1333,9808,13770,12658,2436,6766,13158,12299,1644,636,2222,2107,1180,1220,2081,11382,2376,1091,9685,2256,12192,2551,9922,2911,2075,13528,867,4276,3217,617,13831,2478,3829,2352,13397,2203,649,2693,12368,3538,1766,2437,2330,2222,12678,2247,4268,3418,12291,8662,13293,13955,13593,4223,12246,11371,6038,3002,13194,9960,2224,5985,1855,2192,12057,8595,13269,13745,12707,13107,1704,2351,6308,6039,4502,1130,13084,2270
Limassol,13286,0,15357,13288,1587,15216,1592,13724,14117,4611,12552,5368,15940,16044,3137,1283,15077,9919,15382,11578,12770,15273,4988,3342,13564,3324,14756,1178,15579,12490,175,7342,15360,13361,6705,1690,14116,15349,15006,561,5372,5308,15214,15350,15628,204,13383,13446,14108,5143,5727,12216,1293,13356,14939,4039,14052,4625,12556,4946,5346,4068,11852,13388,6697,15577,1696,15632,15155,1488,15232,1452,3062,15849,15639,6710,5857,12904,15578,7471,15671,12149,7249,15467,11051,12402,1468,15587,14219,14201,2043,6831,3278,550,16445,15517,12974,6807,141,15379,2598,15694,9438,4947,5359,829,14225,4960,15489,12717,4462,14865,15785,13299,4557,15583,1590,15244,16138,5442,5305,12215,1109,9589,5198,13432,12185,15768,10510,4884,15309,6481,13237,8880,15680,1110,15009,5480,6700,6788,12319,14033,15155,6252,14838,,1338,7028,1689,15465,12554,1666,3230,6128,2166,12194,14001,15233,12257,15209,5690,13554,15675,1285,6033,6592,2641,14035,2832,13159,6252,1241,15590,13963,12613,4947,14298,7107,6739,913,15464,15051,718,1014,14644,12721,11928,15118,12162,14130,15090,1920,15402,12281,6459,13183,3059,15578,9691,15938,12219,6370,14001,13285,12240,13326,6825,15506,14257,15379,4264,12180,12672,15702,934,12549,13344,15465,15350,12512,3545,15267,13276,12430,3158,5239,204,4855,6512,13232,3145,2203,15046,12025,266,7516,15244,14994,13033,15200,2924,5439,224,6707,3574,5619,14704,15360,15731,15048,13510,13141,1269,15270
Mizushima,2336,15345,0,6328,14133,179,13955,2575,1495,14804,2808,13686,959,953,14329,15156,348,9621,94,4560,5810,660,15307,14533,6604,14515,636,15051,434,3172,15440,8094,416,6401,15801,13694,1494,795,781,15081,10711,14044,176,105,637,8088,2184,2173,1505,13774,10116,3635,14461,2378,714,15230,1910,15816,5594,11991,14072,15260,4866,2190,15794,431,13681,641,359,14317,743,14311,14253,862,648,15807,14602,5018,433,7916,680,4274,11133,913,8879,8106,14301,442,3428,5346,13440,11155,14470,14949,3768,963,6014,15887,15469,93,13789,4387,8102,15031,15174,14829,5334,15044,935,7268,15654,707,652,2245,15716,438,14136,762,1157,11635,10735,3634,14982,8252,13710,2805,3674,635,9487,15004,105,15667,6356,7550,690,15607,671,14221,15797,15858,5345,1706,359,14748,755,15449,14040,8360,13694,318,2811,13842,14422,11568,13195,3172,1616,620,5283,593,16849,6594,542,15159,14518,15689,12783,1708,14023,6199,8106,15114,445,1780,4210,15031,1196,10991,15828,14717,317,4660,15216,14357,1001,2685,4270,391,3289,1459,338,13441,69,3205,11573,3104,14250,433,9573,805,3638,15586,1616,6325,5266,2272,15890,362,3957,93,15455,4252,2698,741,14426,5586,2614,318,10,4270,14736,110,6316,5466,14349,10721,15351,16014,15652,6272,14304,13430,8086,5051,15252,10675,142,8034,2732,325,14115,10654,15328,15803,14766,15165,1052,416,4201,8088,6550,2454,15142,657
Tombak LNG Terminal,4291,13288,6342,0,12076,6200,11898,5641,5101,12747,3536,11629,6924,7028,12272,13099,6062,11204,6366,1798,573,6257,13250,12476,307,12458,5741,12994,6564,4202,13383,6037,6344,127,13744,11637,5100,6333,5990,13024,8654,11987,6198,6335,6613,3023,4387,4957,5093,11716,8059,4834,12404,5273,5923,13173,5037,13759,916,9934,12015,13203,1509,4393,13737,6561,11624,6617,6139,12260,6217,12254,12196,6833,6623,13749,12545,8101,6563,5859,6655,2917,9941,6451,12336,13688,12244,6571,6419,11462,11383,9703,12413,12892,9885,6501,382,13830,13412,6364,11732,10504,6045,12974,13116,12772,11450,12987,6473,13376,13597,5849,6770,4283,13659,6568,12079,6229,7122,9577,8678,4833,12925,6195,11652,4417,4805,6752,11795,12947,6293,13610,12464,5492,6665,13550,5993,12163,13740,13801,1293,5018,6139,12691,5823,13392,11983,6302,11637,6450,3539,11785,12365,9511,11137,3178,5008,6217,1221,6193,14792,1529,6659,13101,12461,13632,10725,5019,11966,241,12691,13057,6575,4947,3381,12974,5283,9799,13771,12659,6448,10777,13159,12300,5629,3706,2696,6103,3861,5114,6074,11384,6387,3994,9686,5410,12193,6562,10976,6922,4837,13529,5008,142,1330,4311,13832,6491,7464,6363,13398,2948,3657,6686,12369,894,5311,6450,6334,3280,12679,6251,,1084,12292,8663,13294,13956,13594,178,12247,11373,3021,1365,13195,9951,6228,2969,5104,6185,12058,8597,13270,13746,12709,13108,5689,6344,10319,3023,253,4980,13085,6254
Fos - Cavaou LNG Terminal,12067,1588,14137,12068,0,13996,192,12504,12897,3392,11332,4148,14720,14824,1918,1399,13858,8699,14162,10358,11550,14053,3768,2122,12345,2104,13536,1294,14360,11270,1683,6122,14140,12142,5485,523,12896,14129,13786,1323,4152,4089,13994,14130,14409,1597,12163,12226,12888,3923,4507,10996,630,12136,13719,2819,12832,3405,11336,3726,4127,2849,10633,12169,5477,14357,462,14412,13935,256,14013,260,1842,14629,14419,5490,4637,11684,14359,6251,14451,10930,6029,14247,9831,11183,243,14367,13000,12982,824,5611,2059,1191,15226,14297,11755,5587,1712,14160,1378,14475,8219,3727,4139,1071,13005,3741,14269,11498,3243,13645,14566,12079,3337,14364,,14024,14918,4223,4085,10995,1224,8369,3979,12212,10966,14548,9290,3664,14089,5262,12017,7660,14461,1853,13789,4260,5480,5568,11100,12814,13935,5032,13619,1691,406,5808,522,14245,11335,,2011,4909,946,10974,12781,14013,11037,13989,4471,12334,14455,1401,4813,5372,1421,12815,1612,11939,5032,1357,14371,12743,11394,3728,13079,5887,5519,959,14244,13831,1462,591,13425,11502,10708,13898,10943,12910,13870,700,14183,11062,5239,11964,1839,14358,8471,14718,10999,5150,12781,12065,11020,12106,5605,14287,13037,14159,3044,10960,11452,14482,668,11329,12124,14246,14130,11293,2325,14047,12057,11210,1938,4019,1597,3635,5292,12012,1925,983,13826,10805,1495,6296,14024,13774,11813,13980,1704,4219,1570,5487,2355,4400,13484,14140,14511,13828,12291,11922,1384,14050
Kitakyushu,2207,15206,180,6188,13993,0,13816,2527,1355,14665,2669,13547,786,884,14189,15017,300,9732,257,4420,5670,487,15168,14393,6465,14376,,14912,557,3027,15301,7955,243,6262,15662,13555,1354,622,608,14941,10571,13904,,268,465,7948,2055,2058,1366,13634,9976,3586,14322,2330,541,15091,1771,15676,5454,11851,13932,15120,4726,2060,15654,554,13541,469,186,14177,571,14172,14113,689,475,15667,14462,5018,556,7776,508,4135,11057,740,8934,8161,14161,565,3414,5383,13300,11079,14330,14809,3761,790,5875,15747,15330,256,13650,4380,7962,14891,15034,14689,5371,14905,762,7318,15514,535,775,2105,15576,561,13996,589,984,11495,10596,3585,14842,8113,13570,2666,3603,758,9582,14865,128,15528,6406,7410,517,15468,499,14081,15657,15719,5206,1566,186,14608,582,15309,13901,8220,13554,441,2671,13702,14282,11429,13055,3032,1486,447,5143,421,16710,6454,665,15019,14379,15549,12643,1568,13883,6059,8161,14975,568,1640,4070,14892,1057,10915,15688,14577,440,4672,15076,14218,841,2545,4131,218,3150,,166,13301,232,3061,11496,3056,14110,555,9673,782,3589,15447,1486,6185,5126,2133,15750,485,3954,256,15316,4112,2558,568,14286,5447,2565,441,173,4131,14597,84,6177,5327,14210,10581,15212,15874,15512,6132,14165,13290,7947,4911,15113,10598,84,7894,2684,152,13976,10514,15188,15664,14626,15025,885,243,4194,7948,6411,2383,15002,484
Barcelona,11889,1593,13960,11891,193,13819,0,12327,12720,3214,11155,3971,14543,14647,1740,1404,13680,8521,13985,10181,11373,13876,3591,1945,12167,1927,13359,1299,14182,11092,1688,5945,13963,11964,5307,352,12719,13951,13609,1328,3975,3911,13817,13953,14231,1602,11986,12049,12711,3746,4330,10819,686,11959,13542,2642,12655,3228,11159,3549,3949,2671,10455,11991,5300,14179,285,14235,13758,391,13835,393,1665,14452,14242,5313,4460,11506,14181,6074,14274,10752,5851,14070,9654,11005,377,14190,12822,12804,646,5434,1881,1196,15048,14120,11577,5410,1717,13982,1201,14297,8041,3550,3962,1076,12828,3563,14092,11320,3065,13468,14388,11902,3160,14186,196,13847,14741,4045,3907,10818,1229,8192,3801,12035,10788,14371,9112,3487,13912,5084,11840,7483,14283,1858,13612,4082,5303,5391,10922,12636,13758,4855,13441,1696,351,5631,351,14068,11157,155,1833,4731,769,10796,12604,13836,10860,13812,4293,12157,14278,1406,4636,5195,1244,12638,1435,11761,4855,1362,14193,12566,11216,3550,12901,5710,5342,964,14067,13654,1467,595,13247,11324,10531,13721,10765,12733,13692,523,14005,10884,5061,11786,1662,14181,8294,14541,10822,4973,12604,11888,10843,11929,5428,14109,12860,13982,2867,10783,11275,14305,673,11152,11947,14068,13953,11115,2148,13870,11879,11033,1761,3841,1602,3458,5115,11834,1748,806,13649,10628,1499,6118,13847,13597,11635,13803,1527,4042,1575,5310,2177,4222,13307,13963,14334,13651,12113,11744,1389,13873
Tangguh,1802,13720,2577,5637,12507,2527,12329,0,2143,13178,2211,12060,3270,3112,12703,13531,2341,9135,2542,3869,5119,2738,13681,12907,5914,12889,2044,13426,2621,1517,13814,6484,2738,5711,14175,12068,2142,2852,2528,13455,9085,12418,2524,2510,2986,7397,1650,1233,2138,12148,8490,1700,12835,644,2461,13604,2411,14190,4903,10365,12446,13634,4175,1655,14168,2618,12055,2990,2550,12691,2747,12685,12627,3061,2996,14181,12976,4000,2620,6316,3029,3677,10097,2970,9473,9447,12675,2629,1937,6938,11814,10119,12844,13323,5718,3020,5324,14261,13843,2539,12163,6308,6625,13405,13548,13203,6925,13419,2992,8668,14028,2390,2812,2075,14090,2625,12510,2758,3472,10009,9109,1699,13356,6776,12084,2537,1742,2794,9514,13378,2529,14042,7775,6073,3038,13982,2524,12595,14171,14232,4655,2206,2550,13122,2384,13823,12414,6734,12068,2572,2214,12216,12796,9943,11569,2575,1507,2698,4592,2672,15224,5903,2701,13533,12892,14063,11157,2208,12397,5508,9447,13489,2632,2280,3613,13405,1984,9955,14202,13091,2571,6462,13590,12732,2201,2088,3673,2455,1821,2124,2443,11815,2563,1714,10118,1169,12624,2620,8947,2964,1703,13960,1507,5634,4575,2103,14264,2580,2853,2539,13829,3655,2101,3080,12800,4896,679,2572,2569,3673,13110,2486,5626,4776,12723,9095,13725,14388,14026,5581,12678,11804,7396,4360,13626,9639,2463,7343,797,2580,12490,9028,13702,14178,13140,13539,2261,2738,6142,7397,5860,1338,13516,2736
Chiwan,1214,14107,1498,5090,12895,1356,12717,2144,0,13566,1570,12448,2080,2184,13091,13918,1218,10286,1532,3322,4572,1413,14069,13295,5366,13277,917,13813,1742,1972,14202,6856,1500,5163,14563,12456,,1489,1146,13843,9473,12806,1354,1500,1769,6850,1167,1278,46,12536,8878,2807,13223,1872,1079,13992,,14578,4356,10753,12834,14022,3627,1172,14556,1739,12443,1773,1296,13079,1373,13073,13015,1989,1779,14569,13364,5151,1741,6678,1811,3036,10760,1607,10131,9395,13063,1749,3366,6640,12202,10522,13232,13711,5061,1657,4776,14649,14231,1529,12551,5680,6864,13793,13935,13591,6626,13806,1629,8559,14416,1005,1948,1002,14478,1746,12898,1385,2278,10397,9497,2806,13744,7014,12471,1562,2823,1930,10599,13766,1449,14429,7648,6311,1821,14369,1149,12982,14559,14620,4107,291,1296,13510,979,14211,12802,7121,12456,1626,1573,12604,13184,10330,11956,1934,709,1373,4044,1349,15611,5356,1837,13920,13280,14451,11544,,12785,4960,9395,13876,1753,,2972,13793,,10618,14590,13478,1625,5955,13978,13119,785,1447,3032,1259,2094,,1230,12203,1549,2005,10505,2598,13012,1740,10098,2082,2810,14348,709,5087,4028,1029,14652,1667,4005,1529,14217,3014,1459,1842,13188,4348,2108,1626,1490,3032,13498,1407,5078,4228,13111,9482,14113,14776,14413,5033,13066,12192,6848,3813,14014,10770,1384,6796,2226,1341,12877,9416,14089,14565,13528,13927,845,1500,5494,6850,5312,1603,13904,1411
Halifax,12741,4617,14812,12743,3405,14671,3227,13179,13572,0,12007,2080,15395,15499,2593,4429,14532,8444,14837,11033,12225,14728,861,2797,13019,2779,14211,4324,15034,11945,4712,6797,14815,12816,2354,2966,13571,14804,14461,4353,4837,1658,14669,14805,15083,4623,12838,12901,13563,1759,5192,11671,3733,12811,14394,3116,13507,3701,12011,3182,1677,3145,11307,12843,2346,15032,2953,15087,14610,3589,14687,3583,2372,15304,15094,2359,1844,11429,15033,6926,15126,11604,5760,14922,9576,10928,3573,15042,13667,12727,2644,5343,2734,4221,14971,14972,12429,2456,4741,14834,2365,14220,8893,374,859,4101,12751,387,14944,11243,3539,14320,15240,12754,3173,15038,3408,14699,15593,3947,4770,11670,4254,9044,1830,12887,11641,15223,9035,309,14764,2131,11763,8335,15135,4880,14464,1698,2349,2437,11774,13488,14610,2320,14293,4721,3312,6493,2966,14920,12009,3114,2686,4640,2643,11649,13456,14688,11712,14664,4303,13009,15130,4431,2203,2242,2511,13490,2577,12614,2320,4387,15045,13418,12068,374,13753,5619,2388,3989,14919,13577,4488,3629,14099,12176,11383,14573,11618,13585,14545,2713,14857,11736,4970,12638,2369,15033,8216,15393,11674,2020,13456,12740,11695,12781,2474,14961,12859,14834,3340,11635,12127,15157,3698,12004,12799,14920,14805,11967,2724,14722,12731,11885,2431,4704,4623,3467,2161,12687,2226,2480,14501,11480,4524,6027,14699,14449,12488,14655,2546,4904,4600,2356,2929,1157,14159,14815,14257,14503,12965,12596,4414,14725
