from,Bintulu,Limassol,Mizushima,Tombak LNG Terminal,Fos - Cavaou LNG Terminal,Kitakyushu,Barcelona,Tangguh,Chiwan,Halifax,Malacca,Point Fortin,Otaru,Kushiro,Le Havre,Koper,Kagoshima,Quintero,Osaka,Kochi,Qalhat,Incheon,Quebec,Rotterdam,Khor al Zubair,Isle of Grain,Okinawa,Falconara,Ohgishima,Semarang,Hadera,Mossel Bay,Donghae,Bahrain,Cameron,Arzew,Shenzhen,Dalian,Zhangjiagang,Aliaga,Punta Europa,Guayama,Tobata,Wakayama,Nanao,Suez Canal,Seria,Lahad Datu,Zhuhai,Pointe-a-Pitre,Soyo,Pluto,Gioia Tauro,Luwuk,Shanghai,Rostock,Qinzhou,Vyborg,Port Qasim,Pecem,Guayanilla,Swinoujscie,Karwar - South Port,Lumut,Sabine Pass,Negishi,Cartagena,Joetsu,Kwangyang,Panigaglia,Qingdao,Rosignano LNG,Dragon,Hakodate,Shinminato,Lake Charles,Port Esquivel,New Plymouth,Yokohama,Coega,Niigata-Nishi,Kakinada,Escobar,Qinhuangdao,Pampa Melchorita,Balboa,Livorno,Sodegaura,Port Moresby,Costa Azul,Huelva,Rio Grande,Zeebrugge,Revithoussa,Kenai,Tianjin,Fujairah,Corpus Christi,Tripoli,Senboku,El Ferrol,Kitimat,Dar-es-Salaam,Northeast Gateway Deepwater Port,Cove Point,Marsa el Brega,Rosarito,Everett,Heibei,Acajutla,Paldiski,Yangshan,Sendai,Cai Mep,Hammerfest,Higashi-Ogishima,Fos Sur Mer,Lianyungang,Sakhalin,Salvador,Bonny,Karratha Gas Plant,Ortona,Mombasa,Fort de France,Map Ta Phut,Barrow Island,Soma,Mejillones,Canaport,Hatsukaichi,Pascagoula,Manzanillo,Mozambique Port,Niigata Higashi,Yuzhny,Jiangsu,AES Andres,Golden Pass,Brownsville,Dahej,Hainan,Gwangyang,Colon,Ningbo,Ashdod,Skikda,Cape Town,Bethioua,Yokkaichi,Sungai Udang,Sagunto,Dunkirk,Guanabara,Jorf Lasfar,Arun,Batangas,Dangjin,Pipavav,Boryeong,Drovyanoy,Bal Haf LNG,Hitachi,Trieste,Puerto Bahia,Gulf Gateway Deepwater Port,Tenerife,Haikou,Bilbao,Jebel Ali,Panama Canal,Krk Island,Tokyo Bay,Yangpu,Chittagong,Neptune,Yung An,Montevideo,Freeport,Taranto,Chita,Coos Bay,Marmara Ereglisi,Porto Empedocle,Taichung,Johore,Ennore,Fukuoko,Panjang,Guangdong,Nagasaki,Gibraltar,Himeji,Jakarta,Sao Francisco do Sul,Darwin,South Hook LNG,Futtsu,Talcahuano,Hachinohe,Dampier,Port Dolphin,Tabangao,Ras Laffan,Hazira,Ho Chi Min City,Altamira,Shimizu,Gladstone,Sakai,Klaipeda,Gangavaram,Jurong Marine Base - Singapore,Vladivostok,Malta,Karachi,Ambon,Kawagoe,Sakaide,Haldia,Teeside,Yanai,Pars LNG Terminal,Mundra,Holyhead,Brass,Port Said,Shtokman,Plaquemines,Abu Dhabi,Limerick,Sines,Ain Sokhna,Dabhol,Idku,Bahia Blanca,Oita,Aqaba,Dili,Tong Yong,Montoir,Kribi,Damietta,Port Arthur,Wilhelmshaven,Elba,Fujian,Samcheog,Prince Rupert,Suez,Mina Al Ahmadi,Bontang,Rovigo,Pyeongtaek
Bintulu,0,13287,2338,4279,12074,2207,11897,1802,1211,12520,759,11375,2931,3035,12270,13098,2066,10110,2356,2511,3761,2272,13249,12475,4556,12457,1728,12993,2552,1057,13382,6035,2351,4353,11753,11636,1210,2348,2005,13022,8653,11155,2205,2324,2619,,212,805,1202,11374,8057,2072,12403,1530,1938,13172,1186,13758,3545,9932,11125,13201,2817,217,11746,2550,11623,2623,2147,12259,2232,12253,12195,2840,2630,11758,10741,4975,2552,5862,2662,2226,9949,2466,10448,10158,12242,2560,3026,7437,11382,9702,12411,12891,5874,2516,3966,11838,13411,2353,11731,6493,6053,12353,12067,12771,7423,12367,2488,9293,13595,1864,2758,589,13658,2557,12077,2244,3129,9576,8677,2071,12924,6203,11356,980,2088,2741,10489,12516,2290,11619,8383,5501,2671,13549,2008,11006,11749,11810,3297,1152,2147,10197,1838,13391,11982,6301,11635,2437,762,11784,12363,9510,11136,1123,867,2232,3234,2208,14791,4545,2648,13100,10471,11641,10724,1154,11965,4150,,13056,2564,1097,2161,12354,1333,9808,11780,12658,2436,6766,13158,12299,1644,636,2222,2107,1180,1220,2081,11382,2376,1091,9685,2256,12192,2551,9922,2911,2075,11549,867,4276,3217,617,11841,2478,3829,2352,13397,2203,649,2693,12368,3538,1766,2437,2330,2222,12678,2247,4268,3418,12291,8662,13293,13955,11603,4223,12246,11371,6038,3002,13194,9960,2224,5985,1855,2192,12057,8595,13269,11755,12707,11763,1704,2351,6308,6039,4502,1130,13084,2270
Limassol,13286,0,14379,13288,1587,14442,1592,13724,14117,4611,12552,5368,13826,13583,3137,1283,14546,8900,14315,11578,12770,14855,4988,3342,13564,3324,14756,1178,14030,12490,175,7342,14355,13361,6705,1690,14116,14990,14986,561,5372,5308,14440,14283,14089,,13383,13446,14108,5143,5727,12216,1293,13356,14919,4039,14052,4625,12556,4946,5346,4068,11852,13388,6697,14028,1696,14056,14537,1488,14939,1452,3062,13773,14099,6710,5857,12904,14029,7471,14002,12149,7249,15109,7733,6291,1468,14038,14219,9133,2043,6831,3278,550,11396,15159,12974,6807,141,14312,2598,10640,9438,4947,5359,829,9157,4960,15131,7154,4462,14865,13839,13299,4557,14035,1590,14958,13604,5442,5305,12215,1109,9589,5198,13432,12185,13848,8405,4884,14470,6481,8048,8880,13999,1110,14876,5480,6700,6788,12319,14033,14537,6252,14838,,1338,7028,1689,14160,12554,1666,3230,6128,2166,12194,14001,14815,12257,14789,5690,13554,13903,1285,6033,6592,2641,14035,2832,13159,,1241,14042,13963,12613,4947,14298,7107,6739,913,14159,9997,718,1014,14644,12721,11928,14665,12162,14130,14556,1920,14335,12281,6459,13183,3059,14029,9093,13751,12219,6370,14001,13285,12240,13326,6825,14076,14149,14312,4264,12180,12672,14122,934,12549,13344,14160,14372,12512,3545,14468,13276,12430,3158,5239,204,4855,6512,13232,3145,2203,15046,12025,266,7516,14445,14994,13033,14489,2924,5439,224,6707,3574,5619,14704,14355,10677,15048,13510,13141,1269,14853
Mizushima,2336,14393,0,6328,13180,179,13002,2575,1495,10469,2808,9324,959,953,12762,14204,348,9621,94,4560,5810,660,11237,12966,6604,12949,636,14099,434,3172,14488,8094,416,6401,9702,12742,1494,795,781,14128,10711,9103,176,105,637,,2184,2173,1505,9322,10116,3635,13509,2378,714,13403,1910,13988,5594,10934,9073,13432,4866,2190,9694,431,12728,641,359,13364,743,13359,12576,862,648,9707,8690,5018,433,7916,680,4274,11133,913,8879,8106,13348,442,3428,5346,12423,11155,12903,13996,3768,963,6014,9787,14517,93,12376,4387,8102,10302,10015,13876,5334,10315,935,7268,13826,707,652,2245,13463,438,13183,762,1157,11635,10735,3634,14029,8252,9305,2805,3674,635,9487,10464,105,9568,6356,7550,690,14655,671,8955,9697,9758,5345,1706,359,8146,755,14496,13087,8360,12741,318,2811,12889,12855,11568,12312,3172,1616,620,5283,593,14593,6594,542,14206,8419,9589,11969,1708,12607,6199,,14162,445,1780,4210,10302,1196,10991,9728,13764,317,4660,14263,13405,1001,2685,4270,391,3289,1459,338,12488,69,3205,11573,3104,12573,433,9573,805,3638,9497,1616,6325,5266,2272,9790,362,3957,93,13627,4252,2698,741,13473,5586,2614,318,10,4270,13011,110,6316,5466,12636,10721,14399,13758,9552,6272,12450,12315,8086,5051,14300,10675,142,8034,2732,325,12658,10654,14375,9704,13199,9711,1052,416,4201,8088,6550,2454,14189,657
Tombak LNG Terminal,4291,13288,6342,0,12076,6200,11898,5641,5101,12747,3536,11629,6924,7028,12272,13099,6062,11204,6366,1798,573,6257,13250,12476,307,12458,5741,12994,6564,4202,13383,6037,6344,127,13744,11637,5100,6333,5990,13024,8654,11987,6198,6335,6613,,4387,4957,5093,11716,8059,4834,12404,5273,5923,13173,5037,13759,916,9934,12015,13203,1509,4393,13737,6561,11624,6617,6139,12260,6217,12254,12196,6833,6623,13749,12545,8101,6563,5859,6655,2917,9941,6451,12336,12730,12244,6571,6419,11462,11383,9703,12413,12892,9885,6501,382,13830,13412,6364,11732,10504,6045,12974,13116,12772,11450,12987,6473,13376,13597,5849,6770,4283,13659,6568,12079,6229,7122,9577,8678,4833,12925,6195,11652,4417,4805,6752,11795,12947,6293,13610,12464,5492,6665,13550,5993,12163,13740,13801,1293,5018,6139,12691,5823,13392,11983,6302,11637,6450,3539,11785,12365,9511,11137,3178,5008,6217,1221,6193,14792,1529,6659,13101,12461,13632,10725,5019,11966,241,,13057,6575,4947,3381,12974,5283,9799,13771,12659,6448,10777,13159,12300,5629,3706,2696,6103,3861,5114,6074,11384,6387,3994,9686,5410,12193,6562,10976,6922,4837,13529,5008,142,1330,4311,13832,6491,7464,6363,13398,2948,3657,6686,12369,894,5311,6450,6334,3280,12679,6251,,1084,12292,8663,13294,13956,13594,178,12247,11373,3021,1365,13195,9951,6228,2969,5104,6185,12058,8597,13270,13746,12709,13108,5689,6344,10319,3023,253,4980,13085,6254
Fos - Cavaou LNG Terminal,12067,1588,13160,12068,0,13222,192,12504,12897,3392,11332,4148,12606,12364,1918,1399,13327,7680,13095,10358,11550,13636,3768,2122,12345,2104,13536,1294,12811,11270,1683,6122,13135,12142,5485,523,12896,13771,13767,1323,4152,4089,13220,13063,12869,,12163,12226,12888,3923,4507,10996,630,12136,13699,2819,12832,3405,11336,3726,4127,2849,10633,12169,5477,12808,462,12836,13317,256,13719,260,1842,12553,12879,5490,4637,11684,12810,6251,12782,10930,6029,13889,6513,5072,243,12818,13000,7914,824,5611,2059,1191,10176,13939,11755,5587,1712,13092,1378,9420,8219,3727,4139,1071,7937,3741,13911,5934,3243,13645,12619,12079,3337,12815,,13738,12384,4223,4085,10995,1224,8369,3979,12212,10966,12628,7185,3664,13250,5262,6829,7660,12779,1853,13656,4260,5480,5568,11100,12814,13317,5032,13619,1691,406,5808,522,12940,11335,,2011,4909,946,10974,12781,13596,11037,13569,4471,12334,12684,1401,4813,5372,1421,12815,1612,11939,,1357,12822,12743,11394,3728,13079,5887,5519,959,12939,8777,1462,591,13425,11502,10708,13445,10943,12910,13336,700,13116,11062,5239,11964,1839,12809,7874,12531,10999,5150,12781,12065,11020,12106,5605,12856,12930,13092,3044,10960,11452,12903,668,11329,12124,12941,13152,11293,2325,13248,12057,11210,1938,4019,1597,3635,5292,12012,1925,983,13826,10805,1495,6296,13225,13774,11813,13269,1704,4219,1570,5487,2355,4400,13484,13135,9457,13828,12291,11922,1384,13633
Kitakyushu,2207,14447,180,6188,13235,0,13057,2527,1355,10523,2669,9378,786,884,12817,14258,300,9732,257,4420,5670,487,11291,13021,6465,13003,,14153,557,3027,14542,7955,243,6262,9756,12796,1354,622,608,14183,10571,9158,,268,465,,2055,2058,1366,9377,9976,3586,13563,2330,541,13457,1771,14043,5454,10989,9128,13486,4726,2060,9748,554,12783,469,186,13419,571,13413,12630,689,475,9761,8744,5018,556,7776,508,4135,11057,740,8934,8161,13403,565,3414,5383,12478,11079,12958,14051,3761,790,5875,9841,14571,256,12430,4380,7962,10356,10070,13931,5371,10370,762,7318,13880,535,775,2105,13517,561,13238,589,984,11495,10596,3585,14084,8113,9359,2666,3603,758,9582,10519,128,9622,6406,7410,517,14709,499,9009,9752,9813,5206,1566,186,8200,582,14551,13142,8220,12796,441,2671,12944,12910,11429,12366,3032,1486,447,5143,421,14648,6454,665,14260,8473,9644,12024,1568,12661,6059,,14216,568,1640,4070,10357,1057,10915,9783,13818,440,4672,14318,13459,841,2545,4131,218,3150,,166,12543,232,3061,11496,3056,12627,555,9673,782,3589,9552,1486,6185,5126,2133,9844,485,3954,256,13682,4112,2558,568,13528,5447,2565,441,173,4131,13065,84,6177,5327,12690,10581,14453,13812,9606,6132,12504,12370,7947,4911,14354,10598,84,7894,2684,152,12713,10514,14429,9758,13254,9766,885,243,4194,7948,6411,2383,14244,484
Barcelona,11889,1593,12982,11891,193,13045,0,12327,12720,3214,11155,3971,12429,12186,1740,1404,13149,7503,12918,10181,11373,13458,3591,1945,12167,1927,13359,1299,12633,11092,1688,5945,12958,11964,5307,352,12719,13593,13589,1328,3975,3911,13043,12886,12692,,11986,12049,12711,3746,4330,10819,686,11959,13522,2642,12655,3228,11159,3549,3949,2671,10455,11991,5300,12631,285,12658,13140,391,13542,393,1665,12376,12702,5313,4460,11506,12632,6074,12604,10752,5851,13711,6336,4894,377,12641,12822,7736,646,5434,1881,1196,9998,13762,11577,5410,1717,12915,1201,9243,8041,3550,3962,1076,7760,3563,13734,5757,3065,13468,12442,11902,3160,12637,196,13561,12207,4045,3907,10818,1229,8192,3801,12035,10788,12451,7008,3487,13073,5084,6651,7483,12602,1858,13479,4082,5303,5391,10922,12636,13140,4855,13441,1696,351,5631,351,12763,11157,155,1833,4731,769,10796,12604,13418,10860,13392,4293,12157,12506,1406,4636,5195,1244,12638,1435,11761,,1362,12644,12566,11216,3550,12901,5710,5342,964,12762,8600,1467,595,13247,11324,10531,13268,10765,12733,13159,523,12938,10884,5061,11786,1662,12632,7696,12354,10822,4973,12604,11888,10843,11929,5428,12679,12752,12914,2867,10783,11275,12725,673,11152,11947,12763,12974,11115,2148,13071,11879,11033,1761,3841,1602,3458,5115,11834,1748,806,13649,10628,1499,6118,13048,13597,11635,13091,1527,4042,1575,5310,2177,4222,13307,12958,9280,13651,12113,11744,1389,13456
Tangguh,1802,13720,2577,5637,12507,2527,12329,0,2143,11809,2211,10664,3270,3112,12703,13531,2341,9135,2542,3869,5119,2738,12577,12907,5914,12889,2044,13426,2621,1517,13814,6484,2738,5711,11042,12068,2142,2852,2528,13455,9085,10444,2524,2510,2986,,1650,1233,2138,10663,8490,1700,12835,644,2461,13604,2411,14190,4903,10365,10414,13634,4175,1655,11035,2618,12055,2990,2550,12691,2747,12685,12627,3061,2996,11047,10030,4000,2620,6316,3029,3677,10097,2970,9473,9447,12675,2629,1937,6938,11814,10119,12844,13323,5718,3020,5324,11127,13843,2539,12163,6308,6625,11642,11356,13203,6925,11656,2992,8668,14028,2390,2812,2075,14090,2625,12510,2758,3472,10009,9109,1699,13356,6776,10645,2537,1742,2794,9514,11805,2529,10908,7775,6073,3038,13982,2524,10295,11038,11099,4655,2206,2550,9486,2384,13823,12414,6734,12068,2572,2214,12216,12796,9943,11569,2575,1507,2698,4592,2672,15224,5903,2701,13533,9760,10930,11157,2208,12397,5508,,13489,2632,2280,3613,11643,1984,9955,11069,13091,2571,6462,13590,12732,2201,2088,3673,2455,1821,2124,2443,11815,2563,1714,10118,1169,12624,2620,8947,2964,1703,10838,1507,5634,4575,2103,11130,2580,2853,2539,13829,3655,2101,3080,12800,4896,679,2572,2569,3673,13110,2486,5626,4776,12723,9095,13725,14388,10892,5581,12678,11804,7396,4360,13626,9639,2463,7343,797,2580,12490,9028,13702,11044,13140,11052,2261,2738,6142,7397,5860,1338,13516,2736
Chiwan,1214,14107,1498,5090,12895,1356,12717,2144,0,11757,1570,10612,2080,2184,13091,13918,1218,10286,1532,3322,4572,1413,12525,13295,5366,13277,917,13813,1742,1972,14202,6856,1500,5163,10990,12456,,1489,1146,13843,9473,10392,1354,1500,1769,,1167,1278,46,10611,8878,2807,13223,1872,1079,13992,,14578,4356,10753,10362,14022,3627,1172,10983,1739,12443,1773,1296,13079,1373,13073,13015,1989,1779,10996,9978,5151,1741,6678,1811,3036,10760,1607,10131,9395,13063,1749,3366,6640,12202,10522,13232,13711,5061,1657,4776,11076,14231,1529,12551,5680,6864,11590,11304,13591,6626,11604,1629,8559,14416,1005,1948,1002,14478,1746,12898,1385,2278,10397,9497,2806,13744,7014,10594,1562,2823,1930,10599,11753,1449,10856,7648,6311,1821,14369,1149,10244,10986,11047,4107,291,1296,9434,979,14211,12802,7121,12456,1626,1573,12604,13184,10330,11956,1934,709,1373,4044,1349,15611,5356,1837,13920,9708,10878,11544,,12785,4960,,13876,1753,,2972,11591,,10618,11017,13478,1625,5955,13978,13119,785,1447,3032,1259,2094,,1230,12203,1549,2005,10505,2598,13012,1740,10098,2082,2810,10786,709,5087,4028,1029,11079,1667,4005,1529,14217,3014,1459,1842,13188,4348,2108,1626,1490,3032,13498,1407,5078,4228,13111,9482,14113,14776,10840,5033,13066,12192,6848,3813,14014,10770,1384,6796,2226,1341,12877,9416,14089,10992,13528,11000,845,1500,5494,6850,5312,1603,13904,1411
Halifax,12508,4617,10447,12743,3405,10510,3227,11797,11743,0,12007,2080,9893,9651,2593,4429,10614,4968,10382,11033,12225,10923,861,2797,13019,2779,10858,4324,10098,11945,4712,6797,10423,12816,2354,2966,11742,11058,11054,4353,4837,1658,10508,10351,10157,,12356,12073,11754,1759,5192,11671,3733,11944,10987,3116,12157,3701,12011,3182,1677,3145,11307,12362,2346,10095,2953,10123,10605,3589,11007,3583,2372,9841,10167,2359,1844,9076,10097,6926,10069,11604,5760,11176,3801,2359,3573,10106,10563,5201,2644,5343,2734,4221,7463,11226,12429,2456,4741,10380,2365,6708,8893,374,859,4101,5225,387,11198,3222,3539,10981,9906,12472,3173,10102,3408,11025,9671,3947,4770,11670,4254,9044,1830,12887,11641,9915,4472,309,10538,2131,4116,8335,10067,4880,10944,1698,2349,2437,11774,11952,10605,2320,11033,4721,3312,6493,2966,10228,12009,3114,2686,4640,2643,11649,11823,10883,11712,10857,4303,13009,9971,4431,2203,2242,2511,11954,2577,12614,,4387,10109,12026,12068,374,11446,5619,2388,3989,10227,6064,4488,3629,11267,12176,11383,10732,11618,11708,10624,2713,10403,11736,4970,11800,2369,10097,5161,9819,11674,2020,11823,12740,11695,12499,2474,10143,10217,10379,3340,11635,12127,10190,3698,12004,11856,10228,10439,11967,2724,10535,12731,11885,2431,4704,4623,3467,2161,12687,2226,2480,14501,11480,4524,6027,10512,14449,11898,10556,2546,4904,4600,2356,2929,1157,11317,10423,6744,14503,12965,12206,4414,10920
