name,location.name,location.otherNames,capabilities,location.timeZone,loadDuration,dischargeDuration,cvValue,defaultStartTime,allowCooldown,defaultWindowSize,location.country,location.lat,location.lon,location.kind,kind,location.mmxId
Bintulu,Bintulu,,LOAD,Asia/Kuala_Lumpur,24,24,22.8,7,FALSE,7,Malaysia,0,0,Location,Port,L_MY_Bintu
Limassol,Limassol,,DISCHARGE,Africa/Cairo,24,24,22.8,7,FALSE,7,Cyprus,0,0,Location,Port,L_CY_Limas
Fos - Cavaou LNG Terminal,Fos - Cavaou LNG Terminal,,DISCHARGE,Europe/Paris,24,24,22.8,7,FALSE,7,France,0,0,Location,Port,L_FR_FosCa
Kitakyushu,Kitakyushu,,DISCHARGE,Asia/Tokyo,24,24,22.8,7,FALSE,7,Japan,0,0,Location,Port,L_JP_Kitak
Barcelona,Barcelona,,DISCHARGE,Europe/Madrid,24,24,22.8,7,FALSE,7,Spain,0,0,Location,Port,L_ES_Barce
Tangguh,Tangguh,,LOAD,Asia/Jayapura,24,24,22.8,7,FALSE,7,Indonesia,0,0,Location,Port,L_ID_Tangg
Chiwan,Chiwan,,DISCHARGE,Asia/Shanghai,24,24,22.8,7,FALSE,7,China,0,0,Location,Port,L_CN_Chiwa
Halifax,Halifax,,DISCHARGE,America/Halifax,24,24,22.8,7,FALSE,7,Canada,0,0,Location,Port,L_CA_Halif
Malacca,Malacca,,DISCHARGE,Asia/Kuala_Lumpur,24,24,22.8,7,FALSE,7,Malaysia,0,0,Location,Port,L_MY_Malac
Point Fortin,Point Fortin,,LOAD,America/Port_of_Spain,24,24,22.8,7,FALSE,7,Trinidad and Tobago,0,0,Location,Port,L_TT_Point2
Sao Francisco do Sul,Sao Francisco do Sul,,DISCHARGE,America/Sao_Paulo,24,24,22.8,7,FALSE,7,Brazil,0,0,Location,Port,L_BR_SaoFr
Kushiro,Kushiro,,DISCHARGE,Asia/Tokyo,24,24,22.8,7,FALSE,7,Japan,0,0,Location,Port,L_JP_Kushi
Sungai Udang,Sungai Udang,,DISCHARGE,Asia/Kuala_Lumpur,24,24,22.8,7,FALSE,7,Malaysia,0,0,Location,Port,L_MY_Sunga
Tobata,Tobata,,DISCHARGE,Asia/Tokyo,24,24,22.8,7,FALSE,7,Japan,0,0,Location,Port,L_JP_Tobat
Koper,Koper,,DISCHARGE,Europe/Ljubljana,24,24,22.8,7,FALSE,7,Slovenia,0,0,Location,Port,L_SI_Koper
Wakayama,Wakayama,,DISCHARGE,Asia/Tokyo,24,24,22.8,7,FALSE,7,Japan,0,0,Location,Port,L_JP_Wakay
Quintero,Quintero,,DISCHARGE,America/Santiago,24,24,22.8,7,FALSE,7,Chile,0,0,Location,Port,L_CL_Quint
Karachi,Karachi,,DISCHARGE,Asia/Karachi,24,24,22.8,7,FALSE,7,Pakistan,0,0,Location,Port,L_PK_Karac
Kochi,Kochi,,DISCHARGE,Asia/Calcutta,24,24,22.8,7,FALSE,7,India,0,0,Location,Port,L_IN_Kochi
Sendai,Sendai,,DISCHARGE,Asia/Tokyo,24,24,22.8,7,FALSE,7,Japan,0,0,Location,Port,L_JP_Senda
Qalhat,Qalhat,,LOAD,Asia/Qatar,24,24,22.8,7,FALSE,7,Oman,0,0,Location,Port,L_OM_Qalha
Incheon,Incheon,,DISCHARGE,Asia/Seoul,24,24,22.8,7,FALSE,7,South Korea,0,0,Location,Port,L_KR_Inche
Quebec,Quebec,,DISCHARGE,America/Toronto,24,24,22.8,7,FALSE,7,Canada,0,0,Location,Port,L_CA_Quebe
Rotterdam,Rotterdam,,DISCHARGE,Europe/Amsterdam,24,24,22.8,7,FALSE,7,Netherlands,0,0,Location,Port,L_NL_Rotte
Khor al Zubair,Khor al Zubair,,DISCHARGE,Asia/Baghdad,24,24,22.8,7,FALSE,7,Iraq,0,0,Location,Port,L_IQ_Khora
Marsa el Brega,Marsa el Brega,,DISCHARGE,Africa/Tripoli,24,24,22.8,7,FALSE,7,Libya,0,0,Location,Port,L_LY_Marsa
Okinawa,Okinawa,,DISCHARGE,Asia/Tokyo,24,24,22.8,7,FALSE,7,Japan,0,0,Location,Port,L_JP_Okina
Falconara,Falconara,,DISCHARGE,Europe/Rome,24,24,22.8,7,FALSE,7,Italy,0,0,Location,Port,L_IT_Falco
Ohgishima,Ohgishima,,DISCHARGE,Asia/Tokyo,24,24,22.8,7,FALSE,7,Japan,0,0,Location,Port,L_JP_Ohgis
Ennore,Ennore,,DISCHARGE,Asia/Kolkata,24,24,22.8,7,FALSE,7,India,0,0,Location,Port,L_IN_Ennor
