from,Bintulu,Limassol,Mizushima,Tombak LNG Terminal,Fos - Cavaou LNG Terminal,Kitakyushu,Barcelona,Tangguh,Chiwan,Halifax,Malacca,Point Fortin,Otaru,Kushiro,Le Havre,Koper,Kagoshima,Quintero,Osaka,Kochi,Qalhat,Incheon,Quebec,Rotterdam,Khor al Zubair,Isle of Grain,Okinawa,Falconara,Ohgishima,Semarang,Hadera,Mossel Bay,Donghae,Bahrain,Cameron,Arzew,Shenzhen,Dalian,Zhangjiagang,Aliaga,Punta Europa,Guayama,Tobata,Wakayama,Nanao,Suez Canal,Seria,Lahad Datu,Zhuhai,Pointe-a-Pitre,Soyo,Pluto,Gioia Tauro,Luwuk,Shanghai,Rostock,Qinzhou,Vyborg,Port Qasim,Pecem,Guayanilla,Swinoujscie,Karwar - South Port,Lumut,Sabine Pass,Negishi,Cartagena,Joetsu,Kwangyang,Panigaglia,Qingdao,Rosignano LNG,Dragon,Hakodate,Shinminato,Lake Charles,Port Esquivel,New Plymouth,Yokohama,Coega,Niigata-Nishi,Kakinada,Escobar,Qinhuangdao,Pampa Melchorita,Balboa,Livorno,Sodegaura,Port Moresby,Costa Azul,Huelva,Rio Grande,Zeebrugge,Revithoussa,Kenai,Tianjin,Fujairah,Corpus Christi,Tripoli,Senboku,El Ferrol,Kitimat,Dar-es-Salaam,Northeast Gateway Deepwater Port,Cove Point,Marsa el Brega,Rosarito,Everett,Heibei,Acajutla,Paldiski,Yangshan,Sendai,Cai Mep,Hammerfest,Higashi-Ogishima,Fos Sur Mer,Lianyungang,Sakhalin,Salvador,Bonny,Karratha Gas Plant,Ortona,Mombasa,Fort de France,Map Ta Phut,Barrow Island,Soma,Mejillones,Canaport,Hatsukaichi,Pascagoula,Manzanillo,Mozambique Port,Niigata Higashi,Yuzhny,Jiangsu,AES Andres,Golden Pass,Brownsville,Dahej,Hainan,Gwangyang,Colon,Ningbo,Ashdod,Skikda,Cape Town,Bethioua,Yokkaichi,Sungai Udang,Sagunto,Dunkirk,Guanabara,Jorf Lasfar,Arun,Batangas,Dangjin,Pipavav,Boryeong,Drovyanoy,Bal Haf LNG,Hitachi,Trieste,Puerto Bahia,Gulf Gateway Deepwater Port,Tenerife,Haikou,Bilbao,Jebel Ali,Panama Canal,Krk Island,Tokyo Bay,Yangpu,Chittagong,Neptune,Yung An,Montevideo,Freeport,Taranto,Chita,Coos Bay,Marmara Ereglisi,Porto Empedocle,Taichung,Johore,Ennore,Fukuoko,Panjang,Guangdong,Nagasaki,Gibraltar,Himeji,Jakarta,Sao Francisco do Sul,Darwin,South Hook LNG,Futtsu,Talcahuano,Hachinohe,Dampier,Port Dolphin,Tabangao,Ras Laffan,Hazira,Ho Chi Min City,Altamira,Shimizu,Gladstone,Sakai,Klaipeda,Gangavaram,Jurong Marine Base - Singapore,Vladivostok,Malta,Karachi,Ambon,Kawagoe,Sakaide,Haldia,Teeside,Yanai,Pars LNG Terminal,Mundra,Holyhead,Brass,Port Said,Shtokman,Plaquemines,Abu Dhabi,Limerick,Sines,Ain Sokhna,Dabhol,Idku,Bahia Blanca,Oita,Aqaba,Dili,Tong Yong,Montoir,Kribi,Damietta,Port Arthur,Wilhelmshaven,Elba,Fujian,Samcheog,Prince Rupert,Suez,Mina Al Ahmadi,Bontang,Rovigo,Pyeongtaek
Bintulu,0,6346,2338,4279,7739,2207,7744,1802,1211,10760,759,11516,2931,3035,9286,7457,2066,10110,2356,2511,3761,2272,11136,9490,4556,9472,1728,7352,2552,1057,6296,6035,2351,4353,12853,7838,1210,2348,2005,6763,8653,11457,2205,2324,2619,,212,805,1202,11291,8057,2072,7441,1530,1938,10187,1186,10773,3545,9932,11494,10217,2817,217,12845,2550,7844,2623,2147,7636,2232,7601,9210,2840,2630,12858,12005,4975,2552,5862,2662,2226,9949,2466,10448,10158,7616,2560,3026,7437,8191,9702,9427,6752,5874,2516,3966,12955,6406,2353,8746,6493,6053,11095,11507,6942,7423,11109,2488,9293,10611,1864,2758,589,10705,2557,7742,2244,3129,9576,8677,2071,7282,6203,11347,980,2088,2741,10489,11032,2290,12630,8383,5501,2671,7311,2008,11628,12848,12936,3297,1152,2147,12400,1838,6279,7486,6301,7837,2437,762,7814,9379,9510,8314,1123,867,2232,3234,2208,11839,4545,2648,7459,12181,12740,8789,1154,8980,4150,,7415,2564,1097,2161,11096,1333,9808,12887,7086,2436,6766,6920,7163,1644,636,2222,2107,1180,1220,2081,8068,2376,1091,9685,2256,9207,2551,9922,2911,2075,12518,867,4276,3217,617,12973,2478,3829,2352,10412,2203,649,2693,7079,3538,1766,2437,2330,2222,9693,2247,4268,3418,9306,8662,6141,11003,12660,4223,9293,8351,6038,3002,6301,9960,2224,5985,1855,2192,9072,8595,6193,12855,9723,11768,1704,2351,6308,6039,4502,1130,7442,2270
Limassol,6365,0,8416,3346,1587,8274,1592,7715,7175,4611,5610,5368,8998,9102,3137,1283,8136,9919,8440,3872,2807,8331,4988,3342,3623,3324,7815,1178,8638,6276,175,7342,8418,3420,6705,1690,7174,8407,8064,561,5372,5308,8272,8409,8687,,6461,7031,7167,5143,5727,6908,1293,7347,7997,4039,7110,4625,3134,4946,5346,4068,3583,6467,6697,8635,1696,8691,8213,1488,8291,1452,3062,8907,8697,6710,5857,10175,8637,7471,8729,4991,7249,8525,11051,12402,1468,8645,8493,13536,2043,6831,3278,550,11959,8575,3018,6807,141,8438,2598,12578,8119,4947,5359,829,13524,4960,8547,12717,4462,7923,8844,6357,4557,8642,1590,8303,9196,5442,5305,6907,1109,8269,5198,6490,6879,8826,10510,4884,8367,6481,13237,7566,8739,1110,8067,5480,6700,6788,3386,7092,8213,6252,7897,,1338,7028,1689,8524,5613,1666,3230,6128,2166,5252,7082,8291,3314,8267,5690,1888,8733,1285,6033,6592,2641,7093,2832,3217,,1241,8649,7021,5455,4947,7357,7107,6739,913,8522,12851,718,1014,7703,5780,4770,8177,5935,7188,8148,1920,8461,6068,6459,7484,3059,8636,9691,8996,6911,6370,7082,3343,3423,6385,6825,8565,9538,8437,4264,5022,5731,8760,934,3119,7385,8524,8408,5354,3545,8325,3335,3215,3158,5239,204,4855,6512,3290,3145,2203,330,3439,266,7516,8302,612,7178,8258,2924,5439,224,6707,3574,5619,7763,8418,12393,307,3569,7054,1269,8328
Mizushima,2336,8395,0,6328,9788,179,9793,2575,1495,12808,2808,13565,959,953,11334,9505,348,9621,94,4560,5810,660,13185,11538,6604,11521,636,9400,434,3172,8344,8094,416,6401,14901,9887,1494,795,781,8812,10711,13505,176,105,637,,2184,2173,1505,13340,10116,3635,9490,2378,714,12236,1910,12821,5594,11991,13543,12265,4866,2190,14894,431,9893,641,359,9685,743,9649,11259,862,648,14907,14054,5018,433,7916,680,4274,11133,913,8879,8106,9664,442,3428,5346,10240,11155,11475,8801,3768,963,6014,15004,8455,93,10795,4387,8102,13144,13556,8990,5334,13157,935,7268,12659,707,652,2245,12754,438,9791,762,1157,11635,10735,3634,9331,8252,13395,2805,3674,635,9487,13081,105,14678,6356,7550,690,9360,671,13676,14897,14985,5345,1706,359,14449,755,8328,9535,8360,9886,318,2811,9862,11427,11568,10362,3172,1616,620,5283,593,13887,6594,542,9508,14230,14789,10838,1708,11028,6199,,9463,445,1780,4210,13144,1196,10991,14936,9135,317,4660,8969,9211,1001,2685,4270,391,3289,1459,338,10117,69,3205,11573,3104,11255,433,9573,805,3638,14567,1616,6325,5266,2272,15022,362,3957,93,12461,4252,2698,741,9127,5586,2614,318,10,4270,11742,110,6316,5466,11355,10721,8190,13052,14709,6272,11342,10400,8086,5051,8350,10675,142,8034,2732,325,11121,10654,8242,14903,11771,13816,1052,416,4201,8088,6550,2454,9491,657
Tombak LNG Terminal,4291,3330,6342,0,4723,6200,4728,5641,5101,7743,3536,8500,6924,7028,6269,4441,6062,11204,6366,1798,573,6257,8120,6474,307,6456,5741,4336,6564,4202,3280,6037,6344,127,9837,4822,5100,6333,5990,3747,8504,8440,6198,6335,6613,,4387,4957,5093,8275,8059,4834,4425,5273,5923,7171,5037,7757,916,8078,8478,7200,1509,4393,9829,6561,4828,6617,6139,4620,6217,4585,6194,6833,6623,9842,8989,8101,6563,5859,6655,2917,9941,6451,12336,13688,4600,6571,6419,11462,5175,9703,6411,3736,9885,6501,382,9939,3390,6364,5730,10504,6045,8079,8491,3926,11450,8092,6473,13376,7594,5849,6770,4283,7689,6568,4726,6229,7122,8574,8437,4833,4266,6195,8330,4417,4805,6752,11795,8016,6293,9613,12464,5492,6665,4295,5993,8612,9832,9920,1293,5018,6139,9384,5823,3263,4470,6302,4821,6450,3539,4798,6362,9261,5298,3178,5008,6217,1221,6193,8823,1529,6659,4443,9165,9724,5773,5019,5964,241,,4399,6575,4947,3381,8079,5283,9799,9871,4070,6448,10777,3904,4147,5629,3706,2696,6103,3861,5114,6074,5052,6387,3994,9591,5410,6191,6562,10976,6922,4837,9502,5008,142,1330,4311,9957,6491,7464,6363,7396,2948,3657,6686,4063,894,5311,6450,6334,3280,6677,6251,,1084,6290,8371,3125,7987,9644,178,6277,5335,3021,1365,3285,9951,6228,2969,5104,6185,6056,8571,3177,9839,6707,8752,5689,6344,10319,3023,253,4980,4426,6254
Fos - Cavaou LNG Terminal,7758,1588,9808,4739,0,9667,192,9108,8568,3392,7003,4148,10391,10495,1918,1399,9529,8699,9833,5265,4199,9724,3768,2122,5016,2104,9207,1294,10031,7669,1683,6122,9811,4813,5485,523,8567,9800,9457,1323,4152,4089,9665,9801,10080,,7854,8424,8560,3923,4507,8301,630,8740,9390,2819,8503,3405,4527,3726,4127,2849,4976,7860,5477,10028,462,10084,9606,256,9684,260,1842,10300,10090,5490,4637,11568,10030,6251,10122,6384,6029,9918,9831,11183,243,10038,9886,12982,824,5611,2059,1191,13352,9968,4411,5587,1712,9831,1378,13971,8219,3727,4139,1071,13005,3741,9940,11498,3243,9316,10237,7750,3337,10035,,9695,10589,4223,4085,8300,1224,8369,3979,7883,8272,10219,9290,3664,9760,5262,12017,7660,10132,1853,9460,4260,5480,5568,4779,8485,9606,5032,9290,1691,406,5808,522,9917,7006,,2011,4909,946,6645,8475,9684,4707,9660,4471,3281,10126,1401,4813,5372,1421,8486,1612,4610,,1357,10042,8414,6848,3728,8750,5887,5519,959,9915,13831,1462,591,9096,7173,6163,9569,7328,8581,9541,700,9854,7461,5239,8877,1839,10029,8471,10389,8304,5150,8475,4736,4816,7778,5605,9958,10931,9830,3044,6415,7123,10153,668,4512,8778,9917,9801,6747,2325,9718,4728,4608,1938,4019,1597,3635,5292,4683,1925,983,1723,4832,1495,6296,9695,2005,8571,9651,1704,4219,1570,5487,2355,4400,9155,9811,13786,1700,4962,8446,1384,9721
Kitakyushu,2207,8255,180,6188,9648,0,9653,2527,1355,12669,2669,13425,786,884,11195,9366,300,9732,257,4420,5670,487,13045,11399,6465,11381,,9261,557,3027,8205,7955,243,6262,14762,9747,1354,622,608,8672,10571,13366,,268,465,,2055,2058,1366,13200,9976,3586,9351,2330,541,12096,1771,12682,5454,11851,13404,12126,4726,2060,14754,554,9753,469,186,9545,571,9510,11119,689,475,14767,13914,5018,556,7776,508,4135,11057,740,8934,8161,9525,565,3414,5383,10101,11079,11336,8661,3761,790,5875,14864,8315,256,10655,4380,7962,13004,13416,8851,5371,13018,762,7318,12520,535,775,2105,12614,561,9651,589,984,11495,10596,3585,9191,8113,13256,2666,3603,758,9582,12942,128,14539,6406,7410,517,9220,499,13537,14757,14845,5206,1566,186,14309,582,8189,9395,8220,9746,441,2671,9723,11288,11429,10223,3032,1486,447,5143,421,13748,6454,665,9368,14090,14650,10698,1568,10889,6059,,9324,568,1640,4070,13005,1057,10915,14796,8996,440,4672,8829,9072,841,2545,4131,218,3150,,166,9977,232,3061,11496,3056,11116,555,9673,782,3589,14427,1486,6185,5126,2133,14882,485,3954,256,12321,4112,2558,568,8988,5447,2565,441,173,4131,11602,84,6177,5327,11215,10581,8051,12912,14569,6132,11202,10260,7947,4911,8210,10598,84,7894,2684,152,10981,10514,8102,14764,11632,13677,885,243,4194,7948,6411,2383,9351,484
Barcelona,7762,1593,9813,4744,193,9672,0,9112,8573,3214,7008,3971,10396,10500,1740,1404,9534,8521,9838,5270,4204,9729,3591,1945,5021,1927,9212,1299,10035,7674,1688,5945,9816,4818,5307,352,8572,9805,9462,1328,3975,3911,9670,9806,10084,,7859,8428,8564,3746,4330,8306,686,8745,9395,2642,8508,3228,4532,3549,3949,2671,4980,7864,5300,10033,285,10088,9611,391,9689,393,1665,10305,10095,5313,4460,11506,10034,6074,10127,6389,5851,9923,9654,11005,377,10043,9891,12804,646,5434,1881,1196,13357,9973,4416,5410,1717,9835,1201,13976,8041,3550,3962,1076,12828,3563,9945,11320,3065,9321,10241,7755,3160,10039,196,9700,10594,4045,3907,8305,1229,8192,3801,7888,8277,10224,9112,3487,9765,5084,11840,7483,10136,1858,9465,4082,5303,5391,4784,8489,9611,4855,9294,1696,351,5631,351,9921,7011,155,1833,4731,769,6650,8479,9689,4712,9665,4293,3286,10131,1406,4636,5195,1244,8491,1435,4615,,1362,10046,8419,6853,3550,8754,5710,5342,964,9920,13654,1467,595,9100,7177,6167,9574,7333,8586,9546,523,9858,7466,5061,8881,1662,10034,8294,10394,8309,4973,8479,4741,4821,7782,5428,9962,10936,9835,2867,6420,7128,10158,673,4516,8783,9921,9806,6752,2148,9723,4733,4613,1761,3841,1602,3458,5115,4688,1748,806,1728,4837,1499,6118,9700,2010,8575,9656,1527,4042,1575,5310,2177,4222,9160,9816,13791,1704,4967,8451,1389,9726
Tangguh,1802,7704,2577,5637,9097,2527,9102,0,2143,12118,2211,12060,3270,3112,10644,8815,2341,9135,2542,3869,5119,2738,12495,10848,5914,10830,2044,8710,2621,1517,7654,6484,2738,5711,14175,9196,2142,2852,2528,8121,9085,12418,2524,2510,2986,,1650,1233,2138,12148,8490,1700,8800,644,2461,11545,2411,12131,4903,10365,12446,11575,4175,1655,14168,2618,9202,2990,2550,8994,2747,8959,10568,3061,2996,14181,12976,4000,2620,6316,3029,3677,10097,2970,9473,9447,8974,2629,1937,6938,9550,10119,10785,8110,5718,3020,5324,14261,7764,2539,10104,6308,6625,12453,12865,8300,6925,12467,2992,8668,11969,2390,2812,2075,12063,2625,9100,2758,3472,10009,9109,1699,8640,6776,12084,2537,1742,2794,9514,12391,2529,13988,7775,6073,3038,8670,2524,12595,14171,14232,4655,2206,2550,13122,2384,7638,8844,6734,9195,2572,2214,9172,10737,9943,9672,2575,1507,2698,4592,2672,13197,5903,2701,8817,12892,14063,10147,2208,10338,5508,,8773,2632,2280,3613,12454,1984,9955,14202,8445,2571,6462,8278,8521,2201,2088,3673,2455,1821,2124,2443,9426,2563,1714,10118,1169,10565,2620,8947,2964,1703,13877,1507,5634,4575,2103,14264,2580,2853,2539,11770,3655,2101,3080,8437,4896,679,2572,2569,3673,11051,2486,5626,4776,10664,9095,7500,12361,14018,5581,10651,9709,7396,4360,7659,9639,2463,7343,797,2580,10430,9028,7551,14178,11081,13126,2261,2738,6142,7397,5860,1338,8800,2736
Chiwan,1214,7157,1498,5090,8550,1356,8555,2144,0,11570,1570,12327,2080,2184,10096,8267,1218,10286,1532,3322,4572,1413,11947,10300,5366,10283,917,8162,1742,1972,7106,6856,1500,5163,13663,8648,,1489,1146,7574,9473,12267,1354,1500,1769,,1167,1278,46,12102,8878,2807,8252,1872,1079,10998,,11583,4356,10753,12305,11027,3627,1172,13656,1739,8655,1773,1296,8446,1373,8411,10020,1989,1779,13669,12816,5151,1741,6678,1811,3036,10760,1607,10131,9395,8426,1749,3366,6640,9002,10522,10237,7562,5061,1657,4776,13766,7216,1529,9557,5680,6864,11906,12318,7752,6626,11919,1629,8559,11421,1005,1948,1002,11516,1746,8553,1385,2278,10397,9497,2806,8093,7014,12157,1562,2823,1930,10599,11843,1449,13440,7648,6311,1821,8122,1149,12438,13659,13747,4107,291,1296,13211,979,7090,8296,7121,8647,1626,1573,8624,10189,10330,9124,1934,709,1373,4044,1349,12649,5356,1837,8269,12992,13551,9599,,9790,4960,,8225,1753,,2972,11906,,10618,13698,7897,1625,5955,7730,7973,785,1447,3032,1259,2094,,1230,8878,1549,2005,10505,2598,10017,1740,10098,2082,2810,13329,709,5087,4028,1029,13784,1667,4005,1529,11222,3014,1459,1842,7889,4348,2108,1626,1490,3032,10504,1407,5078,4228,10117,9482,6952,11814,13471,5033,10103,9161,6848,3813,7112,10770,1384,6796,2226,1341,9883,9416,7004,13665,10533,12578,845,1500,5494,6850,5312,1603,8253,1411
Halifax,10784,4617,12835,7765,3405,12693,3227,12134,11595,0,10029,2080,13417,13521,2593,4429,12555,8444,12859,8291,7226,12750,861,2797,8042,2779,12234,4324,13057,10696,4712,6797,12837,7839,2354,2966,11593,12826,12483,4353,4837,1658,12691,12828,13106,,10881,11450,11586,1759,5192,11327,3733,11766,12416,3116,11530,3701,7553,3182,1677,3145,8002,10886,2346,13054,2953,13110,12633,3589,12710,3583,2372,13326,13116,2359,1844,11429,13056,6926,13149,9410,5760,12944,9576,10928,3573,13064,12912,12727,2644,5343,2734,4221,14971,12994,7437,2456,4741,12857,2365,14220,8893,374,859,4101,12751,387,12966,11243,3539,12342,13263,10776,3173,13061,3408,12722,13615,3947,4770,11326,4254,9044,1830,10910,11298,13245,9035,309,12786,2131,11763,8335,13158,4880,12486,1698,2349,2437,7806,11511,12633,2320,12316,4721,3312,6493,2966,12943,10032,3114,2686,4640,2643,9671,11501,12710,7734,12686,4303,6307,13152,4431,2203,2242,2511,11513,2577,7636,,4387,13068,11440,9874,374,11776,5619,2388,3989,12941,13577,4488,3629,12122,10199,9189,12596,10354,11608,12567,2713,12880,10488,4970,11903,2369,13055,8216,13415,11330,2020,11501,7762,7843,10804,2474,12984,12859,12856,3340,9441,10150,13179,3698,7538,11804,12943,12827,9773,2724,12744,7754,7635,2431,4704,4623,3467,2161,7709,2226,2480,4750,7859,4524,6027,12721,5031,11597,12678,2546,4904,4600,2356,2929,1157,12182,12837,14257,4726,7988,11473,4414,12748
