from,ADGAS LNG,Aliaga,Arun LNG,Barcelona LNG,Bethioua,Bilbao LNG,Bintulu,Bonny Nigeria,Bontang LNG,Brunei LNG,Canaport LNG,Cartagena LNG,Chita LNG,Costa Azul LNG Terminal,Dahej,Damietta,Dapeng LNG,Darwin LNG,Dominion Cove Point LNG,Dragon LNG,EcoElectrica LNG,Elba Island,Everett Marine Terminal,Fluxys,Freeport LNG,Fujian LNG,Guangdong,Gulf Gateway Deepwater Port,Hakodate LNG,Hammerfest LNG,Hazira - LNG Terminal,Huelva LNG,Idku LNG,Incheon,Isle of Grain,Karratha Gas Plant,Kenai LNG,Lake Charles,Malaysia LNG,Mina Al Ahmadi,Montoir,Northeast Gateway Deepwater Port,Ogishima - Tokyo Gas LNG Berth,Oman LNG,Pascagoula,Petrobras Guanabara LNG,Petrobras Pecem LNG,Point Fortin,Punta Europa LNG,Pyeongtaek,Quintero Bay LNG,Ras Laffan,SEGAS,Sabine Pass LNG,Sakai,Sakhalin-2,Sonatrach LNG,South Hook LNG,Southern LNG,Tannguh,Tobata,Tong Yong,Trunkline LNG,Yemen LNG,Yung An
ADGAS LNG,0,2682,2995,4192,4341,5436,3880,7168,4553,3945,7383,4285,5803,10849,1076,2682,4491,5107,7865,5776,8069,8247,7601,5892,9299,4866,4491,9093,6214,7153,1076,4905,2735,5809,5913,4576,8992,9251,3880,283,5558,7601,6024,351,8974,8283,7421,7948,7150,5792,9879,89,2682,9275,5745,6523,3924,5776,8247,5291,5559,5646,9251,1229,4794
Aliaga,2682,0,4431,1670,1800,2895,5316,5221,5989,5381,4842,1744,7239,10188,2872,0,5927,6497,5324,3235,5528,5706,5060,3351,6758,6302,5927,6552,7650,4612,2872,2364,260,7245,3372,5901,8247,6710,5316,2965,3017,5060,7460,2331,6433,6020,4880,5407,5333,7228,9530,2771,0,6734,7181,7959,1383,3235,5706,6727,6995,7082,6710,1453,6230
Arun LNG,2995,4431,0,5941,6090,7185,986,7303,1659,1052,9132,6034,2938,7984,2056,4431,1626,2278,9614,7525,9818,9996,9350,7641,11048,2001,1626,10842,3349,8495,2056,6654,4484,2944,7662,1806,6127,11000,986,3278,7307,9350,3159,2644,10723,8418,8675,9697,7285,2927,9215,3084,4431,11024,2880,3658,5673,7525,9996,2401,2694,2781,11000,3057,1929
Barcelona LNG,4192,1670,5941,0,346,1441,6826,3938,7499,6891,3388,268,8475,8734,4382,1670,7437,8007,3870,1781,4096,4252,3606,1897,5309,7812,7437,5103,8038,3158,4382,910,1458,8745,1918,7411,6793,5261,6826,4475,1563,3606,8339,3841,4984,4730,3573,3997,4050,8728,8247,4281,1670,5285,8537,7811,413,1781,4252,8237,8505,8592,5261,2963,7740
Bethioua,4341,1800,6090,346,0,1099,6975,3596,7648,7040,3046,78,8133,8392,4531,1800,7586,8156,3528,1439,3754,3910,3264,1555,4967,7961,7586,4761,7696,2816,4531,568,1607,8403,1576,7560,6451,4919,6975,4624,1221,3264,7997,3990,4642,4388,3231,3655,3708,8386,7905,4430,1800,4943,8195,7469,418,1439,3910,8386,8349,8395,4919,3112,7889
Bilbao LNG,5436,2895,7185,1441,1099,0,8070,3861,8743,8135,2669,1173,7388,7697,5626,2895,8681,9251,3255,526,3691,3678,2964,583,4792,8454,8681,4586,6951,1844,5626,531,2702,7658,604,8655,5756,4744,8070,5719,248,2964,7252,5085,4467,4626,3445,3695,3973,7641,8165,5525,2895,4768,7450,6724,1513,526,3678,9472,7604,7650,4744,4207,8528
Bintulu,3880,5316,986,6826,6975,8070,0,8151,754,114,8856,6919,2340,7267,2941,5316,1100,1822,9515,8410,10372,9966,9224,8526,11159,1386,1100,10953,2755,7901,2941,7539,5369,2306,8547,1583,5532,11111,0,4163,8192,9224,2528,3529,10834,9212,9523,10582,8133,2289,9308,3969,5316,11135,2282,3061,6558,8410,9966,1488,2100,2143,11111,3942,1308
Bonny Nigeria,7168,5221,7303,3938,3596,3861,8151,0,8278,8264,4920,3670,10234,10747,6777,5221,8922,8459,5137,4202,4677,5394,5013,4318,6147,9297,8922,5962,10051,5547,6777,3336,5028,10240,4339,7683,8806,6099,8151,7451,3984,5013,10352,6817,5843,3397,2764,4206,112,10223,6486,7257,5221,6123,10176,9824,3838,4202,5394,8974,9990,10077,6099,6111,9225
Bontang LNG,4553,5989,1659,7499,7648,8743,754,8278,0,640,8931,7592,2419,7201,3614,5989,1333,1368,9590,9083,10447,10041,9299,9199,11234,1519,1333,11028,2831,7976,3614,8212,6042,2410,9214,1189,5520,11186,754,4836,8865,9299,2563,4202,10909,9228,9650,10859,8260,2393,9037,4642,5989,11210,2363,3145,7231,9083,10041,1144,2181,2247,11186,4615,1441
Brunei LNG,3945,5381,1052,6891,7040,8135,114,8264,640,0,8747,6984,2231,7153,3006,5381,986,1735,9406,8475,10263,9857,9115,8591,11050,1278,986,10844,2646,7792,3006,7604,5434,2201,8612,1693,5422,11002,114,4228,8257,9115,2418,3594,10725,9325,9636,10647,8246,2184,9419,4034,5381,11026,2173,2953,6623,8475,9857,1374,1991,2038,11002,4007,1200
Canaport LNG,7383,4842,9132,3388,3046,2669,8856,4920,8931,8747,0,3120,6540,6799,7573,4842,7977,9229,907,2382,1829,1358,616,2777,2551,7606,7977,2345,6103,2987,7573,2536,4649,6810,2656,9903,4858,2503,8856,7666,2582,616,6404,7032,2226,4672,3301,2238,5032,6793,8487,7472,4842,2527,6602,5876,3460,2382,1358,8624,6756,6802,2503,6154,7680
Cartagena LNG,4285,1744,6034,268,78,1173,6919,3670,7592,6984,3120,0,8207,8466,4475,1744,7530,8100,3602,1513,3828,3984,3338,1629,5041,7905,7530,4835,7770,2890,4475,642,1551,8477,1650,7504,6525,4993,6919,4568,1295,3338,8071,3934,4716,4462,3305,3729,3782,8460,7979,4374,1744,5017,8269,7543,366,1513,3984,8330,8423,8469,4993,3056,7833
Chita LNG,5803,7239,2938,8475,8133,7388,2340,10234,2419,2231,6540,8207,0,5072,4864,7239,1495,2996,7199,6864,8056,7650,6908,6851,8843,1124,1495,8637,458,5585,4864,7588,7292,471,6823,3513,3204,8795,2340,6086,7152,6908,518,5452,8518,10662,9322,8468,10216,454,9487,5892,7239,8819,62,797,8481,6864,7650,2446,248,399,8795,5865,1198
Costa Azul LNG Terminal,10849,10188,7984,8734,8392,7697,7267,10747,7201,7153,6799,8466,5072,0,9910,10188,6527,7032,7458,7173,8315,7909,7167,7160,9102,6156,6527,8896,4654,5894,9910,7847,9995,5362,7132,7831,2129,9054,7267,11132,7461,7167,4870,10498,8777,8144,9559,8727,10859,5345,4620,10938,10188,9078,5134,4484,8806,7173,7909,6474,5301,5357,9054,10911,6230
