from,Acajutla,Aliaga,Altamira,Arzew,Ashdod,Barcelona,Bethioua,Bilbao,Bonny,Brass,Brownsville,Cameron,Cape Town,Cartagena,Caucedo,Coega,Corpus Christi,Cove Point,Damietta,Dar-es-Salaam,Dragon,Drovyanoy,Dunkirk,Everett,Falconara,Ferrol,Fort de France,Fos - Cavaou,Fos Sur Mer,Freeport,Gibraltar,Gioia Tauro,Golden Pass,Guanabara,Guayama,Guayanilla,Gulf Gateway,Hadera,Halifax,Hammerfest,Holyhead,Huelva,Idku,Isle of Grain,Jorf Lasfar,Klaipeda,Koper,Kribi,Krk Island,Lake Charles,Le Havre,Limassol,Limerick,Livorno,Malta,Marmara Ereglisi,Marsa el Brega,Mombasa,Montoir,Mossel Bay,Mozambique Port,Neptune,Northeast Gateway,Ortona,Paldiski South Harbour,Panigaglia,Pascagoula,Pecem,Plaquemines,Point Fortin,Pointe-a-Pitre,Port Arthur,Port Dolphin,Port Esquivel,Port Said,Porto Empedocle,Puerto Bahia,Punta Europa,Quebec,Revithoussa,Rio Grande,Rosignano,Rostock,Rotterdam,Rovigo,Sabine Pass,Sagunto,Saint John,Salvador,Santa Cruz de Tenerife,Sao Francisco do Sul,Savannah,Shtokman,Sines,Skikda,South Hook,Soyo,Swinoujscie,Taranto,Teesport,Trieste,Tripoli,Vyborg,Wilhelmshaven,Yuzhny,Zeebrugge,Boryeong,Caofeidian,Chita,Coos Bay,Costa Azul,Dalian,Dangjin,Donghae,Fukuoko,Futtsu,Gladstone,Gwangyang,Hachinohe,Hakodate,Hatsukaichi,Heibei,Hibiki,Higashi-Ogishima,Himeji,Hitachi,Inchon,Ishikariwan-Shinko,Jiangsu,Joetsu,Kagoshima,Kawagoe,Kenai,Kitakyushu,Kitimat,Kushiro,Kwangyang,Lianyungang,Manzanillo,Mejillones,Mizushima,Nagasaki,Nanao,Naoetsu,Negishi,Niigata-Higashi,Niigata-Nishi,Ogishima,Oita,Osaka,Pampa Melchorita,Prigorodnoye,Prince Rupert,Pyeong Taek,Qingdao,Qinhuangdao,Quintero,Rosarito,Sakai,Sakaide,Samcheog,Senboku,Sendai,Shanghai,Shimizu,Shinminato,Sodegaura,Soma,Talcahuano,Tangshan,Tianjin (Sinopec),Tianjin Lingang,Tobata,Tokyo Bay,Tong Yong,Vladivostok,Wakayama,Yanai,Yokkaichi,Yokohama,Zhangjiagang,Ambon,Arun,Barrow Island,Batangas,Bei Hai,Bintulu,Bladin Point,Bontang,Cai Mep,Chiwan,Dampier,Darwin,Dili,Fujian,Guangdong,Haikou,Hainan,Ho Chi Min City,Ichthys,Jakarta,Johore,Karratha,Lahad Datu,Lumut,Luwuk,Malacca,Map Ta Phut,New Plymouth,Ningbo,Okinawa,Onslow,Panjang,Pluto,Port Moresby,Prelude FLNG,Qinzhou,Semarang,Seria,Shenzhen,Singapore,Sungai Udang,Tabangao,Taichung,Tangguh,Yangpu,Yangshan,Yuedong,Yung An,Zhoushan,Zhuhai
Acajutla,,6895.722,2557.497,5509.516,7263.970,5770.071,5508.992,5374.591,6196.825,6135.316,2525.921,2469.179,7363.535,5495.967,1722.512,7779.820,2554.539,2783.066,7142.576,9747.168,5339.143,7292.414,5622.821,3077.675,6866.433,5143.632,2072.529,5947.721,5950.813,2495.844,5255.689,6276.161,2464.679,5217.808,1870.785,1840.842,2356.842,7255.323,3236.413,6148.945,5398.400,5190.782,7067.127,5716.329,5079.406,6389.868,6971.452,6335.861,6929.464,2474.465,5529.786,7160.356,5212.041,6115.696,6241.014,7030.931,6643.988,9897.534,5426.009,7651.118,9188.576,3064.630,3064.078,6796.957,6588.174,6131.912,2335.316,3701.792,2319.397,2093.225,2089.724,2471.229,2264.879,1457.151,7166.321,6172.333,1186.561,6268.692,4004.362,6764.025,5920.535,6126.154,6165.023,5734.055,6956.880,2461.604,5656.957,3226.906,4525.142,4736.736,5547.832,2478.936,6456.706,5083.079,5855.071,5336.041,6587.405,6194.503,6531.509,5773.205,6973.512,7284.546,6751.415,5966.875,7422.434,5670.870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aliaga,6891.298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14526.120,14867.344,13896.112,9733.774,8870.591,14727.625,14552.523,14092.163,14401.871,13766.067,13875.888,14274.365,13488.250,13510.395,14207.353,14867.344,14176.827,13771.725,14072.468,13641.045,14592.604,13562.771,14613.195,13792.683,14283.554,13897.422,11132.737,14179.388,10377.128,13320.559,14274.365,14694.856,7785.632,8141.900,14116.647,14293.300,13826.141,13792.683,13764.902,13736.075,13738.745,13767.567,14181.862,14051.791,7471.195,13340.869,10413.810,14589.638,14676.214,14846.332,8637.316,8894.317,14048.745,14108.705,14092.163,14049.336,13575.985,14656.359,13812.856,13836.349,13775.203,13584.944,8830.540,14867.344,14895.519,14895.519,14177.299,13778.714,14225.750,13859.629,14020.276,14205.031,13897.364,13766.638,14723.482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altamira,2546.945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10181.767,10522.991,9551.759,5389.421,4526.238,10383.272,10208.170,9747.810,10057.518,9421.714,9531.535,9930.012,9143.897,9166.042,9863.000,10522.991,9832.474,9427.372,9728.115,9296.692,10248.251,9218.418,10268.842,9448.330,9939.201,9553.069,6788.384,9835.035,6032.775,8976.206,9930.012,10350.503,3441.279,3797.547,9772.294,9948.947,9481.788,9448.330,9420.549,9391.722,9394.392,9423.214,9837.509,9707.438,3126.842,8996.516,6069.457,10245.285,10331.861,10501.979,4292.963,4549.964,9704.392,9764.352,9747.810,9704.983,9231.632,10312.006,9468.503,9491.996,9430.850,9240.591,4486.187,10522.991,10551.166,10551.166,9832.946,9434.361,9881.397,9515.276,9675.923,9860.678,9553.011,9422.285,10379.129,11180.759,12719.051,11917.135,11148.633,11474.158,11834.636,11125.107,11530.734,11797.026,11068.429,11945.400,11125.107,11222.981,10642.648,11032.877,11279.309,11277.692,11824.390,11125.107,12398.918,12231.753,11941.335,11398.037,11686.713,11269.716,12355.246,12357.571,8401.258,10358.489,10183.553,11811.290,12506.230,11942.286,9887.712,11370.585,11477.955,12201.259,11681.426,11067.328,12244.643,12357.955,11148.633,10592.196,11122.411,11350.894,10306.526,11032.877,10770.750,10335.030,11078.808
Ambon,,,11188.653,,,,,,,,11157.077,11100.335,,,10353.668,,11185.695,11414.222,,,,,,11708.831,,,10703.685,,,11127.000,,,11095.835,,10501.941,10471.998,10987.998,,11867.569,,,,,,,,,,,11105.621,,,,,,,,,,,,11695.786,11695.234,,,,10966.472,,10950.553,10724.381,10720.880,11102.385,10896.035,10088.307,,,9817.717,,12635.518,,,,,,,11092.760,,11858.062,,,,11110.092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arzew,5501.028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13135.850,13477.074,12505.842,8343.504,7480.321,13337.355,13162.253,12701.893,13011.601,12375.797,12485.618,12884.095,12097.980,12120.125,12817.083,13477.074,12786.557,12381.455,12682.198,12250.775,13202.334,12172.501,13222.925,12402.413,12893.284,12507.152,9742.467,12789.118,8986.858,11930.289,12884.095,13304.586,6395.362,6751.630,12726.377,12903.030,12435.871,12402.413,12374.632,12345.805,12348.475,12377.297,12791.592,12661.521,6080.925,11950.599,9023.540,13199.368,13285.944,13456.062,7247.046,7504.047,12658.475,12718.435,12701.893,12659.066,12185.715,13266.089,12422.586,12446.079,12384.933,12194.674,7440.270,13477.074,13505.249,13505.249,12787.029,12388.444,12835.480,12469.359,12630.006,12814.761,12507.094,12376.368,13333.212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashdod,7259.096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14893.918,15235.142,14263.910,10101.572,9238.389,15095.423,14920.321,14459.961,14769.669,14133.865,14243.686,14642.163,13856.048,13878.193,14575.151,15235.142,14544.625,14139.523,14440.266,14008.843,14960.402,13930.569,14980.993,14160.481,14651.352,14265.220,11500.535,14547.186,10744.926,13688.357,14642.163,15062.654,8153.430,8509.698,14484.445,14661.098,14193.939,14160.481,14132.700,14103.873,14106.543,14135.365,14549.660,14419.589,7838.993,13708.667,10781.608,14957.436,15044.012,15214.130,9005.114,9262.115,14416.543,14476.503,14459.961,14417.134,13943.783,15024.157,14180.654,14204.147,14143.001,13952.742,9198.338,15235.142,15263.317,15263.317,14545.097,14146.512,14593.548,14227.427,14388.074,14572.829,14265.162,14134.436,15091.280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barcelona,5758.276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13393.098,13734.322,12763.090,8600.752,7737.569,13594.603,13419.501,12959.141,13268.849,12633.045,12742.866,13141.343,12355.228,12377.373,13074.331,13734.322,13043.805,12638.703,12939.446,12508.023,13459.582,12429.749,13480.173,12659.661,13150.532,12764.400,9999.715,13046.366,9244.106,12187.537,13141.343,13561.834,6652.610,7008.878,12983.625,13160.278,12693.119,12659.661,12631.880,12603.053,12605.723,12634.545,13048.840,12918.769,6338.173,12207.847,9280.788,13456.616,13543.192,13713.310,7504.294,7761.295,12915.723,12975.683,12959.141,12916.314,12442.963,13523.337,12679.834,12703.327,12642.181,12451.922,7697.518,13734.322,13762.497,13762.497,13044.277,12645.692,13092.728,12726.607,12887.254,13072.009,12764.342,12633.616,13590.460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barrow Island,,,11918.170,,,,,,,,11886.594,11829.852,,,,,11915.212,,,,,,,,,,,,,11856.517,,,11825.352,,,,11717.515,,,,,,,,,,,,,11835.138,,,,,,,,,,,,,,,,,11695.989,,11680.070,,,11831.902,11625.552,10817.824,,,10547.234,,,,,,,,,11822.277,,,,,,11839.609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Batangas,,,11155.291,,,,,,,,11123.715,11066.973,,,10320.306,,11152.333,11380.860,,,,,,11675.469,,,10670.323,,,11093.638,,,11062.473,,10468.579,10438.636,10954.636,,11834.207,,,,,,,,,,,11072.259,,,,,,,,,,,,11662.424,11661.872,,,,10933.110,,10917.191,10691.019,10687.518,11069.023,10862.673,10054.945,,,9784.355,,12602.156,,,,,,,11059.398,,11824.700,,,,11076.730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bei Hai,,,11484.968,,,,,,,,11453.392,11396.650,,,10649.983,,11482.010,11710.537,,,,,,12005.146,,,11000.000,,,11423.315,,,11392.150,,10798.256,10768.313,11284.313,,12163.884,,,,,,,,,,,11401.936,,,,,,,,,,,,11992.101,11991.549,,,,11262.787,,11246.868,11020.696,11017.195,11398.700,11192.350,10384.622,,,10114.032,,12931.833,,,,,,,11389.075,,12154.377,,,,11406.407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
