name,shortName,IMO,type,capacity,fillCapacity,scnt,pilotLightRate,safetyHeel,warmingTime,coolingVolume,purgeVolume,minSpeed,maxSpeed,inaccessiblePortsOverride,inaccessibleRoutesOverride,inaccessibleRoutes,routeParametersOverride,minBaseFuelConsumption,hasReliqCapabilityOverride,notes,mmxId,reference,ladenAttributes.nboRate,ladenAttributes.idleNBORate,ladenAttributes.idleBaseRate,ladenAttributes.inPortBaseRate,ladenAttributes.fuelConsumptionOverride,ladenAttributes.serviceSpeed,ladenAttributes.inPortNBORate,ladenAttributes.fuelConsumption,ladenAttributes.kind,ballastAttributes.nboRate,ballastAttributes.idleNBORate,ballastAttributes.idleBaseRate,ballastAttributes.inPortBaseRate,ballastAttributes.fuelConsumptionOverride,ballastAttributes.serviceSpeed,ballastAttributes.inPortNBORate,ballastAttributes.fuelConsumption,ballastAttributes.kind,inaccessiblePorts,routeParameters,SUEZ.parameters.extraTransitTime,SUEZ.parameters.ladenConsumptionRate,SUEZ.parameters.ladenNBORate,SUEZ.parameters.ballastConsumptionRate,SUEZ.parameters.ballastNBORate,SUEZ.parameters.kind,PANAMA.parameters.extraTransitTime,PANAMA.parameters.ladenConsumptionRate,PANAMA.parameters.ladenNBORate,PANAMA.parameters.ballastConsumptionRate,PANAMA.parameters.ballastNBORate,PANAMA.parameters.kind,kind,baseFuel,inPortBaseFuel,pilotLightBaseFuel,idleBaseFuel
TFDE A,,,,161881,0.985,,,,,,,,,false,false,,false,,false,,,TFDE_1,,,,,false,,,,VesselStateAttributes,,,,,false,,,,VesselStateAttributes,,,24,86.9,158.6,50,158.6,VesselClassRouteParameters,24,86.9,158.6,50,158.6,VesselClassRouteParameters,Vessel,,,,
Medium ship,,,,145440,0.985,,,,,,,,,false,false,,false,,false,,,Steam_1,,,,,false,,,,VesselStateAttributes,,,,,false,,,,VesselStateAttributes,,,24,104,218.16,102,145.44,VesselClassRouteParameters,24,104,218.16,102,145.44,VesselClassRouteParameters,Vessel,,,,
Small ship,,,,138000,0.985,,,,,,,,,false,false,,false,,false,,,Steam_2,,,,,false,,,,VesselStateAttributes,,,,,false,,,,VesselStateAttributes,,,24,124,207,124,207,VesselClassRouteParameters,24,124,207,124,207,VesselClassRouteParameters,Vessel,,,,
M_1,,,,173560,0.985,,6,450,24,700,,15.5,18.5,false,false,,false,,false,,,,214,214,12.4,18.8,false,19.5,,,VesselStateAttributes,214,214,12,30,false,19.5,,,VesselStateAttributes,,,24,117.3,214,35,214,VesselClassRouteParameters,24,117.3,214,35,214,VesselClassRouteParameters,Vessel,HFO,HFO,HFO,HFO
M_2,,,,173400,0.985,,6,450,24,700,,15.5,18.5,false,false,,false,,false,,,,214,214,12.4,18.8,false,19.5,,,VesselStateAttributes,214,214,12,30,false,19.5,,,VesselStateAttributes,,,24,117.3,214,35,214,VesselClassRouteParameters,24,117.3,214,35,214,VesselClassRouteParameters,Vessel,HFO,HFO,HFO,HFO
TFDE_1,,,,161881,0.985,,1,450,24,700,,15,18.5,false,false,,false,,false,,,,158.6,158.6,14,23,false,19.5,,,VesselStateAttributes,158.6,158.6,14,36,false,19.5,,,VesselStateAttributes,,,24,86.9,158.6,50,158.6,VesselClassRouteParameters,24,86.9,158.6,50,158.6,VesselClassRouteParameters,Vessel,HFO,HFO,HFO,HFO
TFDE_2,,,,161881,0.985,,1,500,24,1000,,15,18.5,false,false,,false,,false,,,,159.453,159.453,14,29.5,false,,,,VesselStateAttributes,159.453,159.453,14,29.5,false,19.5,,,VesselStateAttributes,,,24,68.88,159.453,68.88,159.453,VesselClassRouteParameters,24,68.88,159.453,68.88,159.453,VesselClassRouteParameters,Vessel,HFO,HFO,HFO,HFO
M_3,,,,173400,0.985,,6,450,24,1000,,15,18.5,false,false,,false,,false,,,,104,104,12,25,false,,,,VesselStateAttributes,101,101,12,25,false,19.5,,,VesselStateAttributes,,,24,50.4,104,48.8,101,VesselClassRouteParameters,24,50.4,104,48.8,101,VesselClassRouteParameters,Vessel,HFO,HFO,HFO,HFO
TFDE_3,,,,160487,0.985,,1,500,24,1000,,15,18.5,false,false,,false,,false,,,,237.12,237.12,32,9.5,false,15,,,VesselStateAttributes,237.12,237.12,32,9.5,false,16,,,VesselStateAttributes,,,24,70,237.12,78,237.12,VesselClassRouteParameters,24,70,237.12,78,237.12,VesselClassRouteParameters,Vessel,HFO,HFO,HFO,HFO
TFDE_4,,,,159700,0.985,,1,500,24,1000,,15,18.5,false,false,,false,,false,,,,169.889,169.889,20,12,false,15,,,VesselStateAttributes,169.889,169.889,20,12,false,15,,,VesselStateAttributes,,,24,82,169.889,90,169.889,VesselClassRouteParameters,24,82,169.889,90,169.889,VesselClassRouteParameters,Vessel,HFO,HFO,HFO,HFO
TFDE_5,,,,155000,0.985,,1,500,24,1000,,15,18.5,false,false,,false,,false,,,,195.424,195.424,20,12,false,15,,,VesselStateAttributes,195.424,195.424,20,12,false,15,,,VesselStateAttributes,,,24,81,195.424,79,195.424,VesselClassRouteParameters,24,81,195.424,79,195.424,VesselClassRouteParameters,Vessel,HFO,HFO,HFO,HFO
TFDE_6,,,,160533,0.985,,1,500,24,1000,,15,18.5,false,false,,false,,false,,,,158.125,158.125,9,35,false,15,,,VesselStateAttributes,158.125,158.125,9,35,false,15,,,VesselStateAttributes,,,24,75,158.125,82,158.125,VesselClassRouteParameters,24,75,158.125,82,158.125,VesselClassRouteParameters,Vessel,HFO,HFO,HFO,HFO
