name,allowRewiring,buy.name,buy.date,buy.time,buy.windowSize,buy.duration,buy.min,buy.max,buy.optional,buy.price,buy.cargoCV,buy.arriveCold,buy.DES,buy.contract,buy.port,buy.kind,sell.name,sell.date,sell.time,sell.windowSize,sell.duration,sell.min,sell.max,sell.optional,sell.price,sell.FOB,sell.contract,sell.port,sell.kind,kind
cargo-1,TRUE,cargo-1,02/01/2011,,,,,200000,FALSE,,,,FALSE,HH Spot Purchase,Point Fortin,LoadSlot,discharge-cargo-1,11/01/2011,,,,,200000,FALSE,,FALSE,NBP Sales,Dragon LNG,DischargeSlot,Cargo
cargo-41,,cargo-41,01/04/2011,,,,,200000,FALSE,,,,FALSE,JCC Spot Purchase,Idku LNG,LoadSlot,discharge-cargo-41,01/05/2011,,,,,200000,FALSE,,FALSE,HH Sales,Elba Island,DischargeSlot,Cargo
cargo-78,,cargo-78,23/03/2011,,,,,200000,FALSE,,,,FALSE,JCC Spot Purchase,Damietta,LoadSlot,discharge-cargo-78,18/04/2011,,,,,200000,FALSE,,FALSE,HH Sales,Elba Island,DischargeSlot,Cargo
cargo-5,,cargo-5,20/04/2011,,,,,200000,FALSE,,,,FALSE,JCC Spot Purchase,Idku LNG,LoadSlot,discharge-cargo-5,06/05/2011,,,,,200000,FALSE,,FALSE,HH Sales,Elba Island,DischargeSlot,Cargo
cargo-28,,cargo-28,24/04/2011,,,,,200000,FALSE,,,,FALSE,HH Spot Purchase,Point Fortin,LoadSlot,discharge-cargo-28,26/05/2011,,,,,200000,FALSE,,FALSE,JCC Sales,Fujian LNG,DischargeSlot,Cargo
cargo-16,,cargo-16,08/04/2011,,,,,200000,FALSE,,,,FALSE,JCC Spot Purchase,Punta Europa LNG,LoadSlot,discharge-cargo-16,30/04/2011,,,,,200000,FALSE,,FALSE,JCC Sales,Hazira - LNG Terminal,DischargeSlot,Cargo
cargo-24,,cargo-24,24/12/2010,,,,,200000,FALSE,,,,FALSE,HH Spot Purchase,Point Fortin,LoadSlot,discharge-cargo-24,04/01/2011,,,,,200000,FALSE,,FALSE,NBP Sales,Isle of Grain,DischargeSlot,Cargo
cargo-76,,cargo-76,22/05/2011,,,,,200000,FALSE,,,,FALSE,JCC Spot Purchase,Punta Europa LNG,LoadSlot,discharge-cargo-76,25/06/2011,,,,,200000,FALSE,,FALSE,JCC Sales,Ogishima - Tokyo Gas LNG Berth,DischargeSlot,Cargo
cargo-20,,cargo-20,03/06/2011,,,,,200000,FALSE,,,,FALSE,JCC Spot Purchase,Damietta,LoadSlot,discharge-cargo-20,26/06/2011,,,,,200000,FALSE,,FALSE,HH Sales,Pascagoula,DischargeSlot,Cargo
cargo-21,,cargo-21,21/12/2010,,,,,200000,FALSE,,,,FALSE,JCC Spot Purchase,Punta Europa LNG,LoadSlot,discharge-cargo-21,19/01/2011,,,,,200000,FALSE,,FALSE,JCC Sales,Pyeongtaek,DischargeSlot,Cargo
