spotIndex,vessels,assignedObjects
,Bluesky,"cargo-1, cargo-50, cargo-41, cargo-30"
,Methane Becki Anne,"1 Bonny, 2 Bonny, 3 Bonny, 5 Bonny, cargo-12, cargo-66"
,Methane Heather Sally,"cargo-70, Dry Dock, cargo-78, cargo-28"
,Methane Julia Louise,"cargo-21, cargo-71, 6 Bonny, 7 Bonny, cargo-60"
,Methane Lydon Volney,"cargo-39, cargo-48, cargo-5, cargo-76"
,Methane Princess,"cargo-24, cargo-31, cargo-16, cargo-20"
,Charter Ship,"cargo-32, cargo-22, cargo-9, 8 Bonny"
0,STEAM-138,
0,STEAM-145,
0,TFDE-170,
0,STEAM-126,
0,STEAM-145.8,
0,STEAM-154.8,
0,STEAM-138.2,
0,STEAM-165,
0,STEAM-152,
0,STEAM-152.3,
0,STEAM-149.7,
