vessels,routeOption,ladenCost,ballastCost,ballastRoundTripCost
VesselGroup:STEAM-152.3,SUEZ,50000,30000,
VesselGroup:STEAM-152,SUEZ,50000,30000,
VesselGroup:STEAM-126,SUEZ,50000,30000,
VesselGroup:STEAM-138,SUEZ,50000,30000,
VesselGroup:STEAM-138.2,SUEZ,50000,30000,
VesselGroup:TFDE-170,SUEZ,50000,30000,
VesselGroup:STEAM-145,SUEZ,50000,30000,
VesselGroup:STEAM-165,SUEZ,50000,30000,
VesselGroup:STEAM-149.7,SUEZ,50000,30000,
VesselGroup:STEAM-154.8,SUEZ,50000,30000,
VesselGroup:STEAM-145.8,SUEZ,50000,30000,
