name,allowRewiring,allowedVessels,buy.name,buy.date,buy.time,buy.windowSize,buy.duration,buy.min,buy.max,buy.optional,buy.price,buy.cargoCV,buy.arriveCold,buy.DES,buy.contract,buy.port,buy.kind,sell.name,sell.date,sell.time,sell.windowSize,sell.duration,sell.min,sell.max,sell.optional,sell.price,sell.FOB,sell.contract,sell.port,sell.kind,kind
cargo-1,,,cargo-1,2011-01-02,,,,,200000,false,,,,false,HH Spot Purchase,Point Fortin,LoadSlot,discharge-cargo-1,2011-01-11,,,,,200000,false,,false,NBP Sales,Dragon LNG,DischargeSlot,Cargo
cargo-41,,,cargo-41,2011-04-01,,,,,200000,false,,,,false,JCC Spot Purchase,Idku LNG,LoadSlot,discharge-cargo-41,2011-05-01,,,,,200000,false,,false,HH Sales,Elba Island,DischargeSlot,Cargo
cargo-78,,,cargo-78,2011-03-23,,,,,200000,false,,,,false,JCC Spot Purchase,Damietta,LoadSlot,discharge-cargo-78,2011-04-18,,,,,200000,false,,false,HH Sales,Elba Island,DischargeSlot,Cargo
cargo-5,,,cargo-5,2011-04-20,,,,,200000,false,,,,false,JCC Spot Purchase,Idku LNG,LoadSlot,discharge-cargo-5,2011-05-06,,,,,200000,false,,false,HH Sales,Elba Island,DischargeSlot,Cargo
cargo-28,,,cargo-28,2011-04-24,,,,,200000,false,,,,false,HH Spot Purchase,Point Fortin,LoadSlot,discharge-cargo-28,2011-05-26,,,,,200000,false,,false,JCC Sales,Fujian LNG,DischargeSlot,Cargo
cargo-16,,,cargo-16,2011-04-08,,,,,200000,false,,,,false,JCC Spot Purchase,Punta Europa LNG,LoadSlot,discharge-cargo-16,2011-04-30,,,,,200000,false,,false,JCC Sales,Hazira - LNG Terminal,DischargeSlot,Cargo
cargo-24,,,cargo-24,2010-12-24,,,,,200000,false,,,,false,HH Spot Purchase,Point Fortin,LoadSlot,discharge-cargo-24,2011-01-04,,,,,200000,false,,false,NBP Sales,Isle of Grain,DischargeSlot,Cargo
cargo-76,,,cargo-76,2011-05-22,,,,,200000,false,,,,false,JCC Spot Purchase,Punta Europa LNG,LoadSlot,discharge-cargo-76,2011-06-25,,,,,200000,false,,false,JCC Sales,Ogishima - Tokyo Gas LNG Berth,DischargeSlot,Cargo
cargo-20,,,cargo-20,2011-06-03,,,,,200000,false,,,,false,JCC Spot Purchase,Damietta,LoadSlot,discharge-cargo-20,2011-06-26,,,,,200000,false,,false,HH Sales,Pascagoula,DischargeSlot,Cargo
cargo-21,,,cargo-21,2010-12-21,,,,,200000,false,,,,false,JCC Spot Purchase,Punta Europa LNG,LoadSlot,discharge-cargo-21,2011-01-19,,,,,200000,false,,false,JCC Sales,Pyeongtaek,DischargeSlot,Cargo
cargo-22,,,cargo-22,2011-02-10,,,,,200000,false,,,,false,JCC Spot Purchase,Idku LNG,LoadSlot,discharge-cargo-22,2011-03-07,,,,,200000,false,,false,JCC Sales,Pyeongtaek,DischargeSlot,Cargo
cargo-32,,,cargo-32,2010-12-31,,,,,200000,false,,,,false,JCC Spot Purchase,Punta Europa LNG,LoadSlot,discharge-cargo-32,2011-01-25,,,,,200000,false,,false,JCC Sales,Pyeongtaek,DischargeSlot,Cargo
cargo-48,,,cargo-48,2011-02-07,,,,,200000,false,,,,false,HH Spot Purchase,Point Fortin,LoadSlot,discharge-cargo-48,2011-03-15,,,,,200000,false,,false,JCC Sales,Pyeongtaek,DischargeSlot,Cargo
cargo-50,,,cargo-50,2011-02-02,,,,,200000,false,,,,false,JCC Spot Purchase,Idku LNG,LoadSlot,discharge-cargo-50,2011-02-24,,,,,200000,false,,false,JCC Sales,Pyeongtaek,DischargeSlot,Cargo
cargo-70,,,cargo-70,2010-11-29,,,,,200000,false,,,,false,JCC Spot Purchase,Punta Europa LNG,LoadSlot,discharge-cargo-70,2011-01-15,,,,,200000,false,,false,JCC Sales,Pyeongtaek,DischargeSlot,Cargo
cargo-12,,,cargo-12,2011-04-13,,,,,200000,false,,,,false,HH Spot Purchase,Point Fortin,LoadSlot,discharge-cargo-12,2011-04-30,,,,,200000,false,,false,JCC Sales,Quintero Bay LNG,DischargeSlot,Cargo
cargo-30,,,cargo-30,2011-05-20,,,,,200000,false,,,,false,JCC Spot Purchase,Punta Europa LNG,LoadSlot,discharge-cargo-30,2011-06-11,,,,,200000,false,,false,JCC Sales,Quintero Bay LNG,DischargeSlot,Cargo
cargo-39,,,cargo-39,2010-12-08,,,,,200000,false,,,,false,JCC Spot Purchase,Punta Europa LNG,LoadSlot,discharge-cargo-39,2011-01-01,,,,,200000,false,,false,JCC Sales,Quintero Bay LNG,DischargeSlot,Cargo
cargo-60,,,cargo-60,2011-06-06,,,,,200000,false,,,,false,HH Spot Purchase,Point Fortin,LoadSlot,discharge-cargo-60,2011-06-28,,,,,200000,false,,false,JCC Sales,Quintero Bay LNG,DischargeSlot,Cargo
cargo-66,,,cargo-66,2011-05-16,,,,,200000,false,,,,false,JCC Spot Purchase,Punta Europa LNG,LoadSlot,discharge-cargo-66,2011-06-17,,,,,200000,false,,false,JCC Sales,Tobata,DischargeSlot,Cargo
cargo-9,,,cargo-9,2011-04-13,,,,,200000,false,,,,false,JCC Spot Purchase,Punta Europa LNG,LoadSlot,discharge-cargo-9,2011-05-10,,,,,200000,false,,false,JCC Sales,Yung An,DischargeSlot,Cargo
cargo-71,,,cargo-71,2011-02-16,,,,,200000,false,,,,false,JCC Spot Purchase,Punta Europa LNG,LoadSlot,discharge-cargo-71,2011-03-17,,,,,200000,false,,false,JCC Sales,Yung An,DischargeSlot,Cargo
cargo-31,,,cargo-31,2011-01-23,,,,,,false,,,,false,NBP Spot Purchase,Punta Europa LNG,LoadSlot,discharge-cargo-31,2011-03-07,,,,,,false,,false,JCC Sales,Freeport LNG,DischargeSlot,Cargo
