name,otherNames,capabilities,timeZone,loadDuration,dischargeDuration,cvValue,defaultStartTime,allowCooldown,defaultWindowSize,atobviacCode,dataloyCode,location.country,location.lat,location.lon,location.kind,kind
Aliaga,,"DISCHARGE,DRYDOCK",Europe/Istanbul,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Altamira,,DISCHARGE,America/Mexico_City,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Andres,,"DISCHARGE,DRYDOCK",America/Santo_Domingo,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Arzew,,LOAD,Africa/Algiers,24,24,23.97,7,false,24,,,,0.0,0.0,Location,Port
Bahia,,DISCHARGE,America/Sao_Paulo,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Bahia Blanca,,DISCHARGE,America/Buenos_Aires,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Balhaf,,LOAD,Asia/Dubai,24,24,24.03,7,false,24,,,,0.0,0.0,Location,Port
Barcelona,,"DISCHARGE,DRYDOCK,LOAD",Europe/Madrid,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Bilbao,,"DISCHARGE,DRYDOCK,LOAD",Europe/Madrid,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Bintulu,,LOAD,Asia/Kuala_Lumpur,24,24,23.58,7,false,24,,,,0.0,0.0,Location,Port
Bioko Is,"Bioko,Bioko Island",LOAD,Etc/GMT+1,24,24,23.34,7,false,24,,,,0.0,0.0,Location,Port
Blang Lacang,,LOAD,Asia/Jakarta,24,24,23.64,7,false,24,,,,0.0,0.0,Location,Port
Bonny Is,"Bonny,Bonny Island",LOAD,Africa/Lagos,24,24,23.81,7,false,24,,,,0.0,0.0,Location,Port
Bontang,,LOAD,Asia/Jakarta,24,24,23.8,7,false,24,,,,0.0,0.0,Location,Port
Cameron,,"DISCHARGE,LOAD",America/Chicago,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Canaport,,DISCHARGE,America/New_York,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Cape Town,,DRYDOCK,Africa/Johannesburg,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Cartagena,,"DISCHARGE,DRYDOCK,LOAD",Europe/Madrid,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Chita,,DISCHARGE,Asia/Tokyo,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Costa Azul,,"DISCHARGE,LOAD",America/Mexico_City,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Cove Point,,DISCHARGE,America/New_York,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Dabhol,,DISCHARGE,Etc/GMT+5,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Dahej,,DISCHARGE,Etc/GMT-5,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Dalian,,"DISCHARGE,DRYDOCK",Etc/GMT+8,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Damietta,,LOAD,Africa/Cairo,24,24,23.98,7,false,24,,,,0.0,0.0,Location,Port
Dampier,,LOAD,Australia/Perth,24,24,23.99,7,false,24,,,,0.0,0.0,Location,Port
Darwin,,LOAD,Australia/Darwin,24,24,23.79,7,false,24,,,,0.0,0.0,Location,Port
Das Is,,LOAD,Asia/Dubai,24,24,23.87,7,false,24,,,,0.0,0.0,Location,Port
Dragon LNG,Dragon,DISCHARGE,Europe/London,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Dubai,,"DISCHARGE,DRYDOCK",Asia/Dubai,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
El Ferrol,,"DISCHARGE,DRYDOCK,LOAD",Europe/Madrid,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Elba Is,,"DISCHARGE,LOAD",America/New_York,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Escobar,,DISCHARGE,America/Buenos_Aires,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Everett,,DISCHARGE,America/New_York,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Fos Sur Mer,Fos Cavaou,"DISCHARGE,DRYDOCK",Europe/Paris,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Freeport,,"DISCHARGE,LOAD",America/Chicago,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Fujian,,"DISCHARGE,DRYDOCK",Asia/Shanghai,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Fukuoko,,DISCHARGE,Asia/Tokyo,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Futtsu,,DISCHARGE,Asia/Tokyo,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Gate,,"DISCHARGE,DRYDOCK,LOAD",Europe/Amsterdam,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Gibraltar,,DRYDOCK,Europe/Madrid,0,24,0.0,7,false,24,,,,0.0,0.0,Location,Port
Gladstone,,LOAD,Australia/Brisbane,24,24,22.21,7,false,24,,,,0.0,0.0,Location,Port
Golden Pass,,DISCHARGE,America/Chicago,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Guanabara Bay,,DISCHARGE,America/Sao_Paulo,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Guangdong Dapeng,,"DISCHARGE,DRYDOCK",Asia/Shanghai,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Gwangyang,,"DISCHARGE,DRYDOCK",Asia/Seoul,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Haikou,,"DISCHARGE,DRYDOCK",Asia/Shanghai,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Hatsukaichi,,DISCHARGE,Asia/Tokyo,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Hazira,,DISCHARGE,Etc/GMT+5,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Heibei,,"DISCHARGE,DRYDOCK",Asia/Shanghai,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Higashi-Ogishima,"Ogishima,Ohgishima,Higashi Ohgishima,Higashi-Ohgishima",DISCHARGE,Asia/Tokyo,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Himeji,,DISCHARGE,Asia/Tokyo,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Huelva,,"DISCHARGE,DRYDOCK,LOAD",Europe/Madrid,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Idku,,LOAD,Africa/Cairo,24,24,23.98,7,false,24,,,,0.0,0.0,Location,Port
Incheon,,"DISCHARGE,DRYDOCK",Asia/Seoul,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Iran,,LOAD,Asia/Tehran,24,24,23.82,7,false,24,,,,0.0,0.0,Location,Port
Isle of Grain,,DISCHARGE,Europe/London,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Jiangsu,,"DISCHARGE,DRYDOCK",Asia/Shanghai,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Kagoshima,,DISCHARGE,Asia/Tokyo,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Karachi,,DISCHARGE,Asia/Karachi,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Kawagoe,,DISCHARGE,Asia/Tokyo,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Kenai,Nikiski,LOAD,Asia/Dubai,24,24,22.13,7,false,24,,,,0.0,0.0,Location,Port
Kitimat,,LOAD,America/Vancouver,24,24,23.53,7,false,24,,,,0.0,0.0,Location,Port
Kochi,,DISCHARGE,Etc/GMT+5,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Krk Island,Krk Is,DISCHARGE,Europe/Zagreb,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Lake Charles,,"DISCHARGE,LOAD",America/Chicago,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Livorno,,DISCHARGE,Europe/Rome,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Lumut,,LOAD,Asia/Brunei,24,24,23.95,7,false,24,,,,0.0,0.0,Location,Port
Manzanillo,,DISCHARGE,America/Mexico_City,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Map Ta Phut,,DISCHARGE,Asia/Bangkok,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Marmara Ereglisi,,"DISCHARGE,DRYDOCK",Europe/Istanbul,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Marsa el Brega,,LOAD,Africa/Tripoli,24,24,22.92,7,false,24,,,,0.0,0.0,Location,Port
Mejillones,,DISCHARGE,America/Santiago,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Melkoya Is,Melkoya,LOAD,Europe/Oslo,24,24,23.67,7,false,24,,,,0.0,0.0,Location,Port
Mina Al-Ahmadi,Mina al Ahmadi,"DISCHARGE,DRYDOCK",Asia/Kuwait,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Mizushima,,DISCHARGE,Asia/Tokyo,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
