from,Aliaga,Altamira,Andres,Arzew,Bahia,Bahia Blanca,Balhaf,Barcelona,Bilbao,Bintulu,Bioko Is,Blang Lacang,Bonny Is,Bontang,Cameron,Canaport,Cape Town,Cartagena,Chita,Costa Azul,Cove Point,Dabhol,Dahej,Dalian,Damietta,Dampier,Darwin,Das Is,Dragon LNG,Dubai,El Ferrol,Elba Is,Escobar,Everett,Fos Sur Mer,Freeport,Fujian,Fukuoko,Futtsu,Gate,Gibraltar,Gladstone,Golden Pass,Guanabara Bay,Guangdong Dapeng,Gwangyang,Haikou,Hatsukaichi,Hazira,Heibei,Higashi-Ogishima,Himeji,Huelva,Idku,Incheon,Iran,Isle of Grain,Jiangsu,Kagoshima,Karachi,Kawagoe,Kenai,Kitimat,Kochi,Krk Island,Lake Charles,Livorno,Lumut,Manzanillo,Map Ta Phut,Marmara Ereglisi,Marsa el Brega,Mejillones,Melkoya Is,Mina Al-Ahmadi,Mizushima,Montoir,Nagasaki,Negishi,Neptune,Niigata,North East Gateway,Oita,Osaka,Pampa Melchorita,Panigaglia,Panuelas,Pascagoula,Pecem,Pluto,Point Fortin,Port Arthur,Port Dolphin,Port Moresby,Pyeongtaek,Qalhat,Quebec,Quintero,Ras Laffan,Revithoussa,Rovigo,Sabine Pass,Sagunto,Sakai,Sakhalin II,Senboku,Sendai,Shanghai,Shimizu,Shin-minato,Shtokman,Sines,Singapore,Skikda,Sodegaura,South Hook,Soyo,Swinoujscie,Taichung,Tangguh,Teeside,Tenerife,Tobata,Tongyeong,Wilhelmshaven,Yanai,Yokkaichi,Yokohama,Yung An,Zeebrugge
Aliaga,,6557,5229,1423,5176,7251,2308,1326,2569,6782,5107,5671,5037,7473,6420,4619,6761,1429,8941,13935,5092,3859,3807,8827,604,7331,7900,3737,2795,3609,2331,5353,6982,4694,1322,6467,8190,8671,9056,3075,1653,9956,6432,5862,7608,8633,7512,8786,3843,8987,9061,8881,1777,568,8750,3893,3057,8807,8559,3538,8942,12373,13007,4294,975,6449,1183,6886,12970,6909,247,676,10243,4291,3988,8835,2655,8567,9055,4681,9158,4680,8721,8860,10860,1217,5076,6218,4684,7328,5103,6439,6103,8913,8748,3226,4721,9652,3763,214,1002,6429,1399,8857,9615,8858,9263,8417,8983,9116,4356,1934,6152,1071,9065,2792,5462,3803,8130,8135,3281,2375,8691,8678,3308,8744,8942,9056,7776,3010
Altamira,6554,,1727,5170,4757,6836,8510,5431,4923,12985,6415,11873,6345,13676,528,2444,7595,5157,15143,13537,1922,10062,10010,15029,6803,12760,13721,9940,4775,9812,4694,1475,6570,2293,5609,449,14392,14873,15258,5187,4917,13675,515,5449,13810,14835,13714,14989,10045,15190,15264,15083,4847,6728,14953,10096,5169,15009,14762,9741,15145,15765,15030,10497,6589,558,5786,13088,12572,13111,6688,6305,9845,5569,10190,15037,4916,14769,15257,2280,15360,2279,14923,15063,10462,5790,1895,744,3933,12757,2334,521,915,14477,14950,9429,3293,9254,9965,6420,6616,512,5319,15060,15818,15060,15466,14619,15186,15318,6172,4718,12354,5516,15267,4772,6770,5619,14333,14265,5199,4522,14893,14880,5404,14947,15144,15259,13978,5123
Andres,5225,1727,,3841,3104,5183,7181,4102,3711,11655,4753,10544,4683,12029,1623,1770,5942,3828,13814,11883,1416,8732,8681,13700,5474,11106,12067,8611,3676,8482,3476,1215,4917,1619,4280,1666,13063,13544,13929,4066,3588,12021,1635,3796,12481,13506,12385,13660,8716,13861,13935,13754,3522,5399,13624,8766,4048,13680,13433,8412,13816,14112,13376,9168,5260,1652,4456,11759,10919,11782,5359,4976,8191,4614,8861,13708,3756,13440,13928,1606,14031,1605,13594,13734,8808,4461,202,1510,2281,11103,707,1641,1435,12824,13621,8100,2490,7600,8636,5091,5287,1632,3989,13731,14489,13731,14137,13290,13857,13989,5128,3413,11025,4187,13938,3673,5097,4575,13003,12611,4156,3091,13564,13551,4299,13618,13815,13930,12649,4002
Arzew,1419,5170,3841,,3788,5863,3375,352,1182,7849,3719,6738,3650,8540,5033,3232,5374,114,10008,12547,3705,4926,4874,9894,1667,8398,8967,4805,1407,4676,944,3965,5594,3306,525,5080,9257,9738,10123,1688,266,11024,5045,4474,8675,9700,8579,9854,4910,10055,10129,9948,389,1593,9817,4960,1669,9874,9626,4605,10009,13440,14040,5361,1454,5062,676,7953,11583,7976,1552,1170,8855,2904,5055,9902,1268,9634,10122,3293,10225,3293,9788,9927,9472,685,3688,4831,3296,8395,3716,5051,4715,9980,9815,4293,3334,8264,4830,1285,1481,5041,243,9924,10682,9925,10330,9484,10050,10183,2968,546,7219,381,10132,1404,4074,2415,9197,9202,1894,988,9758,9745,1920,9811,10009,10124,8843,1623
Bahia,5171,4757,3104,3787,,2160,7127,4048,4089,9571,3019,8477,2954,9427,4652,4091,3346,3774,11748,8855,4107,8311,8606,11633,5420,8505,9466,8557,4297,8429,3851,4041,1894,4069,4226,4695,10997,11478,11862,4588,3534,8993,4664,774,10415,11439,10319,11593,8526,11794,11868,11688,3532,5345,11557,8713,4570,11613,11366,8358,11749,11084,10348,7866,5206,4681,4403,9674,7891,9715,5305,4922,5163,5707,8807,11641,4175,11374,11861,4056,11964,4055,11528,11667,5780,4407,2944,4539,858,8502,2555,4671,4455,9795,11554,8046,4557,4572,8582,5038,5233,4661,3936,11664,12422,11664,12070,11223,11790,11923,5869,3514,8958,4133,11871,4294,3061,5316,10937,10010,4794,2855,11498,11484,4821,11551,11748,11863,10582,4523
Bahia Blanca,7247,6836,5183,5863,2160,,9202,6124,6167,9996,4719,8902,4668,9852,6732,6170,3812,5850,10425,7010,6187,8736,9031,11120,7495,8860,9140,9970,6376,9842,5929,6120,702,6148,6302,6775,10752,10659,10350,6666,5609,7148,6744,1460,10758,10757,10744,10600,8951,11281,10356,10629,5606,7420,10990,10126,6648,11100,10506,9260,10426,9239,8503,8291,7282,6761,6478,10099,6046,10141,7381,6998,3318,7786,10220,10673,6253,10603,10349,6135,10826,6135,10534,10608,3935,6483,5023,6619,2937,8857,4635,6750,6534,7950,10987,9481,6636,2727,9996,7113,7309,6740,6011,10605,10728,10606,10446,10809,10420,10927,7947,5588,9384,6209,10360,6373,4496,7394,10692,9639,6873,4934,10595,10744,6899,10558,10425,10351,10527,6602
Balhaf,2293,8499,7170,3364,7117,9192,,3267,4511,4561,7048,3450,6979,5252,8362,6561,6573,3371,6720,11730,7034,1638,1587,6606,1721,5110,5679,1517,4736,1388,4273,7294,8923,6635,3263,8409,5969,6450,6835,5017,3595,7735,8374,7803,5387,6412,5291,6566,1622,6767,6841,6660,3718,1829,6529,1672,4998,6586,6338,1317,6721,10152,10787,2073,2943,8391,3125,4665,12730,4688,2448,2470,12068,6233,1767,6614,4597,6346,6834,6622,6937,6622,6500,6639,12685,3158,7017,8160,6625,5107,7045,8380,8044,6692,6527,1005,6663,11477,1542,2280,2970,8370,3341,6636,7394,6637,7042,6196,6762,6895,6297,3875,3931,3013,6844,4733,7403,5744,5909,5914,5223,4317,6470,6457,5249,6523,6721,6836,5555,4952
Barcelona,1326,5427,4099,352,4046,6121,3282,,1439,7756,3977,6645,3907,8447,5290,3490,5631,285,9915,12805,3963,4833,4782,9801,1574,8305,8874,4712,1665,4583,1201,4223,5852,3564,194,5337,9164,9645,10030,1945,523,10931,5302,4732,8582,9607,8486,9761,4817,9962,10036,9855,647,1500,9724,4867,1927,9781,9533,4512,9916,13347,13982,5268,1361,5319,391,7860,11840,7883,1460,1080,9113,3161,4962,9809,1525,9541,10029,3551,10132,3550,9695,9834,9730,388,3946,5089,3554,8302,3973,5309,4973,9887,9722,4200,3592,8522,4737,1192,1388,5299,156,9831,10589,9832,10238,9391,9957,10090,3226,804,7126,352,10039,1662,4332,2673,9104,9109,2151,1245,9665,9652,2178,9718,9916,10031,8750,1881
Bilbao,2597,4923,3711,1213,4097,6175,4553,1474,,9027,4062,7916,3992,9718,4786,2854,5716,1200,11186,12879,3383,6104,6053,11072,2845,9576,10145,5983,555,5854,277,3659,5909,2931,1652,4833,10435,10916,11301,804,960,12202,4798,4788,9853,10878,9757,11032,6088,11233,11307,11126,890,2771,10995,6138,786,11052,10804,5783,11187,14618,14372,6539,2632,4815,1828,9131,11915,9154,2731,2348,9187,2098,6233,11080,250,10812,11300,2918,11403,2917,10966,11105,9804,1833,3579,4585,3544,9573,3687,4805,4469,11158,10993,5471,2953,8596,6008,2463,2659,4795,1361,11102,11860,11103,11509,10662,11229,11361,2085,694,8397,1559,11310,552,4417,1532,10375,10380,1010,1292,10936,10923,1037,10989,11187,11302,10021,740
Bintulu,6763,12969,11640,7835,9575,10000,4544,7738,8981,,8648,1122,8675,1130,12832,11031,6300,7841,2431,7441,11504,3001,3296,2349,6191,2074,2258,4249,9207,4121,8743,11765,9988,11106,7733,12879,1712,2185,2546,9487,8065,3828,12844,9509,1228,2147,1152,2284,3215,2510,2551,2371,8188,6299,2273,4405,9469,2329,2065,3536,2432,5863,6497,2512,7413,12861,7595,218,8388,978,6918,6940,10490,10703,4499,2332,9067,2082,2545,11092,2672,11092,2219,2350,10424,7628,11487,12630,9931,2071,11515,12850,12514,3027,2270,3760,11133,10110,4274,6750,7440,12841,7811,2347,3130,2348,2753,1939,2473,2630,10768,8346,634,7483,2555,9204,8058,10215,1652,1804,9693,8787,2205,2192,9720,2242,2432,2546,1333,9422
