name,vessels,kind
Exmar/MOL,,VesselGroup
Golar,,VesselGroup
BG,,VesselGroup
TMT,,VesselGroup
Mitsui,,VesselGroup
Exmar/Teekay,,VesselGroup
AP Moller,,VesselGroup
Hyproc,,VesselGroup
NYK,,VesselGroup
Statoil,,VesselGroup
BW,,VesselGroup
BGT,,VesselGroup
Chemikalien Seetransport,,VesselGroup
DFDE-162,"LNG Port Harcourt,LNG River Orashi,LNG Lagos,LNG Sokoto,LNG Ogun,LNG Oyo,LNG Lokoja,LNG River Niger,LNG Rivers,LNG Kano,LNG Ondo,DFDE-162",
Dynagas,,VesselGroup
Shell,,VesselGroup
HMM,,VesselGroup
Gazprom,,VesselGroup
STASCO,,VesselGroup
Teekay,,VesselGroup
Hanjin,,VesselGroup
Kansai Electric,,VesselGroup
Tsakos,,VesselGroup
STX Panocean,,VesselGroup
Mitsui/ K Line,,VesselGroup
Knutsen,,VesselGroup
K Line,,VesselGroup
Awilco,,VesselGroup
ENI,,VesselGroup
BGT. Ltd.,,VesselGroup
Gen. Dynamics,,VesselGroup
MISC,,VesselGroup
Elcano,,VesselGroup
Hoegh LNG,,VesselGroup
Japan Inc,,VesselGroup
MINT,,VesselGroup
Hanjin Shpg Co.,,VesselGroup
Maran Gas,,VesselGroup
Sovcomflot,,VesselGroup
UF,,VesselGroup
GasLog,,VesselGroup
Oman Shipping co,,VesselGroup
Stena Bulk,,VesselGroup
General Dynamics,,VesselGroup
QatarGas II,,VesselGroup
Oman LNG,,VesselGroup
Excelerate,,VesselGroup
Yemen LNG,,VesselGroup
MOL,,VesselGroup
Petronas,,VesselGroup
Total,,VesselGroup
