name,allowRewiring,buy.name,buy.date,buy.time,buy.windowSize,buy.duration,buy.min,buy.max,buy.optional,buy.price,buy.cargoCV,buy.arriveCold,buy.DES,buy.contract,buy.port,buy.kind,sell.name,sell.date,sell.time,sell.windowSize,sell.duration,sell.min,sell.max,sell.optional,sell.price,sell.FOB,sell.contract,sell.port,sell.kind,kind
Cargo 6,,Cargo 6,28/12/2010,,,,,,FALSE,,,,FALSE,Buy 5,Bonny Is,LoadSlot,discharge-Cargo 6,08/01/2011,,,,,,FALSE,,FALSE,Sell 10,Montoir,DischargeSlot,Cargo
Cargo 7,,Cargo 7,29/12/2010,,,,,,FALSE,,,,FALSE,Buy 5,Bonny Is,LoadSlot,discharge-Cargo 7,12/01/2011,,,,,,FALSE,,FALSE,Sell 10,Huelva,DischargeSlot,Cargo
Cargo 11,,Cargo 11,06/01/2011,,,,,,FALSE,,,,FALSE,Buy 5,Bonny Is,LoadSlot,discharge-Cargo 11,16/01/2011,,,,,,FALSE,,FALSE,Sell 10,Sines,DischargeSlot,Cargo
Cargo 12,,Cargo 12,08/01/2011,,,,,,FALSE,,,,FALSE,Buy 5,Bonny Is,LoadSlot,discharge-Cargo 12,19/01/2011,,,,,,FALSE,,FALSE,Sell 10,Dragon LNG,DischargeSlot,Cargo
Cargo 13,,Cargo 13,10/01/2011,,,,,,FALSE,,,,FALSE,Buy 5,Bonny Is,LoadSlot,discharge-Cargo 13,21/01/2011,,,,,,FALSE,,FALSE,Sell 10,El Ferrol,DischargeSlot,Cargo
Cargo 18,,Cargo 18,14/01/2011,,,,,,FALSE,,,,FALSE,Buy 5,Bonny Is,LoadSlot,discharge-Cargo 18,27/01/2011,,,,,,FALSE,,FALSE,Sell 10,Isle of Grain,DischargeSlot,Cargo
Cargo 20,,Cargo 20,17/01/2011,,,,,,FALSE,,,,FALSE,Buy 5,Bonny Is,LoadSlot,discharge-Cargo 20,30/01/2011,,,,,,FALSE,,FALSE,Sell 10,Montoir,DischargeSlot,Cargo
Cargo 22,,Cargo 22,18/01/2011,,,,,,FALSE,,,,FALSE,Buy 5,Bonny Is,LoadSlot,discharge-Cargo 22,31/01/2011,,,,,,FALSE,,FALSE,Sell 10,Sines,DischargeSlot,Cargo
Cargo 26,,Cargo 26,26/01/2011,,,,,,FALSE,,,,FALSE,Buy 5,Bonny Is,LoadSlot,discharge-Cargo 26,23/02/2011,,,,,,FALSE,,FALSE,Sell 10,Incheon,DischargeSlot,Cargo
Cargo 27,,Cargo 27,28/01/2011,,,,,,FALSE,,,,FALSE,Buy 5,Bonny Is,LoadSlot,discharge-Cargo 27,25/02/2011,,,,,,FALSE,,FALSE,Sell 10,Tongyeong,DischargeSlot,Cargo
Cargo 30,,Cargo 30,31/01/2011,,,,,,FALSE,,,,FALSE,Buy 5,Bonny Is,LoadSlot,discharge-Cargo 30,24/02/2011,,,,,,FALSE,,FALSE,Sell 10,Hazira,DischargeSlot,Cargo
Cargo 34,,Cargo 34,05/02/2011,,,,,,FALSE,,,,FALSE,Buy 5,Bonny Is,LoadSlot,discharge-Cargo 34,14/02/2011,,,,,,FALSE,,FALSE,Sell 10,Huelva,DischargeSlot,Cargo
Cargo 37,,Cargo 37,08/02/2011,,,,,,FALSE,,,,FALSE,Buy 5,Bonny Is,LoadSlot,discharge-Cargo 37,22/02/2011,,,,,,FALSE,,FALSE,Sell 10,Dragon LNG,DischargeSlot,Cargo
Cargo 38,,Cargo 38,09/02/2011,,,,,,FALSE,,,,FALSE,Buy 5,Bonny Is,LoadSlot,discharge-Cargo 38,22/02/2011,,,,,,FALSE,,FALSE,Sell 10,El Ferrol,DischargeSlot,Cargo
Cargo 43,,Cargo 43,16/02/2011,,,,,,FALSE,,,,FALSE,Buy 5,Bonny Is,LoadSlot,discharge-Cargo 43,07/03/2011,,,,,,FALSE,,FALSE,Sell 10,Altamira,DischargeSlot,Cargo
Cargo 45,,Cargo 45,18/02/2011,,,,,,FALSE,,,,FALSE,Buy 5,Bonny Is,LoadSlot,discharge-Cargo 45,10/03/2011,,,,,,FALSE,,FALSE,Sell 10,Dahej,DischargeSlot,Cargo
Cargo 47,,Cargo 47,20/02/2011,,,,,,FALSE,,,,FALSE,Buy 5,Bonny Is,LoadSlot,discharge-Cargo 47,01/03/2011,,,,,,FALSE,,FALSE,Sell 10,Sines,DischargeSlot,Cargo
Cargo 49,,Cargo 49,22/02/2011,,,,,,FALSE,,,,FALSE,Buy 5,Bonny Is,LoadSlot,discharge-Cargo 49,21/03/2011,,,,,,FALSE,,FALSE,Sell 10,Tongyeong,DischargeSlot,Cargo
Cargo 51,,Cargo 51,25/02/2011,,,,,,FALSE,,,,FALSE,Buy 5,Bonny Is,LoadSlot,discharge-Cargo 51,08/03/2011,,,,,,FALSE,,FALSE,Sell 10,Dragon LNG,DischargeSlot,Cargo
Cargo 60,,Cargo 60,09/03/2011,,,,,,FALSE,,,,FALSE,Buy 5,Bonny Is,LoadSlot,discharge-Cargo 60,21/03/2011,,,,,,FALSE,,FALSE,Sell 10,Sagunto,DischargeSlot,Cargo
Cargo 62,,Cargo 62,10/03/2011,,,,,,FALSE,,,,FALSE,Buy 5,Bonny Is,LoadSlot,discharge-Cargo 62,27/03/2011,,,,,,FALSE,,FALSE,Sell 10,Dragon LNG,DischargeSlot,Cargo
Cargo 64,,Cargo 64,13/03/2011,,,,,,FALSE,,,,FALSE,Buy 5,Bonny Is,LoadSlot,discharge-Cargo 64,22/03/2011,,,,,,FALSE,,FALSE,Sell 10,Sines,DischargeSlot,Cargo
Cargo 68,,Cargo 68,17/03/2011,,,,,,FALSE,,,,FALSE,Buy 5,Bonny Is,LoadSlot,discharge-Cargo 68,30/03/2011,,,,,,FALSE,,FALSE,Sell 10,Montoir,DischargeSlot,Cargo
Cargo 71,,Cargo 71,24/03/2011,,,,,,FALSE,,,,FALSE,Buy 5,Bonny Is,LoadSlot,discharge-Cargo 71,05/04/2011,,,,,,FALSE,,FALSE,Sell 10,Montoir,DischargeSlot,Cargo
Cargo 73,,Cargo 73,26/03/2011,,,,,,FALSE,,,,FALSE,Buy 5,Bonny Is,LoadSlot,discharge-Cargo 73,06/04/2011,,,,,,FALSE,,FALSE,Sell 10,Huelva,DischargeSlot,Cargo
Cargo 75,,Cargo 75,27/03/2011,,,,,,FALSE,,,,FALSE,Buy 5,Bonny Is,LoadSlot,discharge-Cargo 75,09/04/2011,,,,,,FALSE,,FALSE,Sell 10,Cartagena,DischargeSlot,Cargo
Cargo 76,,Cargo 76,28/03/2011,,,,,,FALSE,,,,FALSE,Buy 5,Bonny Is,LoadSlot,discharge-Cargo 76,10/04/2011,,,,,,FALSE,,FALSE,Sell 10,Dragon LNG,DischargeSlot,Cargo
Cargo 82,,Cargo 82,03/04/2011,,,,,,FALSE,,,,FALSE,Buy 5,Bonny Is,LoadSlot,discharge-Cargo 82,21/04/2011,,,,,,FALSE,,FALSE,Sell 10,Altamira,DischargeSlot,Cargo
Cargo 83,,Cargo 83,04/04/2011,,,,,,FALSE,,,,FALSE,Buy 5,Bonny Is,LoadSlot,discharge-Cargo 83,15/04/2011,,,,,,FALSE,,FALSE,Sell 10,Montoir,DischargeSlot,Cargo
Cargo 88,,Cargo 88,09/04/2011,,,,,,FALSE,,,,FALSE,Buy 5,Bonny Is,LoadSlot,discharge-Cargo 88,23/04/2011,,,,,,FALSE,,FALSE,Sell 10,Montoir,DischargeSlot,Cargo
Cargo 89,,Cargo 89,10/04/2011,,,,,,FALSE,,,,FALSE,Buy 5,Bonny Is,LoadSlot,discharge-Cargo 89,21/04/2011,,,,,,FALSE,,FALSE,Sell 10,Montoir,DischargeSlot,Cargo
