from,Aliaga,Altamira,Andres,Arzew,Bahia,Bahia Blanca,Balhaf,Barcelona,Bilbao,Bintulu,Bioko Is,Blang Lacang,Bonny Is,Bontang,Cameron,Canaport,Cape Town,Cartagena,Chita,Costa Azul,Cove Point,Dabhol,Dahej,Dalian,Damietta,Dampier,Darwin,Das Is,Dragon LNG,Dubai,El Ferrol,Elba Is,Escobar,Everett,Fos Sur Mer,Freeport,Fujian,Fukuoko,Futtsu,Gate,Gibraltar,Gladstone,Golden Pass,Guanabara Bay,Guangdong Dapeng,Gwangyang,Haikou,Hatsukaichi,Hazira,Heibei,Higashi-Ogishima,Himeji,Huelva,Idku,Incheon,Iran,Isle of Grain,Jiangsu,Kagoshima,Karachi,Kawagoe,Kenai,Kitimat,Kochi,Krk Island,Lake Charles,Livorno,Lumut,Manzanillo,Map Ta Phut,Marmara Ereglisi,Marsa el Brega,Mejillones,Melkoya Is,Mina Al-Ahmadi,Mizushima,Montoir,Nagasaki,Negishi,Neptune,Niigata,North East Gateway,Oita,Osaka,Pampa Melchorita,Panigaglia,Panuelas,Pascagoula,Pecem,Pluto,Point Fortin,Port Arthur,Port Dolphin,Port Moresby,Pyeongtaek,Qalhat,Quebec,Quintero,Ras Laffan,Revithoussa,Rovigo,Sabine Pass,Sagunto,Sakai,Sakhalin II,Senboku,Sendai,Shanghai,Shimizu,Shin-minato,Shtokman,Sines,Singapore,Skikda,Sodegaura,South Hook,Soyo,Swinoujscie,Taichung,Tangguh,Teeside,Tenerife,Tobata,Tongyeong,Wilhelmshaven,Yanai,Yokkaichi,Yokohama,Yung An,Zeebrugge
Aliaga,,6557,5229,1423,5176,7251,13287,1326,2569,13018,5107,11925,5037,12875,6420,4619,6761,1429,15195,13935,5092,11759,12054,15081,604,11952,12913,12993,2795,12864,2331,5353,6982,4694,1322,6467,14444,14925,15310,3075,1653,14004,6432,5862,13862,14887,13766,15040,11973,15242,15316,15135,1777,568,15004,13148,3057,15061,14813,12282,15196,16163,15428,11314,975,6449,1183,13122,12970,13163,247,676,10243,4291,13243,15089,2655,14821,15309,4681,15412,4680,14975,15114,10860,1217,5076,6218,4684,11949,5103,6439,6103,13953,15002,12503,4721,9652,13018,214,1002,6429,1399,15111,15869,15112,15517,14671,15237,15370,4356,1934,12406,1071,15319,2792,5462,3803,14384,13457,3281,2375,14945,14932,3308,14998,15196,15311,14030,3010
Altamira,6554,,1727,5170,4757,6836,14095,5431,4923,13826,6415,12732,6345,13682,528,2444,7595,5157,16003,13537,1922,12566,12861,15888,6803,12760,13721,13800,4775,13672,4694,1475,6570,2293,5609,449,15252,15733,16117,5187,4917,13675,515,5449,14670,15694,14574,15848,12781,16049,16123,15943,4847,6728,15812,13956,5169,15868,15621,13089,16004,15765,15030,12121,6589,558,5786,13929,12572,13970,6688,6305,9845,5569,14050,15896,4916,15629,16116,2280,16219,2279,15783,15922,10462,5790,1895,744,3933,12757,2334,521,915,14477,15809,13311,3293,9254,13825,6420,6616,512,5319,15919,16677,15919,16325,15478,16045,16178,6172,4718,13213,5516,16127,4772,6770,5619,15192,14265,5199,4522,15753,15739,5404,15806,16003,16118,14837,5123
Andres,5225,1727,,3841,3104,5183,12441,4102,3711,12172,4753,11079,4683,12029,1623,1770,5942,3828,14349,11883,1416,10913,11208,14235,5474,11106,12067,12147,3676,12018,3476,1215,4917,1619,4280,1666,13598,14079,14464,4066,3588,12021,1635,3796,13016,14041,12920,14195,11127,14396,14470,14289,3522,5399,14158,12302,4048,14215,13967,11436,14350,14112,13376,10468,5260,1652,4456,12276,10919,12317,5359,4976,8191,4614,12397,14243,3756,13975,14463,1606,14566,1605,14129,14268,8808,4461,202,1510,2281,11103,707,1641,1435,12824,14156,11657,2490,7600,12172,5091,5287,1632,3989,14265,15023,14266,14671,13825,14391,14524,5128,3413,11560,4187,14473,3673,5097,4575,13538,12611,4156,3091,14099,14086,4299,14152,14350,14465,13184,4002
Arzew,1419,5170,3841,,3788,5863,11900,352,1182,11631,3719,10537,3650,11487,5033,3232,5374,114,13808,12547,3705,10371,10666,13693,1667,10565,11526,11605,1407,11477,944,3965,5594,3306,525,5080,13057,13538,13922,1688,266,12616,5045,4474,12475,13499,12379,13653,10586,13854,13928,13748,389,1593,13617,11761,1669,13674,13426,10894,13809,14776,14040,9926,1454,5062,676,11734,11583,11775,1552,1170,8855,2904,11855,13701,1268,13434,13921,3293,14024,3293,13588,13727,9472,685,3688,4831,3296,10562,3716,5051,4715,12565,13614,11116,3334,8264,11630,1285,1481,5041,243,13724,14482,13724,14130,13283,13850,13983,2968,546,11019,381,13932,1404,4074,2415,12997,12070,1894,988,13558,13544,1920,13611,13808,13923,12642,1623
Bahia,5171,4757,3104,3787,,2160,9840,4048,4089,9571,3019,8477,2954,9427,4652,4091,3346,3774,11748,8855,4107,8311,8606,11633,5420,8505,9466,9545,4297,9417,3851,4041,1894,4069,4226,4695,10997,11478,11862,4588,3534,8993,4664,774,10415,11439,10319,11593,8526,11794,11868,11688,3532,5345,11557,9701,4570,11613,11366,8834,11749,11084,10348,7866,5206,4681,4403,9674,7891,9715,5305,4922,5163,5707,9795,11641,4175,11374,11861,4056,11964,4055,11528,11667,5780,4407,2944,4539,858,8502,2555,4671,4455,9795,11554,9056,4557,4572,9570,5038,5233,4661,3936,11664,12422,11664,12070,11223,11790,11923,5869,3514,8958,4133,11871,4294,3061,5316,10937,10010,4794,2855,11498,11484,4821,11551,11748,11863,10582,4523
Bahia Blanca,7247,6836,5183,5863,2160,,10265,6124,6167,9996,4719,8902,4668,9852,6732,6170,3812,5850,10425,7010,6187,8736,9031,11120,7495,8860,9140,9970,6376,9842,5929,6120,702,6148,6302,6775,10752,10659,10350,6666,5609,7148,6744,1460,10758,10757,10744,10600,8951,11281,10356,10629,5606,7420,10990,10126,6648,11100,10506,9260,10426,9239,8503,8291,7282,6761,6478,10099,6046,10141,7381,6998,3318,7786,10220,10673,6253,10603,10349,6135,10826,6135,10534,10608,3935,6483,5023,6619,2937,8857,4635,6750,6534,7950,10987,9481,6636,2727,9996,7113,7309,6740,6011,10605,10728,10606,10446,10809,10420,10927,7947,5588,9384,6209,10360,6373,4496,7394,10692,9639,6873,4934,10595,10744,6899,10558,10425,10351,10527,6602
Balhaf,13291,14103,12449,11907,9848,10273,,12168,12240,4561,8921,3450,8948,5252,13998,13219,6573,11894,6720,11730,13387,1638,1587,6606,13539,5110,5679,1517,12466,1388,12002,13378,10261,13257,12346,14041,5969,6450,6835,12746,11654,7735,14010,9782,5387,6412,5291,6566,1622,6767,6841,6660,11652,13465,6529,1672,12728,6586,6338,1317,6721,10152,10787,2073,13326,14027,12522,4665,12730,4688,13425,13042,12068,13930,1767,6614,12326,6346,6834,13244,6937,13244,6500,6639,12685,12527,12290,13885,10204,5107,11901,14016,13798,6692,6527,1005,13520,11477,1542,13157,13353,14007,12055,6636,7394,6637,7042,6196,6762,6895,14027,11641,3931,12253,6844,12463,8331,13474,5909,5914,12952,10992,6470,6457,12979,6523,6721,6836,5555,12682
Barcelona,1326,5427,4099,352,4046,6121,12157,,1439,11888,3977,10795,3907,11745,5290,3490,5631,285,14065,12805,3963,10629,10924,13951,1574,10822,11783,11863,1665,11734,1201,4223,5852,3564,194,5337,13314,13795,14180,1945,523,12874,5302,4732,12732,13757,12636,13911,10843,14112,14186,14005,647,1500,13875,12018,1927,13931,13683,11152,14067,15033,14298,10184,1361,5319,391,11992,11840,12033,1460,1080,9113,3161,12113,13959,1525,13691,14179,3551,14282,3550,13845,13985,9730,388,3946,5089,3554,10819,3973,5309,4973,12823,13872,11373,3592,8522,11888,1192,1388,5299,156,13981,14740,13982,14388,13541,14108,14240,3226,804,11276,352,14189,1662,4332,2673,13254,12327,2151,1245,13815,13802,2178,13868,14066,14181,12900,1881
Bilbao,2597,4923,3711,1213,4097,6175,12242,1474,,11973,4062,10880,3992,11830,4786,2854,5716,1200,14150,12879,3383,10714,11009,14036,2845,10908,11868,11948,555,11819,277,3659,5909,2931,1652,4833,13399,13880,14265,804,960,12959,4798,4788,12817,13842,12721,13996,10928,14197,14271,14090,890,2771,13960,12103,786,14016,13769,11237,14152,15108,14372,10269,2632,4815,1828,12077,11915,12118,2731,2348,9187,2098,12198,14044,250,13776,14264,2918,14367,2917,13930,14070,9804,1833,3579,4585,3544,10904,3687,4805,4469,12908,13957,11458,2953,8596,11973,2463,2659,4795,1361,14067,14825,14067,14473,13626,14193,14325,2085,694,11361,1559,14274,552,4417,1532,13339,12412,1010,1292,13900,13887,1037,13954,14151,14266,12985,740
Bintulu,13019,13830,12177,11635,9575,10000,4544,11896,11968,,8648,1122,8675,1130,13726,12947,6300,11621,2431,7441,13114,3001,3296,2349,13267,2074,2258,4249,12194,4121,11730,13105,9988,12985,12074,13768,1712,2185,2546,12474,11381,3828,13738,9509,1228,2147,1152,2284,3215,2510,2551,2371,11379,13192,2273,4405,12456,2329,2065,3536,2432,5863,6497,2512,13053,13755,12250,218,8388,978,13153,12770,10490,13657,4499,2332,12054,2082,2545,12972,2672,12971,2219,2350,10424,12254,12017,13613,9931,2071,11629,13744,13526,3027,2270,3760,13248,10110,4274,12885,13081,13734,11783,2347,3130,2348,2753,1939,2473,2630,13755,11368,634,11981,2555,12190,8058,13201,1652,1804,12680,10720,2205,2192,12706,2242,2432,2546,1333,12409
