name,location.name,location.otherNames,capabilities,location.timeZone,loadDuration,dischargeDuration,cvValue,defaultStartTime,allowCooldown,defaultWindowSize,location.country,location.lat,location.lon,location.kind,kind,location.mmxId
Aliaga,Aliaga,,"DISCHARGE,DRYDOCK",Europe/Istanbul,24,24,22.8,7,false,24,Turkey,0.0,0.0,Location,Port,L_TR_Aliag
Altamira,Altamira,,DISCHARGE,America/Mexico_City,24,24,22.8,7,false,24,Mexico,0.0,0.0,Location,Port,L_MX_Altam
Andres,Andres,,"DISCHARGE,DRYDOCK",America/Santo_Domingo,24,24,22.8,7,false,24,Dominican Republic,0.0,0.0,Location,Port,L_DO_AESAn
Arzew,Arzew,,LOAD,Africa/Algiers,24,24,23.97,7,false,24,Algeria,0.0,0.0,Location,Port,L_DZ_Arzew
Bahia,Bahia,,DISCHARGE,America/Sao_Paulo,24,24,22.8,7,false,24,Brazil,0.0,0.0,Location,Port,L_BR_Salva
Bahia Blanca,Bahia Blanca,,DISCHARGE,America/Buenos_Aires,24,24,22.8,7,false,24,Argentina,0.0,0.0,Location,Port,L_AR_Bahia
Balhaf,Balhaf,,LOAD,Asia/Dubai,24,24,24.03,7,false,24,Yemen,0.0,0.0,Location,Port,L_YE_BalHa
Barcelona,Barcelona,,"DISCHARGE,DRYDOCK,LOAD",Europe/Madrid,24,24,22.8,7,false,24,Spain,0.0,0.0,Location,Port,L_ES_Barce
Bilbao,Bilbao,,"DISCHARGE,DRYDOCK,LOAD",Europe/Madrid,24,24,22.8,7,false,24,Spain,0.0,0.0,Location,Port,L_ES_Bilba
Bintulu,Bintulu,,LOAD,Asia/Kuala_Lumpur,24,24,23.58,7,false,24,Malaysia,0.0,0.0,Location,Port,L_MY_Bintu
Bioko Is,Bioko Is,"Bioko,Bioko Island",LOAD,Etc/GMT+1,24,24,23.34,7,false,24,Equatorial Guinea,0.0,0.0,Location,Port,L_GQ_Punta
Blang Lacang,Blang Lacang,,LOAD,Asia/Jakarta,24,24,23.64,7,false,24,Indonesia,0.0,0.0,Location,Port,L_ID_Arun
Bonny Is,Bonny Is,"Bonny,Bonny Island",LOAD,Africa/Lagos,24,24,23.81,7,false,24,Nigeria,0.0,0.0,Location,Port,L_NG_Bonny
Bontang,Bontang,,LOAD,Asia/Jakarta,24,24,23.8,7,false,24,Indonesia,0.0,0.0,Location,Port,L_ID_Bonta
Cameron,Cameron,,"DISCHARGE,LOAD",America/Chicago,24,24,22.8,7,false,24,United States,0.0,0.0,Location,Port,L_US_Camer
Canaport,Canaport,,DISCHARGE,America/New_York,24,24,22.8,7,false,24,Canada,0.0,0.0,Location,Port,L_CA_Canap
Cape Town,Cape Town,,DRYDOCK,Africa/Johannesburg,24,24,22.8,7,false,24,South Africa,0.0,0.0,Location,Port,L_ZA_CapeT
Cartagena,Cartagena,,"DISCHARGE,DRYDOCK,LOAD",Europe/Madrid,24,24,22.8,7,false,24,Spain,0.0,0.0,Location,Port,L_ES_Carta
Chita,Chita,,DISCHARGE,Asia/Tokyo,24,24,22.8,7,false,24,Japan,0.0,0.0,Location,Port,L_JP_Chita
Costa Azul,Costa Azul,,"DISCHARGE,LOAD",America/Mexico_City,24,24,22.8,7,false,24,Mexico,0.0,0.0,Location,Port,L_MX_Costa
Cove Point,Cove Point,,DISCHARGE,America/New_York,24,24,22.8,7,false,24,United States,0.0,0.0,Location,Port,L_US_CoveP
Dabhol,Dabhol,,DISCHARGE,Etc/GMT+5,24,24,22.8,7,false,24,India,0.0,0.0,Location,Port,L_IN_Dabho
Dahej,Dahej,,DISCHARGE,Etc/GMT-5,24,24,22.8,7,false,24,India,0.0,0.0,Location,Port,L_IN_Dahej
Dalian,Dalian,,"DISCHARGE,DRYDOCK",Etc/GMT+8,24,24,22.8,7,false,24,China,0.0,0.0,Location,Port,L_CN_Dalia
Damietta,Damietta,,LOAD,Africa/Cairo,24,24,23.98,7,false,24,Egypt,0.0,0.0,Location,Port,L_EG_Damie
Dampier,Dampier,,LOAD,Australia/Perth,24,24,23.99,7,false,24,Australia,0.0,0.0,Location,Port,L_AU_Dampi
Darwin,Darwin,,LOAD,Australia/Darwin,24,24,23.79,7,false,24,Australia,0.0,0.0,Location,Port,L_AU_Darwi
Das Is,Das Is,,LOAD,Asia/Dubai,24,24,23.87,7,false,24,United Arab Emirates,0.0,0.0,Location,Port,L_AE_AbuDh
Dragon LNG,Dragon LNG,Dragon,DISCHARGE,Europe/London,24,24,22.8,7,false,24,United Kingdom,0.0,0.0,Location,Port,L_GB_Drago
Dubai,Dubai,,"DISCHARGE,DRYDOCK",Asia/Dubai,24,24,22.8,7,false,24,United Arab Emirates,0.0,0.0,Location,Port,L_AE_Jebel
El Ferrol,El Ferrol,,"DISCHARGE,DRYDOCK,LOAD",Europe/Madrid,24,24,22.8,7,false,24,Spain,0.0,0.0,Location,Port,L_ES_ElFer
