name,allowRewiring,allowedVessels,buy.name,buy.date,buy.time,buy.windowSize,buy.duration,buy.min,buy.max,buy.optional,buy.price,buy.cargoCV,buy.arriveCold,buy.DES,buy.contract,buy.port,buy.kind,sell.name,sell.date,sell.time,sell.windowSize,sell.duration,sell.min,sell.max,sell.optional,sell.price,sell.FOB,sell.contract,sell.port,sell.kind,kind
cargo-1,true,,load-cargo-1,2011-01-02,,,,,200000,false,,,,false,HH Spot Purchase,Point Fortin,LoadSlot,discharge-cargo-1,2011-01-11,,,,,200000,false,,false,NBP Sales,Dragon LNG,DischargeSlot,Cargo
cargo-41,,,load-cargo-41,2011-04-01,,,,,200000,false,,,,false,JCC Spot Purchase,Idku LNG,LoadSlot,discharge-cargo-41,2011-05-01,,,,,200000,false,,false,HH Sales,Elba Island,DischargeSlot,Cargo
cargo-78,,,load-cargo-78,2011-03-23,,,,,200000,false,,,,false,JCC Spot Purchase,Damietta,LoadSlot,discharge-cargo-78,2011-04-18,,,,,200000,false,,false,HH Sales,Elba Island,DischargeSlot,Cargo
cargo-5,,,load-cargo-5,2011-04-20,,,,,200000,false,,,,false,JCC Spot Purchase,Idku LNG,LoadSlot,discharge-cargo-5,2011-05-06,,,,,200000,false,,false,HH Sales,Elba Island,DischargeSlot,Cargo
cargo-28,,,load-cargo-28,2011-04-24,,,,,200000,false,,,,false,HH Spot Purchase,Point Fortin,LoadSlot,discharge-cargo-28,2011-05-26,,,,,200000,false,,false,JCC Sales,Fujian LNG,DischargeSlot,Cargo
cargo-16,,,load-cargo-16,2011-04-08,,,,,200000,false,,,,false,JCC Spot Purchase,Punta Europa LNG,LoadSlot,discharge-cargo-16,2011-04-30,,,,,200000,false,,false,JCC Sales,Hazira - LNG Terminal,DischargeSlot,Cargo
cargo-24,,,load-cargo-24,2010-12-24,,,,,200000,false,,,,false,HH Spot Purchase,Point Fortin,LoadSlot,discharge-cargo-24,2011-01-04,,,,,200000,false,,false,NBP Sales,Isle of Grain,DischargeSlot,Cargo
cargo-76,,,load-cargo-76,2011-05-22,,,,,200000,false,,,,false,JCC Spot Purchase,Punta Europa LNG,LoadSlot,discharge-cargo-76,2011-06-25,,,,,200000,false,,false,JCC Sales,Ogishima - Tokyo Gas LNG Berth,DischargeSlot,Cargo
cargo-20,,,load-cargo-20,2011-06-03,,,,,200000,false,,,,false,JCC Spot Purchase,Damietta,LoadSlot,discharge-cargo-20,2011-06-26,,,,,200000,false,,false,HH Sales,Pascagoula,DischargeSlot,Cargo
cargo-21,,,load-cargo-21,2010-12-21,,,,,200000,false,,,,false,JCC Spot Purchase,Punta Europa LNG,LoadSlot,discharge-cargo-21,2011-01-19,,,,,200000,false,,false,JCC Sales,Pyeongtaek,DischargeSlot,Cargo
