name,location.name,location.otherNames,capabilities,location.timeZone,loadDuration,dischargeDuration,cvValue,defaultStartTime,allowCooldown,defaultWindowSize,location.country,location.lat,location.lon,location.kind,kind,location.mmxId
Ras Laffan,Ras Laffan,,LOAD,Asia/Qatar,24,24,22.8,7,FALSE,7,Qatar,0,0,Location,Port,L_QA_RasLa
Yemen LNG,Yemen LNG,,LOAD,Asia/Aden,24,24,22.8,7,FALSE,7,Yemen,0,0,Location,Port,L_YE_BalHa
Sakhalin-2,Sakhalin-2,,LOAD,Asia/Sakhalin,24,24,22.8,7,FALSE,7,Russian Federation,0,0,Location,Port,L_RU_Sakha
Point Fortin,Point Fortin,,LOAD,America/Port_of_Spain,24,24,22.8,7,FALSE,7,Trinidad and Tobago,0,0,Location,Port,L_TT_Point2
Kenai LNG,Kenai LNG,,LOAD,America/Anchorage,24,24,22.8,7,FALSE,7,United States,0,0,Location,Port,L_US_Kenai
Karratha Gas Plant,Karratha Gas Plant,,LOAD,Australia/Perth,24,24,22.8,7,FALSE,7,Australia,0,0,Location,Port,L_AU_Karra
Darwin LNG,Darwin LNG,,LOAD,Australia/Darwin,24,24,22.8,7,FALSE,7,Australia,0,0,Location,Port,L_AU_Darwi
Hammerfest LNG,Hammerfest LNG,,LOAD,Europe/Oslo,24,24,22.8,7,FALSE,7,Norway,0,0,Location,Port,L_NO_Hamme
Sonatrach LNG,Sonatrach LNG,,LOAD,Africa/Algiers,24,24,22.8,7,FALSE,7,Algeria,0,0,Location,Port,L_DZ_Skikd
Bethioua,Bethioua,,LOAD,Africa/Algiers,24,24,22.8,7,FALSE,7,Algeria,0,0,Location,Port,L_DZ_Bethi
Punta Europa LNG,Punta Europa LNG,,LOAD,Africa/Malabo,24,24,22.8,7,FALSE,7,Equatorial Guinea,0,0,Location,Port,L_GQ_Punta
Bonny Nigeria,Bonny Nigeria,,LOAD,Africa/Lagos,24,24,22.8,7,FALSE,7,Nigeria,0,0,Location,Port,L_NG_Bonny
Brunei LNG,Brunei LNG,,LOAD,Asia/Brunei,24,24,22.8,7,FALSE,7,Brunei Darussalam,0,0,Location,Port,L_BN_Lumut
Arun LNG,Arun LNG,,LOAD,Asia/Jakarta,24,24,22.8,7,FALSE,7,Indonesia,0,0,Location,Port,L_ID_Arun
Bontang LNG,Bontang LNG,,LOAD,Asia/Makassar,24,24,22.8,7,FALSE,7,Indonesia,0,0,Location,Port,L_ID_Bonta
Tannguh,Tannguh,,LOAD,Asia/Jayapura,24,24,22.8,7,FALSE,7,Indonesia,0,0,Location,Port,L_ID_Tangg
Oman LNG,Oman LNG,,LOAD,Asia/Muscat,24,24,22.8,7,FALSE,7,Oman,0,0,Location,Port,L_OM_Qalha
Idku LNG,Idku LNG,,LOAD,Africa/Cairo,24,24,22.8,7,FALSE,7,Egypt,0,0,Location,Port,L_EG_Idku
ADGAS LNG,ADGAS LNG,,LOAD,Asia/Dubai,24,24,22.8,7,FALSE,7,United Arab Emirates,0,0,Location,Port,L_AE_AbuDh
Fluxys,Fluxys,,DISCHARGE,Europe/Brussels,24,24,22.8,7,FALSE,7,Belgium,0,0,Location,Port,L_BE_Zeebr
South Hook LNG,South Hook LNG,,DISCHARGE,Europe/London,24,24,22.8,7,FALSE,7,United Kingdom,0,0,Location,Port,L_GB_South
Dragon LNG,Dragon LNG,,DISCHARGE,Europe/London,24,24,22.8,7,FALSE,7,United Kingdom,0,0,Location,Port,L_GB_Drago
Petrobras Guanabara LNG,Petrobras Guanabara LNG,,DISCHARGE,America/Sao_Paulo,24,24,22.8,7,FALSE,7,Brazil,0,0,Location,Port,L_BR_Guana
Petrobras Pecem LNG,Petrobras Pecem LNG,,DISCHARGE,America/Fortaleza,24,24,22.8,7,FALSE,7,Brazil,0,0,Location,Port,L_BR_Pecem
Canaport LNG,Canaport LNG,,DISCHARGE,America/Moncton,24,24,22.8,7,FALSE,7,Canada,0,0,Location,Port,L_CA_Canap
Quintero Bay LNG,Quintero Bay LNG,,DISCHARGE,America/Santiago,24,24,22.8,7,FALSE,7,Chile,0,0,Location,Port,L_CL_Quint
Fujian LNG,Fujian LNG,,DISCHARGE,Asia/Shanghai,24,24,22.8,7,FALSE,7,China,0,0,Location,Port,L_CN_Fujia
Chita LNG,Chita LNG,,DISCHARGE,Asia/Tokyo,24,24,22.8,7,FALSE,7,Japan,0,0,Location,Port,L_JP_Chita
Hakodate LNG,Hakodate LNG,,DISCHARGE,Asia/Tokyo,24,24,22.8,7,FALSE,7,Japan,0,0,Location,Port,L_JP_Hakod
Barcelona LNG,Barcelona LNG,,DISCHARGE,Europe/Madrid,24,24,22.8,7,FALSE,7,Spain,0,0,Location,Port,L_ES_Barce
Bilbao LNG,Bilbao LNG,,DISCHARGE,Europe/Madrid,24,24,22.8,7,FALSE,7,Spain,0,0,Location,Port,L_ES_Bilba
Huelva LNG,Huelva LNG,,DISCHARGE,Europe/Madrid,24,24,22.8,7,FALSE,7,Spain,0,0,Location,Port,L_ES_Huelv
Cartagena LNG,Cartagena LNG,,DISCHARGE,Europe/Madrid,24,24,22.8,7,FALSE,7,Spain,0,0,Location,Port,L_ES_Carta
Dominion Cove Point LNG,Dominion Cove Point LNG,,DISCHARGE,America/New_York,24,24,22.8,7,FALSE,7,United States,0,0,Location,Port,L_US_CoveP
Northeast Gateway Deepwater Port,Northeast Gateway Deepwater Port,,DISCHARGE,America/Chicago,24,24,22.8,7,FALSE,7,United States Minor Outlying Islands,0,0,Location,Port,L_UM_North
Gulf Gateway Deepwater Port,Gulf Gateway Deepwater Port,,DISCHARGE,America/Chicago,24,24,22.8,7,FALSE,7,United States Minor Outlying Islands,0,0,Location,Port,L_UM_GulfG
EcoElectrica LNG,EcoElectrica LNG,,DISCHARGE,America/Puerto_Rico,24,24,22.8,7,FALSE,7,Puerto Rico,0,0,Location,Port,L_PR_Penue
Sabine Pass LNG,Sabine Pass LNG,,"LOAD,DISCHARGE",America/Chicago,24,24,22.8,7,FALSE,7,United States,0,0,Location,Port,L_US_Sabin
Freeport LNG,Freeport LNG,,DISCHARGE,America/Chicago,24,24,22.8,7,FALSE,7,United States,0,0,Location,Port,L_US_Freep
Everett Marine Terminal,Everett Marine Terminal,,DISCHARGE,America/New_York,24,24,22.8,7,FALSE,7,United States,0,0,Location,Port,L_US_Evere
Aliaga,Aliaga,,DISCHARGE,Europe/Istanbul,24,24,22.8,7,FALSE,7,Turkey,0,0,Location,Port,L_TR_Aliag
Costa Azul LNG Terminal,Costa Azul LNG Terminal,,LOAD,America/Mazatlan,24,24,22.8,7,FALSE,7,Mexico,0,0,Location,Port,L_MX_Costa
Dahej,Dahej,,DISCHARGE,Asia/Calcutta,24,24,22.8,7,FALSE,7,India,0,0,Location,Port,L_IN_Dahej
Damietta,Damietta,,LOAD,Africa/Cairo,24,24,22.8,7,FALSE,7,Egypt,0,0,Location,Port,L_EG_Damie
Elba Island,Elba Island,,DISCHARGE,America/Chicago,24,24,22.8,7,FALSE,7,United States,0,0,Location,Port,L_US_Elba
Guangdong,Guangdong,,DISCHARGE,Asia/Shanghai,24,24,22.8,7,FALSE,7,China,0,0,Location,Port,L_CN_Guang
Hazira - LNG Terminal,Hazira - LNG Terminal,,DISCHARGE,Africa/Casablanca,24,24,22.8,7,FALSE,7,India,0,0,Location,Port,L_IN_Hazir
Incheon,Incheon,,DISCHARGE,Asia/Pyongyang,24,24,22.8,7,FALSE,7,South Korea,0,0,Location,Port,L_KR_Inche
Mina Al Ahmadi,Mina Al Ahmadi,,DISCHARGE,Asia/Kuwait,24,24,22.8,7,FALSE,7,Kuwait,0,0,Location,Port,L_KW_MinaA
