name,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,units
Cooldown,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,$/mmbtu
HH,4.619,4.400,3.808,3.957,3.984,3.728,4.282,3.189,2.866,2.894,2.590,2.517,2.815,2.626,2.654,2.666,2.704,2.831,3.020,3.126,3.123,3.084,2.948,2.959,2.992,3.035,3.048,3.044,3.073,3.149,3.310,$/mmbtu
HH_PIF,4.810,4.410,3.810,3.990,4.040,4.040,4.300,3.190,3.190,2.870,2.610,2.530,2.820,2.626,2.626,2.666,2.704,2.704,3.020,3.126,3.123,3.084,2.948,2.948,2.992,3.035,3.048,3.044,3.044,3.149,3.310,$/mmbtu
SOC_NGI,4.730,4.690,4.140,4.230,4.010,4.010,4.520,3.270,3.270,2.790,2.490,2.410,2.730,2.619,2.619,2.676,2.674,2.674,3.060,3.141,3.133,3.089,2.873,2.873,2.917,3.025,3.048,3.039,3.039,3.199,3.415,$/mmbtu
TCO_PIF,4.720,4.330,3.760,3.940,3.960,3.960,4.210,3.100,3.100,2.730,2.480,2.420,2.740,2.497,2.497,2.505,2.544,2.544,2.865,2.969,2.971,2.922,2.613,2.613,2.690,2.686,2.698,2.663,2.663,2.874,3.025,$/mmbtu
TXEM3_PIF,4.020,3.200,2.570,2.160,2.200,2.200,4.640,4.470,4.470,5.140,1.560,1.490,1.530,1.505,1.505,1.445,1.524,1.524,3.386,7.105,6.072,2.770,2.156,2.156,1.952,2.263,2.058,1.708,1.708,2.785,3.794,$/mmbtu
ALGQ_PIF,4.600,4.190,2.950,2.630,3.350,3.350,13.880,10.120,10.120,10.400,3.300,2.330,2.260,2.396,2.396,2.201,2.674,2.674,10.024,12.850,12.762,7.607,3.533,3.533,3.327,3.010,2.853,2.379,2.379,4.374,7.279,$/mmbtu
TZ6NY_PIF,4.500,3.360,2.690,2.250,2.310,2.310,7.230,6.260,6.260,6.240,2.420,2.380,2.520,1.966,1.966,1.771,1.848,1.848,5.820,10.565,9.633,3.679,2.324,2.324,2.155,2.443,2.377,2.057,2.057,3.356,5.670,$/mmbtu
IPEB_PreviousSettles,110.190,113.020,106.020,104.280,97.110,83.780,80.380,61.060,48.690,54.660,54.670,58.430,66.810,62.030,62.690,63.280,63.790,64.270,64.720,65.110,65.440,65.730,66.040,66.340,66.630,66.900,67.170,67.420,67.660,67.890,68.110,$/bbl
IPEB,110.190,113.020,106.020,104.280,97.110,83.780,80.380,61.060,48.690,54.660,54.670,58.430,66.810,61.580,62.490,63.130,63.640,64.120,64.570,64.960,65.290,65.580,65.890,66.190,66.480,66.750,67.020,67.270,67.510,67.740,67.960,$/bbl
FLB,111.922,108.243,103.399,98.626,88.108,79.608,63.273,49.787,58.906,56.961,61.279,65.614,62.525,62.824,63.421,63.902,64.365,64.793,65.125,65.480,65.904,66.203,66.493,66.762,67.031,67.281,67.520,67.750,67.971,68.201,68.454,$/bbl
FLBm_1,109.178,111.922,108.243,103.399,98.626,88.108,79.608,63.273,49.787,58.906,56.961,61.279,65.614,62.525,62.824,63.421,63.902,64.365,64.793,65.125,65.480,65.904,66.203,66.493,66.762,67.031,67.281,67.520,67.750,67.971,68.201,$/bbl
