vessels,routeOption,ladenCost,ballastCost,ballastRoundTripCost
VesselGroup:ST-150k,SUEZ,430323,373472,
VesselGroup:Gaslog,SUEZ,439733,381531,
VesselGroup:Qflex-DRL,SUEZ,556856,481838,
VesselGroup:Golar 145k,SUEZ,421484,365902,
VesselGroup:Golar Artic,SUEZ,415891,361112,
VesselGroup:Hispania Spirit,SUEZ,419479,364185,
VesselGroup:NLNG 137k,SUEZ,500697,433744,
VesselGroup:Amali,SUEZ,509965,441681,
VesselGroup:NLNG 121k,SUEZ,376369,327263,
VesselGroup:Golar 160k,SUEZ,436139,377989,
VesselGroup:Shell 138k,SUEZ,475757,412384,
VesselGroup:NLNG 148.3k,SUEZ,430108,373288,
VesselGroup:DFDE - 150k,SUEZ,439733,381531,
VesselGroup:Abadi,SUEZ,509965,441681,
VesselGroup:Qmax-DRL,SUEZ,671119,579562,
VesselGroup:Asia 160K,SUEZ,436139,377989,
VesselGroup:Shell 173k,SUEZ,477875,414198,
VesselGroup:NLNG 126k,SUEZ,481260,417097,
VesselGroup:NLNG 149k,SUEZ,435194,377644,
VesselGroup:Trinity 155k,SUEZ,430323,373472,
VesselGroup:Sonangol,SUEZ,461576,400239,
VesselGroup:NLNG 132k,SUEZ,396806,344766,
VesselGroup:SEIC 147k,SUEZ,544816,471530,
VesselGroup:NLNG 145k,SUEZ,412870,358524,
VesselGroup:NLNG 143k,SUEZ,456608,395984,
VesselGroup:SCF 173K,SUEZ,515639,446117,
VesselGroup:SEIC 150k,SUEZ,430058,373245,
VesselGroup:NLNG 141k,SUEZ,505405,437776,
VesselGroup:Golar 140k,SUEZ,415891,361112,
