name,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,units
HispaniaSp,66638.000,66638.000,66638.000,66638.000,66638.000,66638.000,66746.000,66638.000,66638.000,66638.000,66638.000,66638.000,66638.000,66638.000,66638.000,66638.000,66638.000,66638.000,66638.000,66969.000,66969.000,66969.000,66969.000,66969.000,66969.000,66969.000,66969.000,66969.000,66969.000,66969.000,67296.000,$/day
BilbaoK,83436.000,82587.000,82264.000,80908.000,78388.000,76999.000,75899.000,74925.000,70611.000,68960.000,65849.000,65495.000,67744.000,68131.000,67984.000,67984.000,67984.000,67984.000,67984.000,68311.000,68311.000,68311.000,68311.000,68311.000,68311.000,68311.000,68311.000,68311.000,68311.000,68311.000,68634.000,$/day
MadridSp,83137.000,82291.000,81969.000,80618.000,78108.000,76723.000,75627.000,74656.000,70358.000,68713.000,65614.000,65260.000,67502.000,67887.000,67741.000,67741.000,67741.000,67741.000,67741.000,68065.000,68065.000,68065.000,68065.000,68065.000,68065.000,68065.000,68065.000,68065.000,68065.000,68065.000,68386.000,$/day
SestaoK,67532.000,67532.000,67532.000,67532.000,67532.000,67532.000,67621.000,67532.000,67532.000,67532.000,67532.000,67532.000,67532.000,67532.000,67532.000,67532.000,67532.000,67532.000,67532.000,67805.000,67805.000,67805.000,67805.000,67805.000,67805.000,67805.000,67805.000,67805.000,67805.000,67805.000,68074.000,$/day
BarcelonaK,74233.000,74233.000,74233.000,74233.000,74233.000,74233.000,74326.000,74233.000,74233.000,74233.000,74233.000,74233.000,74233.000,74233.000,74233.000,74233.000,74233.000,74233.000,74233.000,74518.000,74518.000,74518.000,74518.000,74518.000,74518.000,74518.000,74518.000,74518.000,74518.000,74518.000,74799.000,$/day
SevillaK,74233.000,74233.000,74233.000,74233.000,74233.000,74233.000,74326.000,74233.000,74233.000,74233.000,74233.000,74233.000,74233.000,74233.000,74233.000,74233.000,74233.000,74233.000,74233.000,74518.000,74518.000,74518.000,74518.000,74518.000,74518.000,74518.000,74518.000,74518.000,74518.000,74518.000,74799.000,$/day
CastilloDS,72629.000,72629.000,72629.000,72629.000,72629.000,72629.000,72724.000,72629.000,72629.000,72629.000,72629.000,72629.000,72629.000,72629.000,72629.000,72629.000,72629.000,72629.000,72629.000,72920.000,72920.000,72920.000,72920.000,72920.000,72920.000,72920.000,72920.000,72920.000,72920.000,72920.000,73208.000,$/day
ValenciaK,74233.000,74233.000,74233.000,74233.000,74233.000,74233.000,74326.000,74233.000,74233.000,74233.000,74233.000,74233.000,74233.000,74233.000,74233.000,74233.000,74233.000,74233.000,74233.000,74518.000,74518.000,74518.000,74518.000,74518.000,74518.000,74518.000,74518.000,74518.000,74518.000,74518.000,74799.000,$/day
Platts_APFRT,65000.000,61909.000,60190.000,62000.000,65048.000,66000.000,66000.000,64095.000,50111.000,42773.000,38190.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,$/day
Platts_ABFRT,64524.000,60500.000,64286.000,65000.000,68913.000,79444.000,73905.000,62200.000,49842.000,42000.000,37571.000,35000.000,34591.000,32000.000,32000.000,32000.000,32000.000,32000.000,32000.000,32000.000,32000.000,32000.000,32000.000,32000.000,32000.000,32000.000,32000.000,32000.000,32000.000,32000.000,32000.000,$/day
Platts_AvgAPAB,64762.000,61205.000,62238.000,63500.000,66980.000,72722.000,69952.000,63148.000,49977.000,42386.000,37881.000,35000.000,34795.000,33500.000,33500.000,33500.000,33500.000,33500.000,33500.000,33500.000,33500.000,33500.000,33500.000,33500.000,33500.000,33500.000,33500.000,33500.000,33500.000,33500.000,33500.000,$/day
Gaslog_Seattle,,66000.000,65650.000,65650.000,65650.000,68000.000,71000.000,74500.000,69000.000,65650.000,69717.000,68122.000,67830.000,68556.000,68169.000,68185.000,68304.000,68219.000,68236.000,68253.000,68236.000,68242.000,68244.000,68240.000,68242.000,68242.000,68241.000,68242.000,68242.000,68242.000,68242.000,$/day
Gaslog_Solaris,,66000.000,65650.000,65650.000,65650.000,68000.000,71000.000,74500.000,69000.000,65650.000,69717.000,68122.000,67830.000,68556.000,68169.000,68185.000,68304.000,68219.000,68236.000,68253.000,68236.000,68242.000,68244.000,68240.000,68242.000,68242.000,68241.000,68242.000,68242.000,68242.000,68242.000,$/day
SCF_Melampus,,,,,,,,77550.000,77550.000,77550.000,77550.000,77550.000,77550.000,77550.000,77550.000,77550.000,77550.000,77550.000,77550.000,77550.000,77550.000,77550.000,77550.000,77550.000,77550.000,77550.000,77550.000,77550.000,77550.000,77550.000,77550.000,$/day
138k_OutCharter_15days,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,$/day
138k_OutCharter_30days,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,$/day
138k_OutCharter_60days,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,$/day
138k_OutCharter_90days,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,$/day
154k_OutCharter_15days,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,$/day
154k_OutCharter_30days,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,$/day
