name,location.name,location.otherNames,shortName,capabilities,location.timeZone,loadDuration,dischargeDuration,berths,cvValue,defaultStartTime,allowCooldown,defaultWindowSize,minCvValue,maxCvValue,location.country,location.lat,location.lon,location.kind,kind,location.mmxId
Abu Dhabi,Abu Dhabi,Das Island,DA,LOAD,Asia/Riyadh,24,0,1,23.732,7,false,24,,,United Arab Emirates,25.158,52.886,Location,Port,L_AE_AbuDh
Aliaga,Aliaga,Aliaga,ALI,DISCHARGE,Europe/London,0,24,1,0.000,7,false,24,,,Turkey,38.832,26.950,Location,Port,L_TR_Aliag
Altamira,Altamira,Altamira,ALT,DISCHARGE,America/Mexico_City,0,24,1,0.000,7,false,24,,,Mexico,22.487,-97.876,Location,Port,L_MX_Altam
Andres,Andres,Caucedo Terminal,AND,DISCHARGE,America/Santo_Domingo,0,24,1,0.000,7,false,24,,,Dominican Republic,18.428,-69.627,Location,Port,L_DO_AESAn
Arun,Arun,Arun Terminal,,LOAD,Asia/Jakarta,24,0,1,22.800,7,false,24,,,Indonesia,5.250,97.066,Location,Port,L_ID_Arun
Arzew,Arzew,Arzew,,LOAD,Africa/Algiers,24,0,1,23.583,7,false,24,,,Algeria,35.849,-0.293,Location,Port,L_DZ_Arzew
Bahia Blanca,Bahia Blanca,Bahia Blanca,BBA,DISCHARGE,America/Buenos_Aires,0,24,1,0.000,7,false,24,,,Argentina,-38.797,-62.263,Location,Port,L_AR_Bahia
Balhaf,Balhaf,Balhaf,,LOAD,Europe/Budapest,24,0,1,23.091,7,false,24,,,Yemen,13.975,48.183,Location,Port,L_YE_BalHa
Barcelona,Barcelona,Barcelona,BAR,"LOAD,DISCHARGE",Europe/Madrid,24,24,1,22.800,7,false,24,,,Spain,41.346,2.165,Location,Port,L_ES_Barce
Barrow Island,Barrow Island,Barrow Island,GO,LOAD,Australia/Perth,24,0,1,22.800,7,false,24,,,Australia,-20.813,115.580,Location,Port,L_AU_Barro
Bilbao,Bilbao,Bilbao,BIL,DISCHARGE,Europe/Madrid,0,24,1,0.000,7,false,24,,,Spain,43.346,-3.032,Location,Port,L_ES_Bilba
Bintulu,Bintulu,Bintulu Terminal,BI,LOAD,Asia/Karachi,24,0,1,23.468,7,false,24,,,Malaysia,3.345,113.000,Location,Port,L_MY_Bintu
Bonny,Bonny,Bonny Terminal,NL,LOAD,Africa/Lagos,24,0,1,23.429,0,false,24,,,Nigeria,4.183,7.233,Location,Port,L_NG_Bonny
Bontang,Bontang,Bontang,,LOAD,Asia/Makassar,24,0,1,22.800,7,false,24,,,Indonesia,0.139,117.518,Location,Port,L_ID_Bonta
Cai Mep,Cai Mep,Cai Mep,CAI,DISCHARGE,Asia/Ho_Chi_Minh,0,24,1,0.000,7,false,24,,,Vietnam,0.000,0.000,Location,Port,L_VN_CaiMe
Cameron,Cameron,Cameron,,LOAD,America/Chicago,24,0,1,22.800,7,false,24,,,United States,0.000,0.000,Location,Port,L_US_Camer
Canaport,Canaport,Canaport,CPT,DISCHARGE,America/Halifax,0,24,1,0.000,7,false,24,,,Canada,45.205,-65.981,Location,Port,L_CA_Canap
Cartagena,Cartagena,Cartagena,CAR,"LOAD,DISCHARGE",Europe/Istanbul,24,24,1,22.800,7,false,24,,,Spain,37.594,-0.977,Location,Port,L_ES_Carta
Chita,Chita,Chita,CHI,DISCHARGE,Asia/Tokyo,0,24,1,0.000,7,false,24,,,Japan,35.009,136.834,Location,Port,L_JP_Chita
Costa Azul,Costa Azul,Costa Azul,COS,DISCHARGE,America/Mexico_City,0,24,1,0.000,7,false,24,,,Mexico,31.980,-116.848,Location,Port,L_MX_Costa
Cove Point,Cove Point,Cove Point&#44; Md,COV,DISCHARGE,America/New_York,0,24,1,0.000,7,false,24,,,United States,38.392,-76.347,Location,Port,L_US_CoveP
Dabhol,Dabhol,Dabhol Port,DAB,DISCHARGE,Asia/Calcutta,0,24,1,0.000,7,false,24,,,India,17.528,73.140,Location,Port,L_IN_Dabho
Dahej,Dahej,Dahej,DAH,DISCHARGE,Asia/Calcutta,0,24,1,0.000,7,false,24,,,India,21.691,72.509,Location,Port,L_IN_Dahej
Dalian,Dalian,Dalian,DAL,DISCHARGE,Asia/Chongqing,0,24,1,0.000,7,false,24,,,China,38.933,121.616,Location,Port,L_CN_Dalia
Damietta,Damietta,Damietta,,LOAD,Africa/Cairo,24,0,1,22.551,7,false,24,,,Egypt,31.465,31.757,Location,Port,L_EG_Damie
Dampier,Dampier,Dampier,,LOAD,Australia/Perth,24,0,1,23.937,7,false,24,,,Australia,-20.649,116.673,Location,Port,L_AU_Dampi
Dapeng,Dapeng,Dapeng LNG,DAP,DISCHARGE,Asia/Chongqing,0,24,1,0.000,7,false,24,,,China,22.610,114.385,Location,Port,L_CN_Guang
Darwin,Darwin,Darwin,,LOAD,Australia/Darwin,24,0,1,23.856,7,false,24,,,Australia,-12.473,130.844,Location,Port,L_AU_Darwi
Elba,Elba,Elba Island Terminal,,"LOAD,DISCHARGE",America/New_York,24,24,1,22.800,7,false,24,,,United States,32.088,-80.990,Location,Port,L_US_Elba
Escobar,Escobar,Escobar,ESC,DISCHARGE,America/Cordoba,0,24,1,0.000,7,false,24,,,Argentina,-34.239,-58.760,Location,Port,L_AR_Escob
Everett,Everett,Everett Terminal&#44; Ma,EVE,DISCHARGE,America/New_York,0,24,1,0.000,7,false,24,,,United States,42.386,-71.058,Location,Port,L_US_Evere
Fos Sur Mer,Fos Sur Mer,Fos Sur Mer,FOS,"DISCHARGE,LOAD",Europe/Paris,24,24,1,23.000,7,false,24,,,France,43.404,4.858,Location,Port,L_FR_FosSu
Freeport,Freeport,Freeport&#44; Tx,,"LOAD,DISCHARGE",America/New_York,24,24,1,22.800,7,false,24,,,United States,28.942,-95.317,Location,Port,L_US_Freep
Fujian,Fujian,Xiuyu,FUJ,DISCHARGE,Asia/Shanghai,0,24,1,0.000,7,false,24,,,China,25.214,118.974,Location,Port,L_CN_Fujia
Futtsu,Futtsu,Futtsu,FUT,DISCHARGE,Asia/Tokyo,0,24,1,0.000,7,false,24,,,Japan,43.210,141.306,Location,Port,L_JP_Futts
Gladstone,Gladstone,Gladstone,GL,LOAD,Australia/Brisbane,24,0,1,22.800,7,false,24,,,Australia,-23.835,151.272,Location,Port,L_AU_Glads
Golden Pass,Golden Pass,Golden Pass,,LOAD,America/Chicago,24,0,1,22.800,7,false,24,,,United States,0.000,0.000,Location,Port,L_US_Golde
Guanabara,Guanabara,Guanabara Bay,GUA,DISCHARGE,America/Sao_Paulo,0,120,1,0.000,7,false,24,,,Brazil,-22.783,-43.132,Location,Port,L_BR_Guana
Hadera,Hadera,Hadera,HAD,DISCHARGE,Asia/Tel_Aviv,0,24,1,0.000,7,false,24,,,Israel,0.000,0.000,Location,Port,L_IL_Hader
Hainan,Hainan,Hainan Strait,HAI,DISCHARGE,Asia/Chongqing,0,24,1,0.000,7,false,24,,,China,20.298,111.010,Location,Port,L_SP_Haina
Hammerfest,Hammerfest,Hammerfest,,LOAD,Europe/Warsaw,24,0,1,23.063,7,false,24,,,Norway,70.665,23.669,Location,Port,L_NO_Hamme
Hatsukaichi,Hatsukaichi,Hatsukaichi,HAT,DISCHARGE,Asia/Tokyo,0,24,1,0.000,7,false,24,,,Japan,43.210,141.306,Location,Port,L_JP_Hatsu
Hazira,Hazira,Hazira LNG,HAZ,DISCHARGE,Africa/Casablanca,0,24,1,0.000,7,false,24,,,India,21.094,72.618,Location,Port,L_IN_Hazir
Himeji,Himeji,Himeji,HIM,DISCHARGE,Asia/Tokyo,0,24,1,0.000,7,false,24,,,Japan,34.768,134.687,Location,Port,L_JP_Himej
H-Ohgishima,H-Ohgishima,H-Ohgishima,OHG,DISCHARGE,Asia/Tokyo,0,24,1,0.000,7,false,24,,,Japan,43.210,141.306,Location,Port,L_JP_Higas
Huelva,Huelva,Huelva,HUE,"LOAD,DISCHARGE",Europe/Madrid,24,24,1,22.800,7,false,24,,,Spain,37.208,-6.942,Location,Port,L_ES_Huelv
Idku,Idku,Idku,,LOAD,Asia/Kuwait,24,0,1,22.845,7,false,24,,,Egypt,31.317,30.272,Location,Port,L_EG_Idku
Inchon,Inchon,Inchon,INC,DISCHARGE,Asia/Seoul,0,24,1,0.000,7,false,24,,,South Korea,37.468,126.615,Location,Port,L_KR_Inche
Isle of Grain,Isle of Grain,Isle of Grain,IOG,DISCHARGE,Europe/London,0,24,1,0.000,7,false,24,,,United Kingdom,51.433,0.706,Location,Port,L_GB_Isleo
Jakarta,Jakarta,Jakarta,JAK,DISCHARGE,Asia/Jakarta,0,24,1,0.000,7,false,24,,,Indonesia,-6.100,106.883,Location,Port,L_ID_Jakar
Jebel Ali,Jebel Ali,Jebel Ali,JEB,DISCHARGE,Asia/Dubai,0,96,1,0.000,7,false,24,,,United Arab Emirates,24.995,55.045,Location,Port,L_AE_Jebel
Jiangsu,Jiangsu,"Rudong LNG,Rudong",JIA,DISCHARGE,Asia/Shanghai,0,24,1,0.000,7,false,24,,,China,32.545,121.464,Location,Port,L_CN_Jiang
Joetsu,Joetsu,Joetsu,JOE,DISCHARGE,Asia/Kuching,0,24,1,0.000,7,false,24,,,Japan,43.210,141.306,Location,Port,L_JP_Joets
Kagoshima,Kagoshima,Kagoshima,KAG,DISCHARGE,Asia/Tokyo,0,24,1,0.000,7,false,24,,,Japan,31.574,130.565,Location,Port,L_JP_Kagos
Kawagoe,Kawagoe,Kawagoe,KAW,DISCHARGE,Asia/Tokyo,0,24,1,0.000,7,false,24,,,Japan,43.210,141.306,Location,Port,L_JP_Kawag
Kenai,Kenai,Kenai&#44;  Ak,,LOAD,America/Anchorage,24,0,1,22.800,7,false,24,,,United States,60.551,-151.241,Location,Port,L_US_Kenai
Klaipeda,Klaipeda,Klaipeda,KLA,DISCHARGE,Europe/Vilnius,0,24,1,0.000,7,false,24,,,Lithuania,0.000,0.000,Location,Port,L_LT_Klaip
Kwangyang,Kwangyang,Kwangyang,GWY,"DISCHARGE,LOAD",Asia/Pyongyang,24,24,1,23.400,7,false,24,,,South Korea,34.900,127.733,Location,Port,L_KR_Kwang
La Coruna,La Coruna,La Coruna,REG,DISCHARGE,Europe/Madrid,0,24,1,0.000,7,false,24,,,Spain,43.361,-8.387,Location,Port,L_ES_ElFer
Lake Charles,Lake Charles,Lake Charles&#44; La,LAK,DISCHARGE,America/Chicago,0,24,1,0.000,7,false,24,,,United States,30.227,-93.232,Location,Port,L_US_LakeC
Limassol,Limassol,Limassol,LIM,DISCHARGE,Africa/Cairo,0,24,1,0.000,7,false,24,,,Cyprus,34.653,33.031,Location,Port,L_CY_Limas
Livorno,Livorno,Livorno,LIV,DISCHARGE,Europe/Rome,0,24,1,0.000,7,false,24,,,Italy,43.550,10.299,Location,Port,L_IT_Livor
Malacca,Malacca,Malacca,MAL,DISCHARGE,Asia/Kuala_Lumpur,0,24,1,0.000,7,false,24,,,Malaysia,2.193,102.247,Location,Port,L_MY_Malac
Malta,Malta,Malta,MAT,DISCHARGE,Europe/Malta,0,24,1,0.000,7,false,24,,,Malta,0.000,0.000,Location,Port,L_MT_Malta
Manzanillo,Manzanillo,Manzanillo,MAZ,DISCHARGE,America/Mexico_City,0,24,1,0.000,7,false,24,,,Mexico,19.062,-104.314,Location,Port,L_MX_Manza
Map Ta Phut,Map Ta Phut,Map Ta Phut,MAP,DISCHARGE,Europe/Brussels,0,24,1,0.000,7,false,24,,,Thailand,12.647,101.148,Location,Port,L_TH_MapTa
Marmara,Marmara,Ereglisi Terminal,MAR,DISCHARGE,Europe/Rome,0,24,1,0.000,7,false,24,,,Turkey,37.959,23.403,Location,Port,L_TR_Marma
Marsa Brega,Marsa Brega,Marsa El Brega,,LOAD,Europe/Budapest,24,0,1,22.800,7,false,24,,,Libya,31.317,30.272,Location,Port,L_LY_Marsa
Mejillones,Mejillones,Mejillones,MEJ,DISCHARGE,America/Santiago,0,24,1,0.000,7,false,24,,,Chile,-23.082,-70.416,Location,Port,L_CL_Mejil
Milford Haven,Milford Haven,Milford Haven,MIL,DISCHARGE,Europe/Nicosia,0,24,1,0.000,7,false,24,,,United Kingdom,51.716,-5.035,Location,Port,L_GB_South
Mina Al Ahmadi,Mina Al Ahmadi,Mina Al-Ahmadi,MAA,DISCHARGE,Asia/Muscat,0,24,1,0.000,7,false,24,,,Kuwait,29.067,48.174,Location,Port,L_KW_MinaA
Mizushima,Mizushima,Mizushima,MIZ,DISCHARGE,Asia/Tokyo,0,24,1,0.000,7,false,24,,,Japan,43.210,141.306,Location,Port,L_JP_Mizus
Montoir,Montoir,Montoir De Bretagne,MON,DISCHARGE,Europe/Athens,0,24,1,0.000,7,false,24,,,France,47.299,-2.143,Location,Port,L_FR_Monto
Negishi,Negishi,Negishi,NEG,DISCHARGE,Asia/Tokyo,0,24,1,0.000,7,false,24,,,Japan,43.210,141.306,Location,Port,L_JP_Negis
