name,vessels,kind
ST-150k,ST150k,
Gaslog,"G Solaris,G Seattle,Gaslog",
Qflex-DRL,"QLFEX,Qflex-DRL",
Golar 145k,"Golar Maria,Golar Grand,Golar 145k,Golar Artic",
Golar 160k,"Golar Celsius,Golar 160k",
Hispania Spirit,"Hispania S,Hispania Spirit",
NLNG 137k,"LNG Bayelsa,LNG Sokoto,LNG Rivers,NLNG 137k",
Amali,Amali,
NLNG 121k,"LNG Lagos,NLNG 121k,LNG Port Harcourt",
Shell 138k,"Gemmata,Madrid S,Bilbao K,Gallina,Galea,IBER,Sestao K,Shell 138k",
NLNG 148.3k,"LNG Kano,NLNG 148.3k,LNG Lokoja,LNG Imo,LNG Ondo",
DFDE - 150k,DFDE150k,
Abadi,Abadi,
NLNG 126k,"LNG Edo,LNG Abuja,NLNG 126k",
Asia 160K,"Asia Excellence,Asia 160K",
Shell 173k,"Castillo,Barcelona K,RIBE,Sevilla K,Valencia K,Shell 173k",
Qmax-DRL,"QMAX,Qmax-DRL",
NLNG 149k,"LNG Borno,LNG Ogun,NLNG 149k",
Trinity 155k,"Trinity Ships,TGL,TARW,Trinity 155k",
Sonangol,Sonangol,
NLNG 132k,"LNG Finima,LNG Bonny,NLNG 132k",
SEIC 147k,"Energy Advance,Grand Mereya,Grand Aniva,Grand Elena,SEIC,SEIC 147k",
NLNG 145k,"LNG River Orashi,LNG Benue,LNG Oyo,LNG Enugu,NLNG 145k",
NLNG 143k,"NLNG 142k,NLNG 143k",
SCF 173K,"SCF Mitre,SCF Melampus,SCF 173K",
SEIC 150k,"Grace Barleria,SEIC 150k",
NLNG 141k,"LNG Cross River,LNG River Niger,LNG Adamawa,LNG Akwa Ibom,NLNG 141k",
Golar 140k,"Golar Viking,Golar 140k",
