enabled,name,charterInRate,spotCharterCount,overrideInaccessibleRoutes,inaccessibleRoutes,nominal,minDuration,maxDuration,vessel,kind,charterOutRate,minCharterOutDuration,maxCharterOutDuration,availablePorts,vessels
false,CI_1,TC_TFDE,0,false,,true,,,M_3,CharterInMarket,,,,,
false,CI_2,TC_DFDE,0,false,,true,,,TFDE_3,CharterInMarket,,,,,
false,CI_3,TC_DFDE,0,false,,true,,,TFDE_4,CharterInMarket,,,,,
false,CI_4,TC_DFDE,0,false,,true,,,TFDE_5,CharterInMarket,,,,,
false,CI_5,TC_DFDE,1,false,,true,,,TFDE_6,CharterInMarket,,,,,
false,CI_6,TC_DFDE,1,false,,true,,,TFDE_7,CharterInMarket,,,,,
false,CI_7,TC_DFDE,1,false,,true,,,Steam_1,CharterInMarket,,,,,
false,CI_8,TC_DFDE,0,false,,true,,,DFDE_2,CharterInMarket,,,,,
false,CI_9,TC_DFDE,0,false,,true,,,Steam_2,CharterInMarket,,,,,
false,CI_10,21750,1,false,,true,,,Steam_2,CharterInMarket,,,,,
false,CI_11,35000,1,false,,true,,,DFDE_2,CharterInMarket,,,,,
true,CO_1,,,,,,,,,CharterOutMarket,TC_DFDE,20,,,VesselGroup:TFDE_1
true,CO_2,,,,,,,,,CharterOutMarket,TC_TFDE,20,,,VesselGroup:M_1
true,CO_3,,,,,,,,,CharterOutMarket,TC_TFDE,20,,,VesselGroup:M_2
true,CO_4,,,,,,,,,CharterOutMarket,TC_TFDE,20,,,VesselGroup:DFDE_1
true,CO_5,,,,,,,,,CharterOutMarket,TC_DFDE,20,,,VesselGroup:Steam_1
true,CO_6,,,,,,,,,CharterOutMarket,TC_DFDE,20,,,VesselGroup:Steam_2
