from,Abu Dhabi,Acajutla,Ain Sokhna,Aliaga LNG,Altamira,Ambon,Aqaba,Arun,Arzew,Ashdod,Bahia Blanca,Bal Haf LNG,Barcelona,Batangas,Bethioua,Bilbao,Bintulu,Bonny,Bontang,Brass,Brownsville,Cai Mep Gas Terminal,Cameron,Cao Fei Dian 11,Cartagena,Caucedo,Chita - LNG,Chittagong,Chiwan,Coega,"Colon, Panama",Coos Bay,Corpus Christi,Costa Azul,Cove Point,Dabhol,Dahej,Dalian,Dampier,Dangjin,Dar-es-Salaam,Darwin,Dili,Donghae,Dragon,Drovyanoy,Dunkirk,Elba Island,Ennore,Escobar,Everett,Falconara,Ferrol,Fort de France,Fos - Cavaou,Freeport,Fujairah,Fujian,Futtsu,Gangavaram,Gioia Tauro,Gladstone,Golden Pass,Guangdong,Guayama,Guayanilla,Gwangyang,Hachinohe,Haikou,Haldia,Halifax,Hammerfest,Hatsukaichi,Hazira,Higashi-Ogishima,Himeji,Hitachi,Ho Chi Min City,Holyhead,Huelva,Idku,Inchon,Ishikariwan-Shinko,Isle of Grain,Jebel Ali,Jiangsu,Johore,Jorf Lasfar,Jurong Island,Kagoshima,Kakinada,Karachi,Karwar,Khor al Zubair,Kitakyushu,Kitimat,Klaipeda,Koper,Kribi,Krk Island,Kushiro,Lahad Datu,Lake Charles,Le Havre,Lianyungang,Limassol,Limerick,Livorno,Lumut,Luwuk,Manzanillo,Map Ta Phut,Marmara Ereglisi,Marsa el Brega,Mejillones,Mina Al-Ahmadi,Mizushima,Mombasa,Montevideo,Montoir,Mossel Bay,Mozambique Port,Mundra,Nagasaki,Nanao,Naoetsu,Negishi,New Plymouth,Niigata-Higashi,Northeast Gateway,Offshore Haldia No.1 (TA),Ohgishima,Oita - LNG Berth,Okinawa,Ortona,Paldiski South Harbour,Pampa Melchorita,Panjang,Pars,Pascagoula,Pecem,Pipavav,Plaquemines,Pluto LNG Jetty,Point Fortin,Pointe-a-Pitre,Port Esquivel,Port Moresby,Porto Empedocle,Prigorodnoye,Prince Rupert,Punta Europa,Pyeong Taek,Qalhat LNG Terminal,Qingdao,Qinhuangdao,Qinzhou,Quintero,Ras Laffan,Revithousa,Rio Grande,Rosarito,Rosignano LNG,Rostock,Rotterdam,Sabine Pass,Sagunto,Saint John,Sakai LNG,Sakaide,Salvador,Santa Cruz de Tenerife,Sao Francisco do Sul,Savannah,Semarang,Senboku,Sendai,Shanghai,Shenzhen,Shimizu,Shinminato,Sines,Skikda,Sodegaura,Soma,South Hook,Soyo,Sungai Udang,Swinoujscie,Taichung,Talcahuano,Tangguh,Taranto,Teesport,Tianjin Lingang,Tobata,Tombak,Tong Yong,Trieste,Tripoli,Vladivostok,Vyborg,Wakayama,Wilhelmshaven,Yanai,Yangshan,Yokkaichi,Yung-an,Yuzhny,Zeebrugge,Zhangjiagang,Bahrain,Guanabara
Abu Dhabi,,13277.000,2939.000,3676.000,9883.000,5220.000,2898.000,3086.000,4746.000,3192.000,9859.000,1457.000,4657.000,4906.000,4746.000,5920.000,3440.000,8360.000,4889.000,8295.000,9846.000,4184.000,9762.000,6352.000,4755.000,8540.000,6347.000,3289.000,5000.000,5768.000,9309.000,10678.000,9866.000,11363.000,8415.000,1274.000,1200.000,6232.000,4746.000,6120.000,5954.000,5318.000,5013.000,6245.000,6140.000,8761.000,6324.000,8671.000,2602.000,9849.000,8015.000,4262.000,5689.000,8255.000,4652.000,9793.000,294.000,5589.000,6468.000,2854.000,4337.000,7375.000,9758.000,5015.000,8365.000,8403.000,6040.000,6823.000,4916.000,3186.000,7678.000,7630.000,6194.000,1233.000,6470.000,6286.000,6560.000,4216.000,6236.000,5102.000,3213.000,6164.000,6830.000,6387.000,81.000,5894.000,3598.000,5222.000,3558.000,5963.000,2824.000,803.000,1418.000,516.000,6101.000,10405.000,7333.000,4384.000,8496.000,4329.000,6929.000,4862.000,9768.000,6231.000,6130.000,3259.000,6215.000,4514.000,4294.000,5182.000,12365.000,4317.000,3830.000,3854.000,11705.000,462.000,6240.000,6104.000,9708.000,6009.000,5949.000,5402.000,992.000,5975.000,6513.000,6517.000,6461.000,8009.000,6565.000,7993.000,3114.000,6465.000,6125.000,5652.000,4189.000,7535.000,12246.000,3770.000,233.000,9542.000,8002.000,1126.000,9570.000,4743.000,8427.000,8200.000,8915.000,6328.000,4075.000,7025.000,10220.000,8428.000,6156.000,484.000,6117.000,6352.000,4937.000,11116.000,214.000,3664.000,9611.000,11350.000,4513.000,7111.000,6425.000,9755.000,4724.000,7945.000,6263.000,6236.000,8499.000,5703.000,9515.000,8676.000,4112.000,6264.000,6670.000,5822.000,4998.000,6391.000,6524.000,5282.000,4397.000,6474.000,6653.000,6137.000,7967.000,3443.000,7141.000,5524.000,10887.000,5550.000,3999.000,6618.000,6398.000,6099.000,245.000,6085.000,4384.000,3320.000,6587.000,7694.000,6234.000,6659.000,6152.000,5750.000,6348.000,5183.000,4224.000,6364.000,5889.000,,
Acajutla,13277.000,,12862.000,12454.000,12053.000,8851.000,13124.000,10216.000,11063.000,12820.000,5527.000,13649.000,11321.000,8634.000,11063.000,11391.000,9853.000,9519.000,9033.000,9473.000,12021.000,9287.000,11964.000,7993.000,11048.000,10387.000,7045.000,11255.000,8561.000,8443.000,10910.000,2880.000,12051.000,2017.000,11403.000,12096.000,12395.000,7873.000,9613.000,7700.000,10301.000,8795.000,8893.000,7231.000,11611.000,14141.000,11782.000,11337.000,11314.000,5985.000,11364.000,12422.000,11160.000,9873.000,11498.000,11991.000,13060.000,8132.000,6920.000,11295.000,11830.000,,11960.000,8524.000,10207.000,10235.000,7414.000,6635.000,8766.000,11312.000,11244.000,13010.000,7357.000,12309.000,6922.000,7224.000,6787.000,9319.000,11708.000,10807.000,12625.000,7744.000,6702.000,11845.000,13238.000,7752.000,9716.000,10563.000,9734.000,7429.000,11318.000,12632.000,11911.000,13653.000,7318.000,3524.000,12791.000,12544.000,9532.000,12489.000,6467.000,,11970.000,11689.000,7836.000,12718.000,11600.000,11678.000,9151.000,8815.000,932.000,9847.000,12587.000,12202.000,2484.000,13599.000,7268.000,10451.000,5843.000,11480.000,8296.000,9742.000,12512.000,7432.000,6965.000,6932.000,6914.000,,6875.000,11353.000,11236.000,6917.000,7324.000,7658.000,12349.000,12993.000,1812.000,10001.000,13365.000,11834.000,8154.000,12330.000,11815.000,9610.000,9851.000,9936.000,10765.000,7558.000,11727.000,6497.000,3560.000,9554.000,7736.000,12855.000,7817.000,7993.000,8973.000,2972.000,13370.000,12319.000,6008.000,2041.000,11679.000,12569.000,11883.000,11957.000,11205.000,11389.000,7202.000,7258.000,7371.000,10133.000,6425.000,11343.000,9696.000,7202.000,6722.000,7796.000,8560.000,6964.000,6975.000,10796.000,11412.000,6927.000,6731.000,11608.000,9176.000,9857.000,12599.000,8076.000,,8668.000,12089.000,12076.000,8039.000,7316.000,13376.000,7364.000,12544.000,12842.000,7006.000,13152.000,7173.000,12117.000,7351.000,7789.000,7046.000,8262.000,12980.000,11822.000,7863.000,13450.000,
Ain Sokhna,2939.000,12862.000,,748.000,6955.000,7067.000,296.000,4932.000,1819.000,264.000,7644.000,1565.000,1729.000,6752.000,1818.000,2992.000,5286.000,5433.000,6735.000,5367.000,6918.000,6030.000,6834.000,8199.000,1827.000,5612.000,8194.000,5135.000,6846.000,7597.000,6381.000,12524.000,6938.000,13209.000,5488.000,3121.000,3068.000,8079.000,6593.000,7966.000,7800.000,7165.000,6859.000,8091.000,3212.000,5833.000,3396.000,5743.000,4448.000,7377.000,5087.000,1334.000,2761.000,5327.000,1724.000,6865.000,2692.000,7436.000,8314.000,4701.000,1410.000,9221.000,6830.000,6861.000,5438.000,5476.000,7886.000,8669.000,6762.000,5033.000,4750.000,4702.000,8040.000,3100.000,8316.000,8132.000,8406.000,6063.000,3308.000,2175.000,285.000,8010.000,8676.000,3459.000,2884.000,7740.000,5444.000,2294.000,5405.000,7809.000,4670.000,2800.000,3264.000,3298.000,7947.000,12251.000,4405.000,1456.000,5568.000,1401.000,8775.000,6708.000,6840.000,3303.000,7977.000,331.000,3287.000,1586.000,6140.000,7029.000,13366.000,6164.000,903.000,926.000,10638.000,3245.000,8087.000,7951.000,7236.000,3081.000,7450.000,7248.000,2897.000,7821.000,8360.000,8364.000,8308.000,9855.000,8412.000,5066.000,4961.000,8311.000,7972.000,7498.000,1261.000,4607.000,11179.000,5617.000,3010.000,6614.000,5074.000,2994.000,6642.000,6590.000,5499.000,5272.000,5987.000,8175.000,1147.000,8871.000,12066.000,5501.000,8002.000,2477.000,7964.000,8198.000,6783.000,10050.000,3015.000,736.000,6960.000,13197.000,1585.000,4183.000,3497.000,6827.000,1796.000,5017.000,8110.000,8082.000,5571.000,2775.000,6587.000,5749.000,5958.000,8110.000,8517.000,7668.000,6845.000,8238.000,8370.000,2354.000,1470.000,8321.000,8499.000,3209.000,5856.000,5289.000,4213.000,7370.000,9820.000,7396.000,1071.000,3690.000,8244.000,7945.000,3022.000,7931.000,1456.000,392.000,8433.000,4766.000,8081.000,3731.000,7998.000,7596.000,8195.000,7030.000,1296.000,3437.000,7736.000,3096.000,6253.000
Aliaga LNG,3676.000,12454.000,748.000,,6558.000,7792.000,1021.000,5658.000,1422.000,691.000,7247.000,2291.000,1328.000,7478.000,1421.000,2596.000,6011.000,5036.000,7461.000,4970.000,6521.000,6756.000,6438.000,8924.000,1430.000,5216.000,8919.000,5861.000,7571.000,7200.000,5984.000,13250.000,6541.000,13933.000,5091.000,3847.000,3793.000,8804.000,7318.000,8692.000,8526.000,7890.000,7585.000,8817.000,2816.000,5436.000,2999.000,5346.000,5174.000,6980.000,4690.000,907.000,2364.000,4930.000,1324.000,6468.000,3417.000,8161.000,9040.000,5426.000,1013.000,9947.000,6433.000,7586.000,5041.000,5079.000,8612.000,9395.000,7488.000,5758.000,4353.000,4305.000,8766.000,3826.000,9041.000,8858.000,9132.000,6788.000,2912.000,1778.000,566.000,8736.000,9402.000,3062.000,3610.000,8466.000,6170.000,1897.000,6130.000,8534.000,5396.000,3525.000,3990.000,4024.000,8673.000,12977.000,4009.000,1029.000,5171.000,974.000,9501.000,7434.000,6443.000,2906.000,8702.000,562.000,2890.000,1189.000,6866.000,7754.000,12969.000,6889.000,243.000,674.000,10241.000,3970.000,8812.000,8676.000,6839.000,2685.000,7054.000,7973.000,3623.000,8546.000,9085.000,9089.000,9033.000,10580.000,9137.000,4669.000,5686.000,9037.000,8697.000,8224.000,834.000,4210.000,10782.000,6342.000,3736.000,6218.000,4677.000,3719.000,6245.000,7315.000,5102.000,4875.000,5590.000,8900.000,750.000,9597.000,12791.000,5104.000,8728.000,3203.000,8689.000,8924.000,7509.000,9653.000,3741.000,212.000,6563.000,13922.000,1188.000,3786.000,3101.000,6430.000,1400.000,4620.000,8835.000,8808.000,5174.000,2378.000,6190.000,5352.000,6683.000,8836.000,9242.000,8394.000,7570.000,8963.000,9096.000,1957.000,1073.000,9046.000,9225.000,2812.000,5459.000,6015.000,3817.000,8095.000,9423.000,8122.000,644.000,3293.000,8970.000,8671.000,3747.000,8657.000,1029.000,686.000,9159.000,4369.000,8806.000,3334.000,8724.000,8321.000,8920.000,7755.000,636.000,3040.000,8461.000,3821.000,
Altamira,9883.000,12053.000,6955.000,6558.000,,13884.000,7231.000,11867.000,5171.000,6927.000,6837.000,8501.000,5428.000,13688.000,5170.000,4919.000,12221.000,6346.000,13671.000,6281.000,291.000,12966.000,546.000,15134.000,5155.000,1740.000,15129.000,12071.000,13781.000,8009.000,1647.000,14386.000,389.000,13537.000,1923.000,10057.000,10003.000,15014.000,12760.000,14902.000,9975.000,13723.000,13573.000,15027.000,4774.000,6698.000,5080.000,1475.000,11384.000,6570.000,2291.000,6529.000,4694.000,2237.000,5606.000,449.000,9627.000,14371.000,15250.000,11636.000,5937.000,13670.000,516.000,13796.000,1925.000,1891.000,14822.000,15605.000,13698.000,11968.000,2475.000,5569.000,14976.000,10036.000,15251.000,15068.000,15342.000,12998.000,4830.000,4850.000,6732.000,14946.000,15612.000,5142.000,9820.000,14676.000,12380.000,4784.000,12340.000,14744.000,11606.000,9735.000,10200.000,10234.000,14883.000,15030.000,5809.000,6651.000,6481.000,6596.000,15711.000,13644.000,551.000,4986.000,14912.000,6825.000,4622.000,5785.000,13075.000,13897.000,12572.000,13099.000,6694.000,6309.000,9845.000,10180.000,15022.000,10126.000,6429.000,4918.000,7863.000,9417.000,9833.000,14756.000,15295.000,15299.000,15243.000,12239.000,15347.000,2280.000,11896.000,15246.000,14907.000,14434.000,6456.000,6010.000,10386.000,12552.000,9946.000,743.000,3934.000,9929.000,656.000,12757.000,2334.000,2208.000,1344.000,14477.000,5835.000,15807.000,15066.000,6414.000,14937.000,9413.000,14899.000,15134.000,13719.000,9257.000,9951.000,6426.000,6152.000,13560.000,5786.000,5587.000,5181.000,513.000,5313.000,2444.000,15045.000,15018.000,4757.000,4533.000,5780.000,1481.000,12893.000,15046.000,15452.000,14604.000,13780.000,15173.000,15306.000,4721.000,5519.000,15256.000,15435.000,4771.000,6770.000,12225.000,5617.000,14305.000,9027.000,14264.000,6196.000,5199.000,15180.000,14880.000,9957.000,14867.000,6651.000,6950.000,15369.000,6170.000,15016.000,5404.000,14934.000,14531.000,15130.000,13965.000,7088.000,5120.000,14671.000,10031.000,
Ambon,5220.000,8851.000,7067.000,7792.000,13884.000,,7025.000,2253.000,8873.000,7319.000,9209.000,5584.000,8783.000,1474.000,8872.000,10047.000,1890.000,8729.000,1033.000,8715.000,13853.000,2040.000,13796.000,2959.000,8882.000,12219.000,2645.000,3292.000,2106.000,5939.000,12741.000,6653.000,13882.000,7130.000,12542.000,4031.000,4330.000,2839.000,1250.000,2697.000,6286.000,671.000,346.000,2754.000,10267.000,12888.000,10451.000,12797.000,3351.000,9667.000,12142.000,8389.000,9816.000,11704.000,8779.000,13823.000,4995.000,2225.000,2716.000,3332.000,8464.000,2365.000,13792.000,2086.000,12039.000,12067.000,2565.000,3063.000,2168.000,3349.000,11805.000,11757.000,2568.000,4244.000,2718.000,2619.000,2800.000,2072.000,10363.000,9229.000,7340.000,2741.000,3336.000,10514.000,5174.000,2501.000,1753.000,9349.000,1771.000,2371.000,3355.000,4567.000,3846.000,5588.000,2566.000,6499.000,11460.000,8511.000,8648.000,8456.000,3211.000,1202.000,13801.000,10358.000,2736.000,7386.000,10341.000,8640.000,1620.000,454.000,7967.000,2374.000,7957.000,7981.000,9157.000,5534.000,2614.000,6437.000,9525.000,10136.000,6104.000,5734.000,4447.000,2450.000,3019.000,3023.000,2709.000,3553.000,3071.000,12120.000,3272.000,2713.000,2499.000,2063.000,8316.000,11662.000,9196.000,1492.000,5300.000,13665.000,9985.000,4265.000,13646.000,1247.000,11683.000,11768.000,12597.000,1318.000,8202.000,3531.000,6333.000,8706.000,2733.000,4790.000,2723.000,2958.000,2375.000,8722.000,5305.000,7791.000,9690.000,7116.000,8640.000,11238.000,10552.000,13788.000,8851.000,12072.000,2596.000,2610.000,9629.000,9830.000,9738.000,12803.000,1187.000,2597.000,2911.000,2436.000,2105.000,2664.000,3030.000,9408.000,8524.000,2722.000,2893.000,10264.000,8110.000,1894.000,11268.000,2160.000,8531.000,679.000,8126.000,10745.000,3004.000,2563.000,5312.000,2595.000,8511.000,7446.000,3096.000,11821.000,2567.000,10786.000,2526.000,2367.000,2646.000,1948.000,8351.000,10491.000,2503.000,5385.000,
Aqaba,2898.000,13124.000,296.000,1021.000,7231.000,7025.000,,4880.000,2100.000,545.000,7926.000,1513.000,2010.000,6700.000,2099.000,3274.000,5233.000,5714.000,6683.000,5649.000,7200.000,5978.000,7116.000,8146.000,2108.000,5894.000,8141.000,5083.000,6793.000,7562.000,6663.000,12472.000,7219.000,13157.000,5769.000,3069.000,3015.000,8026.000,6540.000,7914.000,7748.000,7112.000,6807.000,8039.000,3494.000,6114.000,3678.000,6024.000,4396.000,7658.000,5368.000,1616.000,3042.000,5609.000,2005.000,7147.000,2639.000,7383.000,8262.000,4648.000,1691.000,9169.000,7111.000,6808.000,5719.000,5757.000,7834.000,8617.000,6710.000,4980.000,5032.000,4984.000,7988.000,3048.000,8263.000,8080.000,8354.000,6010.000,3590.000,2456.000,567.000,7958.000,8624.000,3740.000,2832.000,7688.000,5392.000,2576.000,5352.000,7756.000,4618.000,2747.000,3212.000,3246.000,7895.000,12199.000,4687.000,1737.000,5849.000,1682.000,8723.000,6656.000,7121.000,3585.000,7924.000,612.000,3568.000,1867.000,6088.000,6976.000,13647.000,6111.000,1184.000,1207.000,10920.000,3192.000,8034.000,7898.000,7517.000,3363.000,7732.000,7195.000,2845.000,7768.000,8307.000,8311.000,8255.000,9802.000,8359.000,5347.000,4908.000,8259.000,7919.000,7446.000,1542.000,4888.000,11461.000,5564.000,2958.000,6896.000,5356.000,2941.000,6923.000,6537.000,5780.000,5553.000,6268.000,8122.000,1429.000,8819.000,12013.000,5782.000,7950.000,2425.000,7911.000,8146.000,6731.000,10331.000,2963.000,1017.000,7241.000,13144.000,1867.000,4465.000,3779.000,7108.000,2078.000,5299.000,8057.000,8030.000,5852.000,3056.000,6869.000,6030.000,5905.000,8058.000,8464.000,7616.000,6792.000,8185.000,8318.000,2635.000,1751.000,8268.000,8447.000,3491.000,6137.000,5237.000,4495.000,7317.000,10102.000,7344.000,1352.000,3972.000,8192.000,7893.000,2969.000,7879.000,1738.000,673.000,8381.000,5048.000,8028.000,4012.000,7946.000,7543.000,8142.000,6977.000,1577.000,3718.000,7683.000,3043.000,6517.000
Arun,3086.000,10216.000,4932.000,5658.000,11867.000,2253.000,4880.000,,6740.000,5185.000,8853.000,3451.000,6650.000,1838.000,6739.000,7914.000,372.000,7579.000,1914.000,7565.000,11840.000,1116.000,11756.000,3285.000,6748.000,10534.000,3280.000,1099.000,1932.000,4762.000,11303.000,7610.000,11859.000,8295.000,10409.000,1898.000,2197.000,3164.000,2239.000,3052.000,4948.000,2483.000,2050.000,3177.000,8134.000,10754.000,8318.000,10664.000,1116.000,8843.000,10008.000,6256.000,7682.000,10249.000,6645.000,11787.000,2862.000,2521.000,3400.000,1106.000,6331.000,4443.000,11751.000,1947.000,10359.000,10397.000,2972.000,3755.000,1848.000,1156.000,9672.000,9624.000,3126.000,2111.000,3402.000,3218.000,3492.000,1148.000,8230.000,7096.000,5207.000,3096.000,3762.000,8380.000,3041.000,2826.000,530.000,7216.000,490.000,2895.000,1128.000,2434.000,1713.000,3455.000,3033.000,7337.000,9327.000,6377.000,7498.000,6322.000,3861.000,1794.000,11761.000,8225.000,3062.000,5252.000,8208.000,6507.000,1226.000,2208.000,9297.000,1249.000,5824.000,5847.000,10620.000,3401.000,3172.000,5098.000,8701.000,8003.000,4943.000,4395.000,2314.000,2907.000,3445.000,3449.000,3393.000,5632.000,3498.000,9987.000,1080.000,3397.000,3057.000,2584.000,6182.000,9528.000,11161.000,1246.000,3167.000,11536.000,8835.000,2132.000,11563.000,2236.000,10420.000,10193.000,10908.000,3397.000,6068.000,3957.000,7152.000,7556.000,3088.000,2657.000,3049.000,3284.000,1869.000,10032.000,3172.000,5657.000,8605.000,8282.000,6507.000,9105.000,8419.000,11748.000,6718.000,9939.000,3195.000,3168.000,8479.000,7696.000,8588.000,10670.000,1221.000,3196.000,3602.000,2754.000,1930.000,3324.000,3456.000,7275.000,6391.000,3406.000,3585.000,8131.000,6960.000,375.000,9135.000,2456.000,9802.000,2575.000,5992.000,8612.000,3330.000,3031.000,3178.000,3017.000,6378.000,5313.000,3519.000,9688.000,3166.000,8652.000,3084.000,2682.000,3280.000,2115.000,6217.000,8358.000,2821.000,3252.000,
Arzew,4746.000,11063.000,1819.000,1422.000,5171.000,8873.000,2100.000,6740.000,,1792.000,5861.000,3366.000,352.000,8552.000,5.000,1209.000,7086.000,3649.000,8535.000,3584.000,5135.000,7831.000,5051.000,9999.000,114.000,3829.000,9994.000,6935.000,8646.000,5814.000,4598.000,13396.000,5154.000,12546.000,3704.000,4921.000,4868.000,9879.000,8393.000,9766.000,7780.000,8965.000,8660.000,9892.000,1429.000,4050.000,1613.000,3959.000,6249.000,5594.000,3304.000,1394.000,978.000,3544.000,524.000,5082.000,4492.000,9236.000,10115.000,6501.000,803.000,11022.000,5047.000,8661.000,3654.000,3692.000,9687.000,10469.000,8562.000,6833.000,2967.000,2919.000,9841.000,4900.000,10116.000,9932.000,10207.000,7863.000,1525.000,391.000,1597.000,9811.000,10476.000,1676.000,4684.000,9541.000,7244.000,511.000,7205.000,9609.000,6470.000,4600.000,5064.000,5098.000,9747.000,14040.000,2622.000,1516.000,3784.000,1461.000,10576.000,8508.000,5056.000,1520.000,9777.000,1690.000,1503.000,676.000,7940.000,8829.000,11582.000,7964.000,1559.000,1174.000,8855.000,5045.000,9887.000,7930.000,5452.000,1298.000,5667.000,7221.000,4697.000,9621.000,10160.000,10164.000,10108.000,11249.000,10212.000,3282.000,6761.000,10111.000,9772.000,9299.000,1321.000,2824.000,9396.000,7417.000,4811.000,4831.000,3291.000,4794.000,4859.000,8390.000,3715.000,3488.000,4203.000,9975.000,699.000,10671.000,13866.000,3717.000,9802.000,4277.000,9764.000,9998.000,8584.000,8267.000,4816.000,1291.000,5176.000,12570.000,677.000,2400.000,1714.000,5043.000,241.000,3234.000,9910.000,9882.000,3787.000,991.000,4804.000,3965.000,7758.000,9910.000,10317.000,9469.000,8645.000,10038.000,10170.000,570.000,384.000,10121.000,10299.000,1426.000,4072.000,7090.000,2430.000,9170.000,8037.000,9196.000,1061.000,1907.000,10044.000,9745.000,4822.000,9731.000,1516.000,1814.000,10234.000,2983.000,9881.000,1948.000,9798.000,9396.000,9995.000,8830.000,1952.000,1653.000,9536.000,4896.000,
Ashdod,3192.000,12820.000,264.000,691.000,6927.000,7319.000,545.000,5185.000,1792.000,,7614.000,1806.000,1695.000,6992.000,1787.000,2962.000,5526.000,5402.000,6975.000,5337.000,6888.000,6270.000,6804.000,8439.000,1797.000,5582.000,8434.000,5375.000,7086.000,7567.000,6351.000,12764.000,6908.000,13450.000,5457.000,3361.000,3308.000,8319.000,6833.000,8206.000,8040.000,7405.000,7100.000,8331.000,3182.000,5803.000,3366.000,5712.000,4689.000,7347.000,5057.000,1293.000,2731.000,5297.000,1690.000,6835.000,2932.000,7676.000,8554.000,4941.000,1378.000,9461.000,6800.000,7101.000,5407.000,5445.000,8127.000,8909.000,7002.000,5273.000,4720.000,4672.000,8281.000,3340.000,8556.000,8372.000,8647.000,6303.000,3278.000,2144.000,268.000,8250.000,8916.000,3429.000,3124.000,7980.000,5684.000,2264.000,5645.000,8049.000,4910.000,3040.000,3504.000,3538.000,8187.000,12492.000,4375.000,1415.000,5537.000,1360.000,9015.000,6948.000,6810.000,3273.000,8217.000,203.000,3257.000,1554.000,6380.000,7269.000,13336.000,6404.000,845.000,904.000,10608.000,3485.000,8327.000,8191.000,7206.000,3051.000,7420.000,7488.000,3137.000,8061.000,8600.000,8604.000,8548.000,10095.000,8652.000,5035.000,5201.000,8551.000,8212.000,7739.000,1220.000,4577.000,11149.000,5857.000,3251.000,6584.000,5044.000,3234.000,6612.000,6830.000,5468.000,5241.000,5957.000,8415.000,1117.000,9111.000,12306.000,5470.000,8242.000,2717.000,8204.000,8438.000,7024.000,10020.000,3255.000,679.000,6930.000,13437.000,1554.000,4153.000,3467.000,6797.000,1766.000,4987.000,8350.000,8322.000,5541.000,2745.000,6557.000,5718.000,6198.000,8350.000,8757.000,7909.000,7085.000,8478.000,8610.000,2324.000,1439.000,8561.000,8739.000,3179.000,5826.000,5530.000,4183.000,7610.000,9790.000,7636.000,1030.000,3660.000,8484.000,8185.000,3262.000,8171.000,1415.000,237.000,8674.000,4736.000,8321.000,3701.000,8238.000,7836.000,8435.000,7270.000,1239.000,3406.000,7976.000,3336.000,
