Dragon LNG,SEGAS,Dahej,Arun LNG,Bontang LNG,Tobata,Petrobras Guanabara LNG,Isle of Grain,Hazira - LNG Terminal,Fluxys,Tannguh,Everett Marine Terminal,Chita LNG,Aliaga,Karratha Gas Plant,Gulf Gateway Deepwater Port,Huelva LNG,Dapeng LNG,Hakodate LNG,Damietta,Barcelona LNG,Sonatrach LNG,Canaport LNG,Ras Laffan,Pascagoula,Petrobras Pecem LNG,Bethioua,Dominion Cove Point LNG,Montoir,Oman LNG,Kenai LNG,Bilbao LNG,Yemen LNG,Yung An,Malaysia LNG,Brunei LNG,South Hook LNG,Bonny Nigeria,Cartagena LNG,Freeport LNG,from,Darwin LNG,Guangdong,Pyeongtaek,Mina Al Ahmadi,Ogishima - Tokyo Gas LNG Berth,Punta Europa LNG,Sakai,Bintulu,Hammerfest LNG,Sakhalin-2,Lake Charles,EcoElectrica LNG,Elba Island,Incheon,ADGAS LNG,Southern LNG,Costa Azul LNG Terminal,Fujian LNG,Point Fortin,Idku LNG,Tong Yong,Sabine Pass LNG,Quintero Bay LNG,Trunkline LNG,Northeast Gateway Deepwater Port
3125,0,11281,11807,12210,10035,5936,3262,11281,3241,11903,4950,9819,0,12187,6442,2254,11256,9382,0,1531,1285,4732,11761,6323,4797,1663,5214,2907,11321,8137,2785,10615,10959,12135,12026,3125,5137,1646,6648,SEGAS,12508,11256,10072,11955,9683,5249,9881,12135,4502,9155,6600,5425,5593,10089,11672,5593,10078,10885,5307,72,10081,6624,9446,6600,4950
0,3125,10346,9774,9255,7080,4926,593,10346,594,8948,2729,6864,3125,10227,4414,871,8301,6427,3125,1839,1840,2382,10826,4295,3715,1485,3020,342,10386,5232,526,9680,8004,9180,9071,0,4202,1573,4620,Dragon LNG,9553,8301,7117,11020,6728,4314,6926,9180,1383,6200,4572,3648,3471,7134,10737,3471,7173,7930,3738,3057,7126,4596,8505,4572,2729
10346,11281,0,2056,3614,4620,7892,10483,0,10462,4352,11089,4864,11281,3633,11708,9480,3552,5275,11281,10020,9996,11062,1163,11608,8149,9666,11170,10128,731,8053,10005,1483,3855,2941,3006,10346,6777,9754,11873,Dahej,4164,3552,4853,1356,5085,6759,4806,2941,10421,5584,11825,10381,11277,4870,1076,11277,9910,3927,9756,11213,4707,11849,9488,11825,11089
9774,11807,2056,0,1659,2694,8418,9733,2056,9761,2401,9818,2938,11807,1806,11547,10006,1626,3349,11807,10546,10522,9450,3084,11428,8675,10192,10109,10062,2644,6127,10298,3057,1929,986,1052,9774,7303,10280,11753,Arun LNG,2278,1626,2927,3278,3159,7285,2880,986,8495,3658,11705,10907,10560,2944,2995,10560,7984,2001,10282,11739,2781,11729,9215,11705,9818
9255,12210,3614,1659,0,2181,9228,9214,3614,9242,1144,9299,2419,12210,1189,11028,9979,1333,2831,12210,10924,10925,8931,4642,10909,9650,10570,9590,9543,4202,5520,9779,4615,1441,754,640,9255,8278,10658,11234,Bontang LNG,1368,1333,2393,4836,2563,8260,2363,754,7976,3145,11186,10447,10041,2410,4553,10041,7201,1519,10859,12142,2247,11210,9037,11186,9299
7080,10035,4620,2694,2181,0,10878,7039,4620,7067,2210,7124,248,10035,3284,8853,7804,1247,655,10035,8749,8750,6756,5648,8734,9538,8395,7415,7368,5208,3433,7604,5621,950,2100,1991,7080,9990,8483,9059,Tobata,2760,1247,319,5842,657,9972,191,2100,5801,968,9011,8272,7866,336,5559,7866,5301,876,8684,9967,173,9035,9713,9011,7124
593,3262,10483,9733,9214,7039,5104,0,10483,150,8907,3017,6823,3262,10186,4741,1008,8260,6386,3262,1976,1977,2656,10963,4622,3923,1622,3308,356,10523,5191,604,9817,7963,9139,9030,593,4339,1710,4947,Isle of Grain,9512,8260,7076,11157,6687,4451,6885,9139,1268,6159,4899,3980,3759,7093,10874,3759,7132,7889,4076,3194,7085,4923,8642,4899,3017
4926,5936,7892,8418,9228,10878,0,5104,7892,5083,9499,4569,10662,5936,8120,4978,4115,10037,10225,5936,4675,4651,4672,8372,4876,1419,4321,4551,4750,7932,8980,4626,7226,10340,9212,9325,4926,3397,4409,5143,Petrobras Guanabara LNG,8970,10037,10915,8566,10526,3489,10724,9212,6241,9998,5095,3649,4547,10932,8283,4547,8144,10412,3026,5868,10924,5119,3819,5095,4569
594,3241,10462,9761,9242,7067,5083,150,10462,0,8935,3138,6851,3241,10214,4833,987,8288,6414,3241,1955,1956,2777,10942,4714,3902,1601,3429,335,10502,5219,583,9796,7991,9167,9058,594,4318,1689,5039,Fluxys,9540,8288,7104,11136,6715,4430,6913,9167,1296,6187,4991,4000,3880,7121,10853,3880,7160,7917,4063,3173,7113,5015,8621,4991,3138
10346,11281,0,2056,3614,4620,7892,10483,0,10462,4352,11089,4864,11281,3633,11708,9480,3552,5275,11281,10020,9996,11062,1163,11608,8149,9666,11170,10128,731,8053,10005,1483,3855,2941,3006,10346,6777,9754,11873,Hazira - LNG Terminal,4164,3552,4853,1356,5085,6759,4806,2941,10421,5584,11825,10381,11277,4870,1076,11277,9910,3927,9756,11213,4707,11849,9488,11825,11089
