uuid,name,otherNames,allowRewiring,loadSlot.uuid,loadSlot.name,loadSlot.otherNames,loadSlot.fixedPrice,loadSlot.windowStart,loadSlot.windowStartTime,loadSlot.windowSize,loadSlot.duration,loadSlot.minQuantity,loadSlot.maxQuantity,loadSlot.optional,loadSlot.priceExpression,loadSlot.cargoCV,loadSlot.arriveCold,loadSlot.DESPurchase,loadSlot.contract,loadSlot.port,loadSlot.kind,dischargeSlot.uuid,dischargeSlot.name,dischargeSlot.otherNames,dischargeSlot.fixedPrice,dischargeSlot.windowStart,dischargeSlot.windowStartTime,dischargeSlot.windowSize,dischargeSlot.duration,dischargeSlot.minQuantity,dischargeSlot.maxQuantity,dischargeSlot.optional,dischargeSlot.priceExpression,dischargeSlot.FOBSale,dischargeSlot.contract,dischargeSlot.port,dischargeSlot.kind,allowedVessels,kind
_7RSmUKjGEeG3pZJ5vTn7rA,cargo-1,,true,_7RSmUajGEeG3pZJ5vTn7rA,load-cargo-1,,,2011-01-02 00:00,,,,,200000,false,,,,false,HH Spot Purchase,Point Fortin,LoadSlot,_TrtaQOFQEeG3JK0-AQlDQw,discharge-3 Bonny,,,2011-01-25 00:00,,,,,,false,,false,NBP Sales,Isle of Grain,DischargeSlot,,Cargo
_7RT0d6jGEeG3pZJ5vTn7rA,cargo-41,,,_7RT0eKjGEeG3pZJ5vTn7rA,load-cargo-41,,,2011-04-01 00:00,,,,,200000,false,,,,false,JCC Spot Purchase,Idku LNG,LoadSlot,_7RT0eajGEeG3pZJ5vTn7rA,discharge-cargo-41,,,2011-05-01 19:00,,,,,200000,false,,false,HH Sales,Elba Island,DischargeSlot,,Cargo
_7RUbiKjGEeG3pZJ5vTn7rA,cargo-78,,,_7RUbiajGEeG3pZJ5vTn7rA,load-cargo-78,,,2011-03-23 02:00,,,,,200000,false,,,,false,JCC Spot Purchase,Damietta,LoadSlot,_7RVCkKjGEeG3pZJ5vTn7rA,discharge-cargo-78,,,2011-04-18 19:00,,,,,200000,false,,false,HH Sales,Elba Island,DischargeSlot,,Cargo
_7RVCkajGEeG3pZJ5vTn7rA,cargo-5,,,_7RVCkqjGEeG3pZJ5vTn7rA,load-cargo-5,,,2011-04-20 01:00,,,,,200000,false,,,,false,JCC Spot Purchase,Idku LNG,LoadSlot,_7RVCk6jGEeG3pZJ5vTn7rA,discharge-cargo-5,,,2011-05-06 19:00,,,,,200000,false,,false,HH Sales,Elba Island,DischargeSlot,,Cargo
_7RVCl6jGEeG3pZJ5vTn7rA,cargo-28,,,_7RVCmKjGEeG3pZJ5vTn7rA,load-cargo-28,,,2011-04-24 00:00,,,,,200000,false,,,,false,HH Spot Purchase,Point Fortin,LoadSlot,_7RVCmajGEeG3pZJ5vTn7rA,discharge-cargo-28,,,2011-05-26 00:00,,,,,200000,false,,false,JCC Sales,Fujian LNG,DischargeSlot,,Cargo
_7RVpo6jGEeG3pZJ5vTn7rA,cargo-16,,,_7RVppKjGEeG3pZJ5vTn7rA,load-cargo-16,,,2011-04-08 00:00,,,,,200000,false,,,,false,JCC Spot Purchase,Punta Europa LNG,LoadSlot,_7RVppajGEeG3pZJ5vTn7rA,discharge-cargo-16,,,2011-04-30 01:00,,,,,200000,false,,false,JCC Sales,Hazira - LNG Terminal,DischargeSlot,,Cargo
_7RW3x6jGEeG3pZJ5vTn7rA,cargo-24,,,_7RW3yKjGEeG3pZJ5vTn7rA,load-cargo-24,,,2010-12-24 00:00,,,,,200000,false,,,,false,HH Spot Purchase,Point Fortin,LoadSlot,_7RW3yajGEeG3pZJ5vTn7rA,discharge-cargo-24,,,2011-01-04 00:00,,,,,200000,false,,false,NBP Sales,Isle of Grain,DischargeSlot,,Cargo
_7RYF4ajGEeG3pZJ5vTn7rA,cargo-76,,,_7RYF4qjGEeG3pZJ5vTn7rA,load-cargo-76,,,2011-05-22 00:00,,,,,200000,false,,,,false,JCC Spot Purchase,Punta Europa LNG,LoadSlot,_7RYF46jGEeG3pZJ5vTn7rA,discharge-cargo-76,,,2011-06-25 09:00,,,,,200000,false,,false,JCC Sales,Ogishima - Tokyo Gas LNG Berth,DischargeSlot,,Cargo
_7RYF56jGEeG3pZJ5vTn7rA,cargo-20,,,_7RYF6KjGEeG3pZJ5vTn7rA,load-cargo-20,,,2011-06-03 02:00,,,,,200000,false,,,,false,JCC Spot Purchase,Damietta,LoadSlot,_7RYF6ajGEeG3pZJ5vTn7rA,discharge-cargo-20,,,2011-06-26 19:00,,,,,200000,false,,false,HH Sales,Pascagoula,DischargeSlot,,Cargo
_7RYs86jGEeG3pZJ5vTn7rA,cargo-21,,,_7RYs9KjGEeG3pZJ5vTn7rA,load-cargo-21,,,2010-12-21 00:00,,,,,200000,false,,,,false,JCC Spot Purchase,Punta Europa LNG,LoadSlot,_7RYs9ajGEeG3pZJ5vTn7rA,discharge-cargo-21,,,2011-01-19 09:00,,,,,200000,false,,false,JCC Sales,Pyeongtaek,DischargeSlot,,Cargo
