Dahej,Guangdong Dapeng,Isle of Grain,Cape Town,Altamira,Dubai,Gwangyang,Aliaga,Melkoya Is,Shimizu,Chita,Karachi,Nagasaki,Ras Laffan,Marsa el Brega,Haikou,Yanai,Fukuoko,Map Ta Phut,Taichung,Canaport,Skikda,Sabine Pass,Mizushima,Futtsu,Shtokman,Yung An,Jiangsu,Quintero,Gladstone,Senboku,South Hook,Quebec,Bontang,Kitimat,Kochi,Barcelona,Darwin,Pyeongtaek,Himeji,Mejillones,Mina Al-Ahmadi,Costa Azul,Qalhat,Bahia Blanca,El Ferrol,Port Moresby,Golden Pass,Lake Charles,Manzanillo,Andres,Osaka,Guanabara Bay,Gate,Krk Island,Sendai,Bahia,Elba Is,Panuelas,Rovigo,Dabhol,Kagoshima,Swinoujscie,Cove Point,Panigaglia,Freeport,Sines,Cartagena,Tongyeong,Tenerife,Kenai,Teeside,Iran,Oita,Tobata,Bioko Is,Blang Lacang,Fujian,Balhaf,Livorno,Higashi-Ogishima,Pecem,Port Dolphin,Everett,Damietta,Wilhelmshaven,Neptune,Port Arthur,Tangguh,Pascagoula,Escobar,Shanghai,Heibei,Montoir,North East Gateway,Pampa Melchorita,Dalian,Idku,Sakhalin II,Dampier,Negishi,Soyo,Bilbao,Shin-minato,Bonny Is,Hatsukaichi,Huelva,from,Lumut,Yokkaichi,Zeebrugge,Sakai,Bintulu,Niigata,Gibraltar,Incheon,Sagunto,Arzew,Hazira,Cameron,Fos Sur Mer,Marmara Ereglisi,Point Fortin,Revithoussa,Singapore,Das Is,Kawagoe,Pluto,Yokohama,Sodegaura,Dragon LNG
11225,13033,552,5932,4774,12035,14058,2813,1595,14408,14366,11453,13992,12189,2564,12937,14169,14096,12334,13555,2646,1775,4646,14260,14481,1851,13201,14232,8812,13175,14283,3,2591,12046,14588,10485,1690,12084,14173,14306,9403,12414,13095,11674,6375,537,13124,4649,4666,12130,3676,14285,4988,570,2848,14688,4297,3470,3563,2875,10929,13984,1298,3174,2049,4684,910,1416,14103,1507,15323,776,12319,14146,14116,4278,11096,13615,12458,2044,14486,3732,4319,2722,3061,803,2709,4655,12628,4435,6109,13842,14413,408,2709,10020,14252,2986,15040,11123,14480,4632,560,14541,4208,14211,1106,Dragon LNG,12293,14367,505,14282,12189,14583,1176,14175,1577,1429,11144,4637,1868,2947,3736,2679,11577,12163,14367,11120,14481,14490,
,4133,11488,5333,12863,1131,5158,12051,12690,5508,5466,495,5092,1285,11802,4037,5269,5196,3434,4655,11979,11013,12767,5360,5581,12787,4301,5332,10237,6481,5383,11223,12280,3998,9532,815,10928,4425,5273,5406,10828,1510,10476,786,9033,10762,5437,12770,12787,11476,11209,5385,8542,11506,12086,5788,8608,12138,11050,12113,333,5084,12234,12147,11287,12801,10401,10654,5203,9752,8898,11712,1415,5246,5216,7681,2196,4715,1575,11282,5586,8964,12558,12017,12300,11739,12004,12777,4660,12645,9021,4942,5513,11086,12004,11445,5352,12225,6140,3856,5580,7091,11000,5641,7708,5311,10412,Dahej,3411,5467,11442,5382,3307,5683,10414,5275,10815,10667,234,12758,11106,12185,10661,11917,2677,1260,5467,3853,5581,5590,11226
4122,,13289,7134,14664,4946,1260,13852,14491,1630,1587,4362,1194,5100,13603,313,1372,1298,1576,758,13780,12814,14568,1462,1703,14588,343,1434,10255,3973,1494,13024,14081,1582,5641,3338,12729,2578,1375,1514,10568,5325,6603,4585,10758,12563,3345,14571,14588,7610,13010,1496,10343,13307,13887,1910,10409,13939,12851,13914,3826,1187,14035,13948,13088,14602,12202,12455,1305,11553,5007,13513,5230,1348,1318,9482,1948,818,5369,13083,1709,10765,14359,13818,14100,13540,13805,14577,2123,14446,10822,1044,1615,12887,13805,10015,1454,14026,2243,2788,1702,8892,12801,1743,9509,1414,12213,Guangdong Dapeng,1186,1588,13243,1493,1231,1785,12215,1378,12616,12468,4041,14559,12907,13986,12462,13718,1460,5074,1589,2785,1703,1712,13027
11472,13281,,6180,5143,12283,14305,3061,1442,14656,14614,11700,14240,12437,2812,13185,14417,14344,12582,13803,3028,2023,5015,14507,14729,1420,13448,14480,9047,13422,14531,519,2986,12293,14823,10732,1938,12332,14420,14554,9638,12661,13330,11922,6632,774,13371,5018,5036,12365,4023,14533,5245,157,3095,14936,4553,3852,3905,3123,11177,14232,867,3557,2296,5053,1157,1663,14350,1755,15558,336,12567,14394,14364,4525,11343,13863,12706,2292,14734,3995,4689,3104,3309,373,3091,5025,12876,4805,6366,14090,14660,641,3091,10255,14500,3234,15288,11371,14727,4880,779,14789,4456,14459,1353,Isle of Grain,12540,14614,130,14530,12437,14831,1423,14423,1825,1677,11392,5006,2116,3195,4065,2927,11825,12411,14615,11368,14729,14738,522
5334,7143,6194,,7595,6145,8167,6757,7395,8518,8475,5562,8101,6298,6508,7047,8279,8206,6443,7665,6712,5719,7499,8369,8590,7493,7310,8341,5286,7284,8392,5929,6986,6155,11062,4594,5634,6194,8282,8415,5877,6523,9569,5784,3805,5468,7233,7503,7520,8604,5942,8395,3292,6212,6791,8798,3346,6879,5782,6819,5039,8094,6939,6935,5993,7534,5106,5360,8212,4458,11797,6418,6429,8256,8226,2377,5205,7725,6568,5988,8596,3696,7288,6731,7005,6444,6718,7509,6738,7378,3784,7951,8522,5792,6717,6494,8361,6930,9150,5233,8589,1787,5706,8651,2404,8321,5117,Cape Town,6402,8476,6147,8392,6299,8692,5119,8285,5521,5373,5254,7491,5812,6891,5394,6623,5686,6273,8477,5230,8591,8599,5932
12861,14670,5169,7595,,13672,15694,6554,5569,16045,16003,13089,15629,13825,6305,14574,15806,15733,13970,15192,2444,5516,512,15896,16117,6172,14837,15868,9254,13675,15919,4772,3293,13682,15030,12121,5431,13721,15809,15943,9845,14050,13537,13311,6836,4694,14477,515,558,12572,1727,15922,5449,5187,6589,16325,4757,1475,1895,6616,12566,15621,5619,1922,5790,449,4718,5157,15739,4522,15765,5199,13956,15783,15753,6415,12732,15252,14095,5786,16123,3933,915,2293,6803,5404,2280,521,14265,744,6570,15478,16049,4916,2279,10462,15888,6728,16677,12760,16116,6770,4923,16178,6345,15848,4847,Altamira,13929,16003,5123,15919,13826,16219,4917,15812,5319,5170,12781,528,5609,6688,2334,6420,13213,13800,16004,12757,16118,16127,4775
1129,4949,12293,6137,13668,,5974,12856,13494,6325,6282,729,5908,217,12607,4853,6086,6012,4250,5471,12784,11818,13572,6176,6397,13592,5117,6148,11039,7298,6199,12028,13085,4815,10349,1636,11733,5241,6089,6222,11630,457,11292,408,9838,11567,6254,13575,13592,12292,12014,6202,9346,12311,12891,6605,9413,12943,11854,12918,1200,5901,13039,12951,12092,13606,11205,11459,6019,10557,9714,12517,362,6062,6032,8486,3012,5531,1364,12087,6403,9768,13363,12822,13104,12544,12809,13581,5476,13450,9825,5758,6329,11891,12809,12247,6168,13029,6957,4672,6396,7895,11805,6457,8513,6128,11217,Dubai,4227,6283,12246,6199,4123,6499,11219,6092,11620,11472,1165,13563,11911,12990,11466,12722,3493,162,6284,4669,6398,6406,12031
5146,1260,14313,8158,15688,5970,,14877,15515,666,620,5386,175,6124,14627,1507,264,165,2605,767,14805,13838,15592,361,736,15612,997,508,9912,4063,437,14048,15106,2323,4472,4362,13753,3056,385,412,9677,6349,5479,5609,10757,13588,3523,15595,15613,6502,14035,437,11367,14331,14911,956,11433,14963,13875,14938,4850,332,15059,14972,14112,15626,13226,13479,124,12578,3838,14538,6255,265,185,10506,2972,809,6393,14108,742,11789,15383,14843,15125,14564,14830,15602,2550,15471,11216,452,689,13912,14829,8943,528,15050,1063,3530,735,9916,13826,587,10533,308,13237,Gwangyang,2000,621,14267,436,2147,625,13239,387,13641,13492,5065,15583,13931,15010,13487,14743,2484,6099,622,3527,737,745,14051
12054,13862,3057,6761,6557,12864,14887,,4291,15237,15195,12282,14821,13018,676,13766,14998,14925,13163,14384,4619,1071,6429,15089,15310,4356,14030,15061,9652,14004,15112,2792,4721,12875,15428,11314,1326,12913,15002,15135,10243,13243,13935,12503,7251,2331,13953,6432,6449,12970,5229,15114,5862,3075,975,15517,5176,5353,5076,1002,11759,14813,3803,5092,1217,6467,1934,1429,14932,2375,16163,3281,13148,14975,14945,5107,11925,14444,13287,1183,15316,4684,6103,4694,604,3308,4681,6439,13457,6218,6982,14671,15242,2655,4680,10860,15081,568,15869,11952,15309,5462,2569,15370,5037,15040,1777,Aliaga,13122,15196,3010,15111,13018,15412,1653,15004,1399,1423,11973,6420,1322,247,5103,214,12406,12993,15196,11949,15311,15319,2795
5497,1630,14664,8509,16039,6322,665,15228,15866,,134,5737,631,6475,14978,1877,445,546,2962,1177,15156,14189,15943,357,128,15963,1366,1088,9341,3841,289,14399,15457,2522,4092,4713,14104,3156,964,312,9242,6700,5042,5960,10420,13939,3325,15946,15964,6052,14386,292,11585,14682,15262,348,11784,15314,14226,15289,5201,529,15410,15323,14463,15977,13577,13830,631,12929,3458,14889,6606,422,483,10857,3323,1228,6744,14459,134,12140,15734,15194,15476,14915,15181,15953,2581,15822,10879,969,1269,14263,15180,8493,1108,15401,1008,3689,127,10267,14177,923,10884,447,13588,Shimizu,2326,135,14618,289,2473,822,13590,967,13992,13843,5416,15934,14282,15361,13838,15094,2835,6450,135,3686,129,138,14402
