Dahej,Guangdong Dapeng,Isle of Grain,Cape Town,Altamira,Dubai,Gwangyang,Aliaga,Melkoya Is,Shimizu,Chita,Karachi,Nagasaki,Ras Laffan,Marsa el Brega,Haikou,Yanai,Fukuoko,Map Ta Phut,Taichung,Canaport,Skikda,Sabine Pass,Mizushima,Futtsu,Shtokman,Yung An,Jiangsu,Quintero,Gladstone,Senboku,South Hook,Quebec,Bontang,Kitimat,Kochi,Barcelona,Darwin,Pyeongtaek,Himeji,Mejillones,Mina Al-Ahmadi,Costa Azul,Qalhat,Bahia Blanca,El Ferrol,Port Moresby,Golden Pass,Lake Charles,Manzanillo,Andres,Osaka,Guanabara Bay,Gate,Krk Island,Sendai,Bahia,Elba Is,Panuelas,Rovigo,Dabhol,Kagoshima,Swinoujscie,Cove Point,Panigaglia,Freeport,Sines,Cartagena,Tongyeong,Tenerife,Kenai,Teeside,Iran,Oita,Tobata,Bioko Is,Blang Lacang,Fujian,Balhaf,Livorno,Higashi-Ogishima,Pecem,Port Dolphin,Everett,Damietta,Wilhelmshaven,Neptune,Port Arthur,Tangguh,Pascagoula,Escobar,Shanghai,Heibei,Montoir,North East Gateway,Pampa Melchorita,Dalian,Idku,Sakhalin II,Dampier,Negishi,Soyo,Bilbao,Shin-minato,Bonny Is,Hatsukaichi,Huelva,from,Lumut,Yokkaichi,Zeebrugge,Sakai,Bintulu,Niigata,Gibraltar,Incheon,Sagunto,Arzew,Hazira,Cameron,Fos Sur Mer,Marmara Ereglisi,Point Fortin,Revithoussa,Singapore,Das Is,Kawagoe,Pluto,Yokohama,Sodegaura,Dragon LNG
6268,10069,552,5932,4774,6070,11093,2813,1595,11444,11402,5999,11028,6224,2564,9973,11205,11132,9370,10591,2646,1775,4646,11296,11517,1851,10237,11268,8812,12417,11319,3,2591,9934,14588,6755,1690,10361,11209,11342,9403,6449,13095,5687,6375,537,11374,4649,4666,12130,3676,11321,4988,570,2848,11724,4297,3470,3563,2875,6320,11020,1298,3174,2049,4684,910,1416,11139,1507,14834,776,6354,11182,11152,4278,8132,10651,4769,2044,11522,3732,4319,2722,3061,803,2709,4655,10596,4435,6109,10878,11448,408,2709,10020,11288,2986,12076,9792,11516,4632,560,11577,4208,11247,1106,Dragon LNG,9347,11403,505,11318,9243,11619,1176,11211,1577,1429,6304,4637,1868,2947,3736,2679,8613,6198,11403,9789,11517,11526,
,4133,6501,5333,10001,1131,5158,3795,7735,5508,5466,495,5092,1285,3972,4037,5269,5196,3434,4655,8063,4515,9873,5360,5581,7800,4301,5332,10237,6481,5383,6236,8165,3998,9532,815,4770,4425,5273,5406,10828,1510,10476,786,9033,5775,5437,9876,9893,11476,8672,5385,8542,6519,4445,5788,8608,8797,8519,4472,333,5084,7246,8536,4660,9911,5378,4873,5203,5819,8898,6725,1415,5246,5216,7681,2196,4715,1575,4627,5586,8128,9546,8138,3223,6752,8124,9882,4660,9662,9021,4942,5513,6099,8124,11445,5352,3331,6140,3856,5580,7091,6013,5641,7708,5311,5220,Dahej,3411,5467,6454,5382,3307,5683,5097,5275,4843,4867,234,9864,4765,3950,8547,3782,2677,1260,5467,3853,5581,5590,6239
4122,,10294,7134,13795,4946,1260,7589,11529,1630,1587,4362,1194,5100,7765,313,1372,1298,1576,758,11857,8308,13666,1462,1703,11593,343,1434,10255,3973,1494,10029,11959,1582,5641,3338,8563,2578,1375,1514,10568,5325,6603,4585,10758,9569,3345,13670,13687,7610,12466,1496,10343,10312,8239,1910,10409,12590,12313,8266,3826,1187,11040,12330,8454,13705,9171,8667,1305,9613,5007,10519,5230,1348,1318,9482,1948,818,5369,8421,1709,10765,13340,11931,7017,10545,11918,13676,2123,13456,10822,1044,1615,9893,11918,10015,1454,7125,2243,2788,1702,8892,9807,1743,9509,1414,9014,Guangdong Dapeng,1186,1588,10248,1493,1231,1785,8891,1378,8637,8660,4041,13658,8559,7744,12341,7576,1460,5074,1589,2785,1703,1712,10032
6516,10317,,6180,5143,6318,11341,3061,1442,11692,11650,6247,11276,6471,2812,10221,11453,11380,9617,10839,3028,2023,5015,11543,11764,1420,10484,11516,9047,12665,11566,519,2986,10182,14823,7003,1938,10609,11456,11590,9638,6696,13330,5935,6632,774,11621,5018,5036,12365,4023,11569,5245,157,3095,11972,4553,3852,3905,3123,6568,11268,867,3557,2296,5053,1157,1663,11386,1755,15082,336,6602,11430,11400,4525,8379,10899,5016,2292,11770,3995,4689,3104,3309,373,3091,5025,10843,4805,6366,11125,11696,641,3091,10255,11535,3234,12324,10039,11763,4880,779,11825,4456,11495,1353,Isle of Grain,9594,11650,130,11566,9491,11866,1423,11459,1825,1677,6552,5006,2116,3195,4065,2927,8861,6446,11651,10036,11765,11774,522
5334,7143,6194,,7595,6145,8167,6757,7395,8518,8475,5562,8101,6298,6508,7047,8279,8206,6443,7665,6712,5719,7499,8369,8590,7493,7310,8341,5286,7284,8392,5929,6986,6155,11062,4594,5634,6194,8282,8415,5877,6523,9569,5784,3805,5468,7233,7503,7520,8604,5942,8395,3292,6212,6791,8798,3346,6879,5782,6819,5039,8094,6939,6935,5993,7534,5106,5360,8212,4458,11797,6418,6429,8256,8226,2377,5205,7725,6568,5988,8596,3696,7288,6731,7005,6444,6718,7509,6738,7378,3784,7951,8522,5792,6717,6494,8361,6930,9150,5233,8589,1787,5706,8651,2404,8321,5117,Cape Town,6402,8476,6147,8392,6299,8692,5119,8285,5521,5373,5254,7491,5812,6891,5394,6623,5686,6273,8477,5230,8591,8599,5932
10010,13810,5169,7595,,9812,14835,6554,5569,15186,15143,9741,14769,9965,6305,13714,14947,14873,13111,14333,2444,5516,512,15037,15258,6172,13978,15009,9254,13675,15060,4772,3293,13676,15030,10497,5431,13721,14950,15083,9845,10190,13537,9429,6836,4694,14477,515,558,12572,1727,15063,5449,5187,6589,15466,4757,1475,1895,6616,10062,14762,5619,1922,5790,449,4718,5157,14880,4522,15765,5199,10096,14923,14893,6415,11873,14392,8510,5786,15264,3933,915,2293,6803,5404,2280,521,14265,744,6570,14619,15190,4916,2279,10462,15029,6728,15818,12760,15257,6770,4923,15318,6345,14989,4847,Altamira,13088,15144,5123,15060,12985,15360,4917,14953,5319,5170,10045,528,5609,6688,2334,6420,12354,9940,15145,12757,15259,15267,4775
1129,4949,6290,6137,9790,,5974,3584,7524,6325,6282,729,5908,217,3761,4853,6086,6012,4250,5471,7852,4304,9661,6176,6397,7589,5117,6148,11039,7298,6199,6024,7954,4815,10349,1636,4559,5241,6089,6222,11630,457,11292,408,9838,5564,6254,9665,9682,12292,8461,6202,9094,6308,4234,6605,8408,8585,8308,4261,1200,5901,7035,8325,4449,9700,5166,4662,6019,5608,9714,6514,362,6062,6032,8339,3012,5531,1364,4416,6403,7916,9335,7926,3012,6540,7913,9671,5476,9451,9825,5758,6329,5888,7913,12247,6168,3120,6957,4672,6396,7895,5802,6457,8270,6128,5009,Dubai,4227,6283,6243,6199,4123,6499,4886,6092,4632,4655,1165,9653,4554,3739,8336,3571,3493,162,6284,4669,6398,6406,6028
5146,1260,11319,8158,14819,5970,,8613,12553,666,620,5386,175,6124,8790,1507,264,165,2605,767,12881,9333,14691,361,736,12618,997,508,9912,4063,437,11054,12983,2323,4472,4362,9588,3056,385,412,9677,6349,5479,5609,10757,10593,3523,14694,14711,6502,13490,437,11367,11337,9263,956,11433,13614,13337,9290,4850,332,12064,13354,9478,14729,10195,9691,124,10637,3838,11543,6255,265,185,10506,2972,809,6393,9445,742,11789,14364,12955,8041,11569,12942,14700,2550,14480,11216,452,689,10917,12942,8943,528,8149,1063,3530,735,9916,10831,587,10533,308,10038,Gwangyang,2000,621,11272,436,2147,625,9915,387,9661,9685,5065,14682,9583,8768,13365,8600,2484,6099,622,3527,737,745,11057
3807,7608,3057,6761,6557,3609,8633,,4291,8983,8941,3538,8567,3763,676,7512,8744,8671,6909,8130,4619,1071,6429,8835,9056,4356,7776,8807,9652,9956,8858,2792,4721,7473,13007,4294,1326,7900,8748,8881,10243,3988,13935,3226,7251,2331,8913,6432,6449,12970,5229,8860,5862,3075,975,9263,5176,5353,5076,1002,3859,8559,3803,5092,1217,6467,1934,1429,8678,2375,12373,3281,3893,8721,8691,5107,5671,8190,2308,1183,9061,4684,6103,4694,604,3308,4681,6439,8135,6218,6982,8417,8987,2655,4680,10860,8827,568,9615,7331,9055,5462,2569,9116,5037,8786,1777,Aliaga,6886,8942,3010,8857,6782,9158,1653,8750,1399,1423,3843,6420,1322,247,5103,214,6152,3737,8942,7328,9056,9065,2795
5497,1630,11670,8509,15170,6322,665,8964,12904,,134,5737,631,6475,9141,1877,445,546,2962,1177,13232,9684,15042,357,128,12969,1366,1088,9341,3841,289,11405,13334,2522,4092,4713,9939,3156,964,312,9242,6700,5042,5960,10420,10944,3325,15045,15062,6052,13841,292,11585,11688,9614,348,11784,13965,13688,9641,5201,529,12415,13705,9829,15080,10546,10042,631,10988,3458,11894,6606,422,483,10857,3323,1228,6744,9796,134,12140,14715,13306,8392,11920,13293,15051,2581,14831,10879,969,1269,11268,13293,8493,1108,8500,1008,3689,127,10267,11182,923,10884,447,10389,Shimizu,2326,135,11623,289,2473,822,10266,967,10012,10036,5416,15033,9934,9119,13716,8951,2835,6450,135,3686,129,138,11408
7759,11560,1430,7398,5569,7561,12584,4304,,12935,12892,7490,12518,7714,4054,11464,12696,12623,10860,12082,3449,3265,5441,12786,13007,2024,11727,12758,10212,13908,12809,1600,3246,11425,15988,8246,3180,11852,12699,12832,10803,7939,14495,7178,7789,2054,12864,5445,5462,13531,4614,12812,6402,1405,4338,13215,5710,4273,4529,4365,7811,12511,1470,3977,3539,5480,2400,2906,12629,2972,16324,1228,7845,12673,12643,5744,9622,12142,6259,3535,13013,5118,5115,3525,4552,1301,3512,5451,12086,5231,7523,12368,12939,1966,3511,11420,12778,4477,13567,11282,13006,6098,2101,13068,5674,12738,2596,Melkoya Is,10837,12893,1461,12809,10734,13109,2666,12702,3068,2919,7795,5432,3358,4437,4795,4170,10103,7689,12894,11279,13008,13016,1603
