uuid,name,otherNames,capabilities,timeZone,loadDuration,dischargeDuration,cvValue,defaultStartTime,allowCooldown,defaultWindowSize,portCode,location.country,location.lat,location.lon,location.kind,kind
_v3BKMqMaEeGZW52HURim3w,Aliaga,,"DISCHARGE,DRYDOCK",Europe/Istanbul,24,24,22.8,7,false,24,,,0.0,0.0,Location,Port
_v3FboaMaEeGZW52HURim3w,Altamira,,DISCHARGE,America/Mexico_City,24,24,22.8,7,false,24,,,0.0,0.0,Location,Port
_v3C_YqMaEeGZW52HURim3w,Andres,,"DISCHARGE,DRYDOCK",America/Santo_Domingo,24,24,22.8,7,false,24,,,0.0,0.0,Location,Port
_v3GpyKMaEeGZW52HURim3w,Arzew,,LOAD,Africa/Algiers,24,24,23.97,7,false,24,,,0.0,0.0,Location,Port
_v3BxQaMaEeGZW52HURim3w,Bahia,,DISCHARGE,America/Sao_Paulo,24,24,22.8,7,false,24,,,0.0,0.0,Location,Port
_v3BKM6MaEeGZW52HURim3w,Bahia Blanca,,DISCHARGE,America/Buenos_Aires,24,24,22.8,7,false,24,,,0.0,0.0,Location,Port
_v3H35qMaEeGZW52HURim3w,Balhaf,,LOAD,Asia/Dubai,24,24,24.03,7,false,24,,,0.0,0.0,Location,Port
_v3FbqaMaEeGZW52HURim3w,Barcelona,,"DISCHARGE,DRYDOCK,LOAD",Europe/Madrid,24,24,22.8,7,false,24,,,0.0,0.0,Location,Port
_v3FbqqMaEeGZW52HURim3w,Bilbao,,"DISCHARGE,DRYDOCK,LOAD",Europe/Madrid,24,24,22.8,7,false,24,,,0.0,0.0,Location,Port
_v3HQ2aMaEeGZW52HURim3w,Bintulu,,LOAD,Asia/Kuala_Lumpur,24,24,23.58,7,false,24,,,0.0,0.0,Location,Port
_v3HQ0aMaEeGZW52HURim3w,Bioko Is,"Bioko,Bioko Island",LOAD,Etc/GMT+1,24,24,23.34,7,false,24,,,0.0,0.0,Location,Port
_v3HQ1KMaEeGZW52HURim3w,Blang Lacang,,LOAD,Asia/Jakarta,24,24,23.64,7,false,24,,,0.0,0.0,Location,Port
_v3HQ2qMaEeGZW52HURim3w,Bonny Is,"Bonny,Bonny Island",LOAD,Africa/Lagos,24,24,23.81,7,false,24,,,0.0,0.0,Location,Port
