uuid,name,otherNames,vessels,kind
_1PK397B-EeG3ZflM1ijhgw,Exmar/MOL,,,VesselGroup
_1PK3-LB-EeG3ZflM1ijhgw,Golar,,,VesselGroup
_1PK3-bB-EeG3ZflM1ijhgw,BG,,,VesselGroup
_1PK3-rB-EeG3ZflM1ijhgw,TMT,,,VesselGroup
_1PK3-7B-EeG3ZflM1ijhgw,Mitsui,,,VesselGroup
_1PK3_LB-EeG3ZflM1ijhgw,Exmar/Teekay,,,VesselGroup
_1PK3_bB-EeG3ZflM1ijhgw,AP Moller,,,VesselGroup
_1PK3_rB-EeG3ZflM1ijhgw,Hyproc,,,VesselGroup
_1PK3_7B-EeG3ZflM1ijhgw,NYK,,,VesselGroup
_1PK4ALB-EeG3ZflM1ijhgw,BW,,,VesselGroup
_1PK4AbB-EeG3ZflM1ijhgw,BGT,,,VesselGroup
_1PK4ArB-EeG3ZflM1ijhgw,Chemikalien Seetransport,,,VesselGroup
_1PK4A7B-EeG3ZflM1ijhgw,Dynagas,,,VesselGroup
_1PK4BLB-EeG3ZflM1ijhgw,Shell,,,VesselGroup
_1PK4BbB-EeG3ZflM1ijhgw,STX Panocean,,,VesselGroup
_1PK4BrB-EeG3ZflM1ijhgw,Petronas,,,VesselGroup
_1PK4B7B-EeG3ZflM1ijhgw,HMM,,,VesselGroup
_1PK4CLB-EeG3ZflM1ijhgw,Gazprom,,,VesselGroup
_1PK4CbB-EeG3ZflM1ijhgw,ENI,,,VesselGroup
_1PK4CrB-EeG3ZflM1ijhgw,Teekay,,,VesselGroup
_1PLfALB-EeG3ZflM1ijhgw,Hanjin,,,VesselGroup
_1PLfAbB-EeG3ZflM1ijhgw,Kansai Electric,,,VesselGroup
_1PLfArB-EeG3ZflM1ijhgw,Tsakos,,,VesselGroup
_1PLfA7B-EeG3ZflM1ijhgw,Oman LNG,,,VesselGroup
_1PLfBLB-EeG3ZflM1ijhgw,Mitsui/ K Line,,,VesselGroup
_1PLfBbB-EeG3ZflM1ijhgw,K Line,,,VesselGroup
_1PLfBrB-EeG3ZflM1ijhgw,Awilco,,,VesselGroup
_1PLfB7B-EeG3ZflM1ijhgw,STASCO,,,VesselGroup
_1PLfCLB-EeG3ZflM1ijhgw,BGT. Ltd.,,,VesselGroup
_1PLfCbB-EeG3ZflM1ijhgw,Gen. Dynamics,,,VesselGroup
_1PLfCrB-EeG3ZflM1ijhgw,Oman Shipping co,,,VesselGroup
_1PLfC7B-EeG3ZflM1ijhgw,Elcano,,,VesselGroup
_1PLfDLB-EeG3ZflM1ijhgw,Hoegh LNG,,,VesselGroup
_1PLfDbB-EeG3ZflM1ijhgw,Japan Inc,,,VesselGroup
_1PLfDrB-EeG3ZflM1ijhgw,MINT,,,VesselGroup
_1PLfD7B-EeG3ZflM1ijhgw,Hanjin Shpg Co.,,,VesselGroup
_1PLfELB-EeG3ZflM1ijhgw,Maran Gas,,,VesselGroup
_1PLfEbB-EeG3ZflM1ijhgw,Sovcomflot,,,VesselGroup
_1PLfErB-EeG3ZflM1ijhgw,Total,,,VesselGroup
_1PLfE7B-EeG3ZflM1ijhgw,MISC,,,VesselGroup
_1PLfFLB-EeG3ZflM1ijhgw,GasLog,,,VesselGroup
_1PLfFbB-EeG3ZflM1ijhgw,Statoil,,,VesselGroup
_1PLfFrB-EeG3ZflM1ijhgw,Stena Bulk,,,VesselGroup
_1PLfF7B-EeG3ZflM1ijhgw,General Dynamics,,,VesselGroup
_1PLfGLB-EeG3ZflM1ijhgw,QatarGas II,,,VesselGroup
_1PLfGbB-EeG3ZflM1ijhgw,Excelerate,,,VesselGroup
_1PLfGrB-EeG3ZflM1ijhgw,Yemen LNG,,,VesselGroup
_1PLfG7B-EeG3ZflM1ijhgw,MOL,,,VesselGroup
_1PLfHLB-EeG3ZflM1ijhgw,Knutsen,,,VesselGroup
_1PLfHbB-EeG3ZflM1ijhgw,UF,,,VesselGroup
