uuid,name,otherNames,timeCharterRate,vesselClass,inaccessiblePorts,availability.startAfter,availability.startBy,availability.endAfter,availability.endBy,availability.startAt,availability.endAt,availability.kind,startHeel.volumeAvailable,startHeel.cvValue,startHeel.pricePerMMBTU,startHeel.kind,kind
_n6Sslbt2EeGVgpwSz1BPTg,LNG Kano,,,DFDE-162,,2010-11-01 00:00,,2010-11-02 00:00,,,,VesselAvailability,,0.0,0.0,HeelOptions,Vessel
_n6Sslrt2EeGVgpwSz1BPTg,LNG Lagos,,,DFDE-162,,2010-11-01 00:00,,2010-11-02 00:00,,,,VesselAvailability,,0.0,0.0,HeelOptions,Vessel
_n6TToLt2EeGVgpwSz1BPTg,LNG Lokoja,,,DFDE-162,,2010-11-01 00:00,,2010-11-02 00:00,,,,VesselAvailability,,0.0,0.0,HeelOptions,Vessel
_n6TTobt2EeGVgpwSz1BPTg,LNG Ogun,,,DFDE-162,,2010-11-01 00:00,,2010-11-02 00:00,,,,VesselAvailability,,0.0,0.0,HeelOptions,Vessel
_n6TTort2EeGVgpwSz1BPTg,LNG Ondo,,,DFDE-162,,2010-11-01 00:00,,2010-11-02 00:00,,,,VesselAvailability,,0.0,0.0,HeelOptions,Vessel
_n6TTo7t2EeGVgpwSz1BPTg,LNG Oyo,,,DFDE-162,,2010-11-01 00:00,,2010-11-02 00:00,,,,VesselAvailability,,0.0,0.0,HeelOptions,Vessel
_n6TTpLt2EeGVgpwSz1BPTg,LNG Port Harcourt,,,DFDE-162,,2010-11-01 00:00,,2010-11-02 00:00,,,,VesselAvailability,,0.0,0.0,HeelOptions,Vessel
_n6TTpbt2EeGVgpwSz1BPTg,LNG River Niger,,,DFDE-162,,2010-11-01 00:00,,2010-11-02 00:00,,,,VesselAvailability,,0.0,0.0,HeelOptions,Vessel
_n6TTprt2EeGVgpwSz1BPTg,LNG River Orashi,,,DFDE-162,,2010-11-01 00:00,,2010-11-02 00:00,,,,VesselAvailability,,0.0,0.0,HeelOptions,Vessel
_n6T6sLt2EeGVgpwSz1BPTg,LNG Rivers,,,DFDE-162,,2010-11-01 00:00,,2010-11-02 00:00,,,,VesselAvailability,,0.0,0.0,HeelOptions,Vessel
_n6T6sbt2EeGVgpwSz1BPTg,LNG Sokoto,,,DFDE-162,,2010-11-01 00:00,,2010-11-02 00:00,,,,VesselAvailability,,0.0,0.0,HeelOptions,Vessel
