uuid,name,otherNames,capabilities,timeZone,loadDuration,dischargeDuration,cvValue,defaultStartTime,allowCooldown,defaultWindowSize,portCode,location.country,location.lat,location.lon,location.kind,kind
_g1gDom3kEeGoB9CX9jdaHQ,Ras Laffan,,LOAD,Asia/Qatar,24,24,22.8,7,false,7,,,0.0,0.0,Location,Port
_g1gqsG3kEeGoB9CX9jdaHQ,Yemen LNG,,LOAD,Asia/Aden,24,24,22.8,7,false,7,,,0.0,0.0,Location,Port
_g1gqsW3kEeGoB9CX9jdaHQ,Sakhalin-2,,LOAD,Asia/Sakhalin,24,24,22.8,7,false,7,,,0.0,0.0,Location,Port
_g1gqsm3kEeGoB9CX9jdaHQ,Point Fortin,,LOAD,America/Port_of_Spain,24,24,22.8,7,false,7,,,0.0,0.0,Location,Port
_g1gqs23kEeGoB9CX9jdaHQ,Kenai LNG,,LOAD,America/Anchorage,24,24,22.8,7,false,7,,,0.0,0.0,Location,Port
_g1gqtG3kEeGoB9CX9jdaHQ,Karratha Gas Plant,,LOAD,Australia/Perth,24,24,22.8,7,false,7,,,0.0,0.0,Location,Port
_g1gqtW3kEeGoB9CX9jdaHQ,Darwin LNG,,LOAD,Australia/Darwin,24,24,22.8,7,false,7,,,0.0,0.0,Location,Port
_g1gqtm3kEeGoB9CX9jdaHQ,Hammerfest LNG,,LOAD,Europe/Oslo,24,24,22.8,7,false,7,,,0.0,0.0,Location,Port
_g1hRwG3kEeGoB9CX9jdaHQ,Sonatrach LNG,,LOAD,Africa/Algiers,24,24,22.8,7,false,7,,,0.0,0.0,Location,Port
_g1hRwW3kEeGoB9CX9jdaHQ,Bethioua,,LOAD,Africa/Algiers,24,24,22.8,7,false,7,,,0.0,0.0,Location,Port
_g1hRwm3kEeGoB9CX9jdaHQ,Punta Europa LNG,,LOAD,Africa/Malabo,24,24,22.8,7,false,7,,,0.0,0.0,Location,Port
_g1hRw23kEeGoB9CX9jdaHQ,SEGAS,,LOAD,Africa/Cairo,24,24,22.8,7,false,7,,,0.0,0.0,Location,Port
_g1hRxG3kEeGoB9CX9jdaHQ,Bonny Nigeria,,LOAD,Africa/Lagos,24,24,22.8,7,false,7,,,0.0,0.0,Location,Port
_g1hRxW3kEeGoB9CX9jdaHQ,Malaysia LNG,,LOAD,Asia/Kuching,24,24,22.8,7,false,7,,,0.0,0.0,Location,Port
_g1hRxm3kEeGoB9CX9jdaHQ,Brunei LNG,,LOAD,Asia/Brunei,24,24,22.8,7,false,7,,,0.0,0.0,Location,Port
_g1hRx23kEeGoB9CX9jdaHQ,Arun LNG,,LOAD,Asia/Jakarta,24,24,22.8,7,false,7,,,0.0,0.0,Location,Port
_g1hRyG3kEeGoB9CX9jdaHQ,Bontang LNG,,LOAD,Asia/Makassar,24,24,22.8,7,false,7,,,0.0,0.0,Location,Port
_g1h40G3kEeGoB9CX9jdaHQ,Tannguh,,LOAD,Asia/Jayapura,24,24,22.8,7,false,7,,,0.0,0.0,Location,Port
_g1h40W3kEeGoB9CX9jdaHQ,Oman LNG,,LOAD,Asia/Muscat,24,24,22.8,7,false,7,,,0.0,0.0,Location,Port
_g1h40m3kEeGoB9CX9jdaHQ,Idku LNG,,LOAD,Africa/Cairo,24,24,22.8,7,false,7,,,0.0,0.0,Location,Port
_g1h4023kEeGoB9CX9jdaHQ,ADGAS LNG,,LOAD,Asia/Dubai,24,24,22.8,7,false,7,,,0.0,0.0,Location,Port
_g1h41G3kEeGoB9CX9jdaHQ,Fluxys,,DISCHARGE,Europe/Brussels,24,24,22.8,7,false,7,,,0.0,0.0,Location,Port
_g1h41W3kEeGoB9CX9jdaHQ,South Hook LNG,,DISCHARGE,Europe/London,24,24,22.8,7,false,7,,,0.0,0.0,Location,Port
_g1h41m3kEeGoB9CX9jdaHQ,Dragon LNG,,DISCHARGE,Europe/London,24,24,22.8,7,false,7,,,0.0,0.0,Location,Port
_g1h4123kEeGoB9CX9jdaHQ,Petrobras Guanabara LNG,,DISCHARGE,America/Sao_Paulo,24,24,22.8,7,false,7,,,0.0,0.0,Location,Port
_g1h42G3kEeGoB9CX9jdaHQ,Petrobras Pecem LNG,,DISCHARGE,America/Fortaleza,24,24,22.8,7,false,7,,,0.0,0.0,Location,Port
_g1if4G3kEeGoB9CX9jdaHQ,Canaport LNG,,DISCHARGE,America/Moncton,24,24,22.8,7,false,7,,,0.0,0.0,Location,Port
_g1if4W3kEeGoB9CX9jdaHQ,Quintero Bay LNG,,DISCHARGE,America/Santiago,24,24,22.8,7,false,7,,,0.0,0.0,Location,Port
_g1if4m3kEeGoB9CX9jdaHQ,Dapeng LNG,,DISCHARGE,Asia/Shanghai,24,24,22.8,7,false,7,,,0.0,0.0,Location,Port
_g1if423kEeGoB9CX9jdaHQ,Fujian LNG,,DISCHARGE,Asia/Shanghai,24,24,22.8,7,false,7,,,0.0,0.0,Location,Port
_g1if5G3kEeGoB9CX9jdaHQ,Chita LNG,,DISCHARGE,Asia/Tokyo,24,24,22.8,7,false,7,,,0.0,0.0,Location,Port
_g1if5W3kEeGoB9CX9jdaHQ,Hakodate LNG,,DISCHARGE,Asia/Tokyo,24,24,22.8,7,false,7,,,0.0,0.0,Location,Port
_g1if5m3kEeGoB9CX9jdaHQ,Barcelona LNG,,DISCHARGE,Europe/Madrid,24,24,22.8,7,false,7,,,0.0,0.0,Location,Port
_g1if523kEeGoB9CX9jdaHQ,Bilbao LNG,,DISCHARGE,Europe/Madrid,24,24,22.8,7,false,7,,,0.0,0.0,Location,Port
_g1jG8G3kEeGoB9CX9jdaHQ,Huelva LNG,,DISCHARGE,Europe/Madrid,24,24,22.8,7,false,7,,,0.0,0.0,Location,Port
_g1jG8W3kEeGoB9CX9jdaHQ,Cartagena LNG,,DISCHARGE,Europe/Madrid,24,24,22.8,7,false,7,,,0.0,0.0,Location,Port
_g1jG8m3kEeGoB9CX9jdaHQ,Dominion Cove Point LNG,,DISCHARGE,America/New_York,24,24,22.8,7,false,7,,,0.0,0.0,Location,Port
_g1jG823kEeGoB9CX9jdaHQ,Northeast Gateway Deepwater Port,,DISCHARGE,America/Chicago,24,24,22.8,7,false,7,,,0.0,0.0,Location,Port
