Dragon LNG,SEGAS,Dahej,Arun LNG,Bontang LNG,Tobata,Petrobras Guanabara LNG,Isle of Grain,Hazira - LNG Terminal,Fluxys,Tannguh,Everett Marine Terminal,Chita LNG,Aliaga,Karratha Gas Plant,Gulf Gateway Deepwater Port,Huelva LNG,Dapeng LNG,Hakodate LNG,Damietta,Barcelona LNG,Sonatrach LNG,Canaport LNG,Ras Laffan,Pascagoula,Petrobras Pecem LNG,Bethioua,Dominion Cove Point LNG,Montoir,Oman LNG,Kenai LNG,Bilbao LNG,Yemen LNG,Yung An,Malaysia LNG,Brunei LNG,South Hook LNG,Bonny Nigeria,Cartagena LNG,Freeport LNG,from,Darwin LNG,Guangdong,Pyeongtaek,Mina Al Ahmadi,Ogishima - Tokyo Gas LNG Berth,Punta Europa LNG,Sakai,Bintulu,Hammerfest LNG,Sakhalin-2,Lake Charles,EcoElectrica LNG,Elba Island,Incheon,ADGAS LNG,Southern LNG,Costa Azul LNG Terminal,Fujian LNG,Point Fortin,Idku LNG,Tong Yong,Sabine Pass LNG,Quintero Bay LNG,Trunkline LNG,Northeast Gateway Deepwater Port
3235,0,2872,4431,5989,6995,6020,3372,2872,3351,6727,5060,7239,0,5901,6552,2364,5927,7650,0,1670,1383,4842,2771,6433,4880,1800,5324,3017,2331,8247,2895,1453,6230,5316,5381,3235,5221,1744,6758,SEGAS,6497,5927,7228,2965,7460,5333,7181,5316,4612,7959,6710,5528,5706,7245,2682,5706,10188,6302,5407,260,7082,6734,9530,6710,5060
0,3235,5966,7525,9083,7080,4926,593,5966,594,8948,2729,6864,3235,8995,4414,871,8301,6427,3235,1781,1853,2382,5865,4295,3715,1439,3020,342,5425,5232,526,4547,8004,8410,8475,0,4202,1513,4620,Dragon LNG,9553,8301,7117,6059,6728,4314,6926,8410,1383,6200,4572,3648,3471,7134,5776,3471,7173,7930,3738,3042,7126,4596,8505,4572,2729
5966,2872,0,2056,3614,4620,7892,6103,0,6082,4352,7791,4864,2872,3633,9283,5095,3552,5275,2872,4382,4114,7573,1163,9164,7611,4531,8055,5748,731,8053,5626,1483,3855,2941,3006,5966,6777,4475,9489,Dahej,4164,3552,4853,1356,5085,6759,4806,2941,7343,5584,9441,8259,8437,4870,1076,8437,9910,3927,8138,2925,4707,9465,9488,9441,7791
7525,4431,2056,0,1659,2694,8418,7662,2056,7641,2401,9350,2938,4431,1806,10842,6654,1626,3349,4431,5941,5673,9132,3084,10723,8675,6090,9614,7307,2644,6127,7185,3057,1929,986,1052,7525,7303,6034,11048,Arun LNG,2278,1626,2927,3278,3159,7285,2880,986,8495,3658,11000,9818,9996,2944,2995,9996,7984,2001,9697,4484,2781,11024,9215,11000,9350
9083,5989,3614,1659,0,2181,9228,9214,3614,9199,1144,9299,2419,5989,1189,11028,8212,1333,2831,5989,7499,7231,8931,4642,10909,9650,7648,9590,8865,4202,5520,8743,4615,1441,754,640,9083,8278,7592,11234,Bontang LNG,1368,1333,2393,4836,2563,8260,2363,754,7976,3145,11186,10447,10041,2410,4553,10041,7201,1519,10859,6042,2247,11210,9037,11186,9299
7080,6995,4620,2694,2181,0,10878,7039,4620,7067,2210,7124,248,6995,3284,8853,7804,1247,655,6995,8505,8237,6756,5648,8734,9538,8349,7415,7368,5208,3433,7604,5621,950,2100,1991,7080,9990,8423,9059,Tobata,2760,1247,319,5842,657,9972,191,2100,5801,968,9011,8272,7866,336,5559,7866,5301,876,8684,7048,173,9035,9713,9011,7124
593,3372,6103,7662,9214,7039,5104,0,6103,150,8907,3017,6823,3372,9132,4741,1008,8260,6386,3372,1918,1990,2656,6002,4622,3923,1576,3308,356,5562,5191,604,4684,7963,8547,8612,593,4339,1650,4947,Isle of Grain,9512,8260,7076,6196,6687,4451,6885,8547,1268,6159,4899,3980,3759,7093,5913,3759,7132,7889,4076,3179,7085,4923,8642,4899,3017
4926,6020,7892,8418,9228,10878,0,5104,7892,5083,9499,4569,10662,6020,8120,4978,4115,10037,10225,6020,4730,4637,4672,8372,4876,1419,4388,4551,4750,7932,8980,4626,7226,10340,9212,9325,4926,3397,4462,5143,Petrobras Guanabara LNG,8970,10037,10915,8566,10526,3489,10724,9212,6241,9998,5095,3649,4547,10932,8283,4547,8144,10412,3026,5827,10924,5119,3819,5095,4569
594,3351,6082,7641,9199,7067,5083,150,6082,0,8935,3138,6851,3351,9111,4833,987,8288,6414,3351,1897,1969,2777,5981,4714,3902,1555,3429,335,5541,5219,583,4663,7991,8526,8591,594,4318,1629,5039,Fluxys,9540,8288,7104,6175,6715,4430,6913,8526,1296,6187,4991,4000,3880,7121,5892,3880,7160,7917,4063,3158,7113,5015,8621,4991,3138
5966,2872,0,2056,3614,4620,7892,6103,0,6082,4352,7791,4864,2872,3633,9283,5095,3552,5275,2872,4382,4114,7573,1163,9164,7611,4531,8055,5748,731,8053,5626,1483,3855,2941,3006,5966,6777,4475,9489,Hazira - LNG Terminal,4164,3552,4853,1356,5085,6759,4806,2941,7343,5584,9441,8259,8437,4870,1076,8437,9910,3927,8138,2925,4707,9465,9488,9441,7791
8948,6727,4352,2401,1144,2210,9499,8907,4352,8935,0,8992,2446,6727,1381,10721,8950,1915,2858,6727,8237,7969,8624,5380,10602,10224,8386,9283,9236,4940,5118,9472,5353,1864,1488,1374,8948,8974,8330,10927,Tannguh,619,1915,2486,5574,2501,8956,2390,1488,7669,3176,10879,10140,9734,2503,5291,9734,6474,1942,10552,6780,2340,10903,8320,10879,8992
2729,5060,7791,9350,9299,7124,4569,3017,7791,3138,8992,0,6908,5060,10271,1920,2782,8345,6471,5060,3606,3678,616,7690,1801,3184,3264,344,2898,7250,5226,2964,6372,8048,9224,9115,2729,5013,3338,2126,Everett Marine Terminal,9597,8345,7161,7884,6772,5125,6970,9224,3355,6244,2078,1422,820,7178,7601,820,7167,7974,1954,4867,7170,2102,8384,2078,0
6864,7239,4864,2938,2419,248,10662,6823,4864,6851,2446,6908,0,7239,3513,8637,7588,1495,458,7239,8475,8481,6540,5892,8518,9322,8133,7199,7152,5452,3204,7388,5865,1198,2340,2231,6864,10234,8207,8843,Chita LNG,2996,1495,454,6086,518,10216,62,2340,5585,797,8795,8056,7650,471,5803,7650,5072,1124,8468,7292,399,8819,9487,8795,6908
3235,0,2872,4431,5989,6995,6020,3372,2872,3351,6727,5060,7239,0,5901,6552,2364,5927,7650,0,1670,1383,4842,2771,6433,4880,1800,5324,3017,2331,8247,2895,1453,6230,5316,5381,3235,5221,1744,6758,Aliaga,6497,5927,7228,2965,7460,5333,7181,5316,4612,7959,6710,5528,5706,7245,2682,5706,10188,6302,5407,260,7082,6734,9530,6710,5060
8995,5901,3633,1806,1189,3284,8120,9132,3633,9111,1381,10271,3513,5901,0,12000,8124,2503,3925,5901,7411,7143,9903,4665,11881,8845,7560,10562,8777,4225,6462,8655,4549,2560,1583,1693,8995,7683,7504,12206,Karratha Gas Plant,851,2503,3502,4859,3636,7665,3457,1583,8948,4243,12158,11076,11013,3519,4576,11013,7831,2638,10452,5954,3356,12182,7900,12158,10271
4414,6552,9283,10842,11028,8853,4978,4741,9283,4833,10721,1920,8637,6552,12000,0,4319,10074,8200,6552,5103,5169,2345,9182,123,3559,4761,1580,4561,8742,6955,4586,7864,9777,10953,10844,4414,5962,4835,206,Gulf Gateway Deepwater Port,11326,10074,8890,9376,8501,6074,8699,10953,5084,7973,158,1342,1100,8907,9093,1100,8896,9703,1957,6359,8899,182,8793,158,1920
8301,5927,3552,1626,1333,1247,10037,8260,3552,8288,1915,8345,1495,5927,2503,10074,8150,0,1874,5927,7437,7169,7977,4580,9955,10294,7586,8636,8589,4140,4666,8681,4553,303,1100,986,8301,8922,7530,10280,Dapeng LNG,2202,0,1357,4774,1792,8904,1437,1100,7022,2207,10232,9493,9087,1374,4491,9087,6527,375,9905,5980,1211,10256,10147,10232,8345
871,2364,5095,6654,8212,7804,4115,1008,5095,987,8950,2782,7588,2364,8124,4319,0,8150,7151,2364,910,982,2536,4994,4200,2942,568,3044,653,4554,5906,531,3676,8453,7539,7604,871,3336,642,4525,Huelva LNG,8720,8150,7841,5188,7452,3448,7650,7539,2248,6924,4477,3335,3434,7858,4905,3434,7847,8525,3276,2171,7850,4501,7637,4477,2782
6427,7650,5275,3349,2831,655,10225,6386,5275,6414,2858,6471,458,7650,3925,8200,7151,1874,0,7650,8038,8110,6103,6303,8081,8885,7696,6762,6715,5863,2792,6951,6276,1577,2755,2646,6427,10051,7770,8406,Hakodate LNG,3408,1874,692,6497,380,10163,517,2755,5148,346,8358,7619,7213,709,6214,7213,4654,1503,8031,7703,703,8382,9163,8358,6471
3235,0,2872,4431,5989,6995,6020,3372,2872,3351,6727,5060,7239,0,5901,6552,2364,5927,7650,0,1670,1383,4842,2771,6433,4880,1800,5324,3017,2331,8247,2895,1453,6230,5316,5381,3235,5221,1744,6758,Damietta,6497,5927,7228,2965,7460,5333,7181,5316,4612,7959,6710,5528,5706,7245,2682,5706,10188,6302,5407,260,7082,6734,9530,6710,5060
1781,1670,4382,5941,7499,8505,4730,1918,4382,1897,8237,3606,8475,1670,7411,5103,910,7437,8038,1670,0,413,3388,4281,4984,3573,346,3870,1563,3841,6793,1441,2963,7740,6826,6891,1781,3938,268,5309,Barcelona LNG,8007,7437,8728,4475,8339,4050,8537,6826,3158,7811,5261,4096,4252,8745,4192,4252,8734,7812,3997,1458,8592,5285,8247,5261,3606
